LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1759437221.661622,156955.000,22714,1,BV,1,100,3.85
1759437226.661906,161955.000,23515,1,BV,1,100,3.84
1759437231.661189,166954.000,24302,1,BV,1,100,3.85
1759437236.661473,171954.000,25096,1,BV,1,100,3.83
1759437241.660757,176953.000,25889,1,BV,1,100,3.84
1759437246.661041,181953.000,26667,1,BV,1,100,3.84
1759437251.660325,186952.000,27486,1,BV,1,100,3.85
1759437256.660609,191952.000,28278,1,BV,1,100,3.85
1759437261.659893,196951.000,29071,1,BV,1,100,3.84
1759437266.660177,201951.000,29878,1,BV,1,100,3.83
1759437271.659461,206950.000,30678,1,BV,1,100,3.84
1759437276.659745,211950.000,31466,1,BV,1,100,3.85
1759437281.659028,216949.000,32281,1,BV,1,100,3.84
1759437286.659312,221949.000,33074,1,BV,1,100,3.85
1759437291.658596,226948.000,33864,1,BV,1,100,3.84
1759437296.658880,231948.000,34681,1,BV,1,100,3.85
1759437301.658164,236947.000,35483,1,BV,1,100,3.85
1759437306.658448,241947.000,36273,1,BV,1,100,3.85
1759437311.657732,246946.000,37082,1,BV,1,100,3.85
1759437316.658016,251946.000,37873,1,BV,1,100,3.84
1759437321.657300,256945.000,38659,1,BV,1,100,3.85
1759437326.657583,261945.000,39472,1,BV,1,100,3.84
1759437331.656868,266944.000,40262,1,BV,1,100,3.85
1759437336.657151,271944.000,41048,1,BV,1,100,3.84
1759437341.656435,276943.000,41850,1,BV,1,100,3.84
1759437346.656719,281943.000,42644,1,BV,1,100,3.84
1759437351.656003,286942.000,43430,1,BV,1,100,3.84
1759437356.656287,291942.000,44222,1,BV,1,100,3.84
