LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1759437221.628620,156922.000,22683,1,EA,1,100,0.040087
1759437221.695623,156989.000,22703,1,EA,1,100,0.040095
1759437221.762127,157055.500,22722,2,EA,1,100,0.040101
1759437221.828631,157122.000,22722,2,EA,1,100,0.040105
1759437221.895635,157189.000,22737,1,EA,1,100,0.040116
1759437221.962139,157255.500,22754,2,EA,1,100,0.040126
1759437222.028642,157322.000,22754,2,EA,1,100,0.040134
1759437222.095646,157389.000,22769,1,EA,1,100,0.040145
1759437222.162150,157455.500,22784,2,EA,1,100,0.040155
1759437222.228654,157522.000,22784,2,EA,1,100,0.040166
1759437222.295658,157589.000,22800,1,EA,1,100,0.040176
1759437222.362161,157655.500,22817,2,EA,1,100,0.040191
1759437222.428665,157722.000,22817,2,EA,1,100,0.040201
1759437222.495669,157789.000,22836,1,EA,1,100,0.040210
1759437222.562173,157855.500,22851,2,EA,1,100,0.040220
1759437222.628676,157922.000,22851,2,EA,1,100,0.040227
1759437222.695680,157989.000,22867,1,EA,1,100,0.040237
1759437222.762184,158055.500,22883,2,EA,1,100,0.040250
1759437222.828688,158122.000,22883,2,EA,1,100,0.040261
1759437222.895692,158189.000,22900,1,EA,1,100,0.040269
1759437222.962195,158255.500,22917,2,EA,1,100,0.040277
1759437223.028699,158322.000,22917,2,EA,1,100,0.040282
1759437223.095703,158389.000,22931,1,EA,1,100,0.040289
1759437223.162207,158455.500,22947,2,EA,1,100,0.040306
1759437223.228711,158522.000,22947,2,EA,1,100,0.040315
1759437223.295714,158589.000,22967,2,EA,1,100,0.040320
1759437223.362718,158656.000,22967,2,EA,1,100,0.040331
1759437223.428722,158722.000,22983,1,EA,1,100,0.040343
1759437223.495726,158789.000,22999,2,EA,1,100,0.040350
1759437223.562730,158856.000,22999,2,EA,1,100,0.040358
1759437223.628733,158922.000,23015,1,EA,1,100,0.040372
1759437223.695737,158989.000,23031,2,EA,1,100,0.040389
1759437223.762741,159056.000,23031,2,EA,1,100,0.040399
1759437223.828745,159122.000,23047,1,EA,1,100,0.040408
1759437223.895248,159188.500,23063,2,EA,1,100,0.040417
1759437223.961752,159255.000,23063,2,EA,1,100,0.040425
1759437224.028756,159322.000,23080,1,EA,1,100,0.040437
1759437224.095760,159389.000,23097,2,EA,1,100,0.040450
1759437224.162764,159456.000,23097,2,EA,1,100,0.040456
1759437224.228767,159522.000,23113,1,EA,1,100,0.040465
1759437224.295271,159588.500,23130,2,EA,1,100,0.040477
1759437224.361775,159655.000,23130,2,EA,1,100,0.040484
1759437224.428779,159722.000,23146,1,EA,1,100,0.040492
1759437224.495282,159788.500,23161,2,EA,1,100,0.040504
1759437224.561786,159855.000,23161,2,EA,1,100,0.040515
1759437224.628790,159922.000,23179,1,EA,1,100,0.040524
1759437224.695294,159988.500,23194,2,EA,1,100,0.040536
1759437224.761798,160055.000,23194,2,EA,1,100,0.040547
1759437224.828801,160122.000,23210,1,EA,1,100,0.040560
1759437224.895305,160188.500,23229,2,EA,1,100,0.040575
1759437224.961809,160255.000,23229,2,EA,1,100,0.040578
1759437225.028813,160322.000,23246,1,EA,1,100,0.040586
1759437225.095317,160388.500,23260,2,EA,1,100,0.040598
1759437225.161820,160455.000,23260,2,EA,1,100,0.040608
1759437225.228824,160522.000,23276,1,EA,1,100,0.040619
1759437225.295328,160588.500,23294,2,EA,1,100,0.040628
1759437225.361832,160655.000,23294,2,EA,1,100,0.040636
1759437225.428835,160722.000,23310,1,EA,1,100,0.040644
1759437225.495339,160788.500,23325,2,EA,1,100,0.040658
1759437225.561843,160855.000,23325,2,EA,1,100,0.040668
1759437225.628847,160922.000,23343,2,EA,1,100,0.040676
1759437225.695851,160989.000,23343,2,EA,1,100,0.040686
1759437225.761854,161055.000,23360,1,EA,1,100,0.040695
1759437225.828858,161122.000,23376,2,EA,1,100,0.040706
1759437225.895862,161189.000,23376,2,EA,1,100,0.040717
1759437225.961866,161255.000,23391,1,EA,1,100,0.040726
1759437226.028870,161322.000,23409,2,EA,1,100,0.040737
1759437226.095873,161389.000,23409,2,EA,1,100,0.040746
1759437226.161877,161455.000,23424,1,EA,1,100,0.040755
1759437226.228881,161522.000,23440,2,EA,1,100,0.040764
1759437226.295885,161589.000,23440,2,EA,1,100,0.040774
1759437226.361888,161655.000,23456,1,EA,1,100,0.040783
1759437226.428892,161722.000,23471,2,EA,1,100,0.040792
1759437226.495896,161789.000,23471,2,EA,1,100,0.040801
1759437226.561900,161855.000,23486,1,EA,1,100,0.040809
1759437226.628904,161922.000,23503,2,EA,1,100,0.040822
1759437226.695907,161989.000,23503,2,EA,1,100,0.040837
1759437226.761911,162055.000,23520,1,EA,1,100,0.040851
1759437226.828915,162122.000,23535,2,EA,1,100,0.040864
1759437226.895919,162189.000,23535,2,EA,1,100,0.040877
1759437226.961923,162255.000,23550,1,EA,1,100,0.040887
1759437227.028926,162322.000,23569,2,EA,1,100,0.040891
1759437227.095930,162389.000,23569,2,EA,1,100,0.040899
1759437227.161934,162455.000,23584,1,EA,1,100,0.040908
1759437227.228438,162521.500,23599,2,EA,1,100,0.040918
1759437227.294941,162588.000,23599,2,EA,1,100,0.040931
1759437227.361945,162655.000,23615,1,EA,1,100,0.040943
1759437227.428449,162721.500,23633,2,EA,1,100,0.040951
1759437227.494953,162788.000,23633,2,EA,1,100,0.040960
1759437227.561957,162855.000,23648,1,EA,1,100,0.040970
1759437227.628460,162921.500,23665,2,EA,1,100,0.040980
1759437227.694964,162988.000,23665,2,EA,1,100,0.040993
1759437227.761968,163055.000,23681,1,EA,1,100,0.041006
1759437227.828472,163121.500,23697,2,EA,1,100,0.041015
1759437227.894975,163188.000,23697,2,EA,1,100,0.041027
1759437227.961979,163255.000,23715,2,EA,1,100,0.041040
1759437228.028983,163322.000,23715,2,EA,1,100,0.041045
1759437228.094987,163388.000,23731,1,EA,1,100,0.041054
1759437228.161991,163455.000,23745,2,EA,1,100,0.041062
1759437228.228995,163522.000,23745,2,EA,1,100,0.041068
1759437228.294998,163588.000,23763,1,EA,1,100,0.041078
1759437228.362002,163655.000,23779,2,EA,1,100,0.041088
1759437228.429006,163722.000,23779,2,EA,1,100,0.041097
1759437228.495010,163788.000,23795,1,EA,1,100,0.041107
1759437228.562013,163855.000,23809,2,EA,1,100,0.041113
1759437228.629017,163922.000,23809,2,EA,1,100,0.041121
1759437228.695021,163988.000,23826,1,EA,1,100,0.041131
1759437228.762025,164055.000,23841,2,EA,1,100,0.041143
1759437228.829029,164122.000,23841,2,EA,1,100,0.041157
1759437228.895032,164188.000,23857,1,EA,1,100,0.041166
1759437228.962036,164255.000,23872,2,EA,1,100,0.041176
1759437229.029040,164322.000,23872,2,EA,1,100,0.041189
1759437229.095044,164388.000,23888,1,EA,1,100,0.041202
1759437229.162047,164455.000,23905,2,EA,1,100,0.041207
1759437229.229051,164522.000,23905,2,EA,1,100,0.041223
1759437229.295055,164588.000,23921,1,EA,1,100,0.041234
1759437229.362059,164655.000,23938,2,EA,1,100,0.041248
1759437229.429063,164722.000,23938,2,EA,1,100,0.041253
1759437229.495066,164788.000,23954,1,EA,1,100,0.041261
1759437229.562070,164855.000,23971,2,EA,1,100,0.041269
1759437229.629074,164922.000,23971,2,EA,1,100,0.041280
1759437229.695078,164988.000,23988,1,EA,1,100,0.041293
1759437229.762082,165055.000,24004,2,EA,1,100,0.041303
1759437229.829085,165122.000,24004,2,EA,1,100,0.041312
1759437229.895089,165188.000,24020,1,EA,1,100,0.041320
1759437229.962093,165255.000,24036,2,EA,1,100,0.041330
1759437230.029097,165322.000,24036,2,EA,1,100,0.041336
1759437230.095100,165388.000,24052,1,EA,1,100,0.041339
1759437230.162104,165455.000,24067,2,EA,1,100,0.041352
1759437230.229108,165522.000,24067,2,EA,1,100,0.041362
1759437230.295612,165588.500,24083,2,EA,1,100,0.041376
1759437230.362116,165655.000,24083,2,EA,1,100,0.041392
1759437230.429119,165722.000,24098,1,EA,1,100,0.041403
1759437230.495623,165788.500,24114,2,EA,1,100,0.041414
1759437230.562127,165855.000,24114,2,EA,1,100,0.041426
1759437230.628131,165921.000,24131,1,EA,1,100,0.041437
1759437230.694801,165987.667,24150,3,EA,1,100,0.041445
1759437230.761472,166054.333,24150,3,EA,1,100,0.041450
1759437230.828142,166121.000,24150,3,EA,1,100,0.041456
1759437230.895146,166188.000,24165,1,EA,1,100,0.041464
1759437230.961650,166254.500,24181,2,EA,1,100,0.041474
1759437231.028153,166321.000,24181,2,EA,1,100,0.041485
