LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1759437221.628620,156922.000,22684,1,EL,1,100,15057.200195
1759437221.695623,156989.000,22704,1,EL,1,100,15050.799805
1759437221.762127,157055.500,22723,2,EL,1,100,15045.799805
1759437221.828631,157122.000,22723,2,EL,1,100,15042.000000
1759437221.895635,157189.000,22738,1,EL,1,100,15032.799805
1759437221.962139,157255.500,22755,2,EL,1,100,15024.200195
1759437222.028642,157322.000,22755,2,EL,1,100,15016.599609
1759437222.095646,157389.000,22770,1,EL,1,100,15007.200195
1759437222.162150,157455.500,22785,2,EL,1,100,14999.000000
1759437222.228654,157522.000,22785,2,EL,1,100,14989.599609
1759437222.295658,157589.000,22801,1,EL,1,100,14981.000000
1759437222.362161,157655.500,22818,2,EL,1,100,14968.400391
1759437222.428665,157722.000,22818,2,EL,1,100,14959.400391
1759437222.495669,157789.000,22837,1,EL,1,100,14952.000000
1759437222.562173,157855.500,22852,2,EL,1,100,14943.200195
1759437222.628676,157922.000,22852,2,EL,1,100,14936.799805
1759437222.695680,157989.000,22868,1,EL,1,100,14928.799805
1759437222.762184,158055.500,22884,2,EL,1,100,14917.599609
1759437222.828688,158122.000,22884,2,EL,1,100,14907.799805
1759437222.895692,158189.000,22901,1,EL,1,100,14900.799805
1759437222.962195,158255.500,22918,2,EL,1,100,14894.400391
1759437223.028699,158322.000,22918,2,EL,1,100,14890.200195
1759437223.095703,158389.000,22932,1,EL,1,100,14883.799805
1759437223.162207,158455.500,22948,2,EL,1,100,14869.200195
1759437223.228711,158522.000,22948,2,EL,1,100,14862.000000
1759437223.295714,158589.000,22968,2,EL,1,100,14857.400391
1759437223.362718,158656.000,22968,2,EL,1,100,14848.400391
1759437223.428722,158722.000,22984,1,EL,1,100,14838.200195
1759437223.495726,158789.000,23000,2,EL,1,100,14831.799805
1759437223.562730,158856.000,23000,2,EL,1,100,14824.799805
1759437223.628733,158922.000,23016,1,EL,1,100,14813.599609
1759437223.695737,158989.000,23032,2,EL,1,100,14798.599609
1759437223.762741,159056.000,23032,2,EL,1,100,14790.200195
1759437223.828745,159122.000,23048,1,EL,1,100,14782.400391
1759437223.895248,159188.500,23064,2,EL,1,100,14774.799805
