LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1759437221.630620,156924.000,22689,1,GY,1,100,0.031
1759437221.670622,156964.000,22709,2,GY,1,100,-0.885
1759437221.710624,157004.000,22709,2,GY,1,100,-1.068
1759437221.750627,157044.000,22729,3,GY,1,100,-0.092
1759437221.790629,157084.000,22729,3,GY,1,100,-0.580
1759437221.830631,157124.000,22729,3,GY,1,100,-0.793
1759437221.870633,157164.000,22744,2,GY,1,100,-0.610
1759437221.910636,157204.000,22744,2,GY,1,100,-1.099
1759437221.954972,157248.333,22761,3,GY,1,100,-0.977
1759437221.999307,157292.667,22761,3,GY,1,100,-0.610
1759437222.043643,157337.000,22761,3,GY,1,100,-1.251
1759437222.083646,157377.000,22775,2,GY,1,100,-0.183
1759437222.123648,157417.000,22775,2,GY,1,100,-0.824
1759437222.163650,157457.000,22791,3,GY,1,100,-2.136
1759437222.203652,157497.000,22791,3,GY,1,100,0.031
1759437222.243655,157537.000,22791,3,GY,1,100,-0.916
1759437222.283657,157577.000,22807,2,GY,1,100,-1.831
1759437222.323659,157617.000,22807,2,GY,1,100,0.305
1759437222.363662,157657.000,22824,3,GY,1,100,-1.068
1759437222.403664,157697.000,22824,3,GY,1,100,-2.136
1759437222.443666,157737.000,22824,3,GY,1,100,0.427
1759437222.483668,157777.000,22842,2,GY,1,100,-1.160
1759437222.523670,157817.000,22842,2,GY,1,100,-1.221
1759437222.563673,157857.000,22858,3,GY,1,100,-0.244
1759437222.603675,157897.000,22858,3,GY,1,100,-1.678
1759437222.643677,157937.000,22858,3,GY,1,100,-1.373
1759437222.683680,157977.000,22874,2,GY,1,100,-1.251
1759437222.723682,158017.000,22874,2,GY,1,100,-1.434
1759437222.763684,158057.000,22890,3,GY,1,100,-0.977
1759437222.803686,158097.000,22890,3,GY,1,100,-0.885
1759437222.843689,158137.000,22890,3,GY,1,100,-0.549
1759437222.883691,158177.000,22907,2,GY,1,100,-0.244
1759437222.923693,158217.000,22907,2,GY,1,100,-1.190
1759437222.963696,158257.000,22923,3,GY,1,100,-0.793
1759437223.003698,158297.000,22923,3,GY,1,100,-0.641
1759437223.043700,158337.000,22923,3,GY,1,100,-1.129
1759437223.090203,158383.500,22938,2,GY,1,100,0.031
1759437223.136705,158430.000,22938,2,GY,1,100,0.183
1759437223.176708,158470.000,22954,3,GY,1,100,-1.617
1759437223.216710,158510.000,22954,3,GY,1,100,-0.122
1759437223.256712,158550.000,22954,3,GY,1,100,-1.038
1759437223.296714,158590.000,22974,2,GY,1,100,-2.808
1759437223.336717,158630.000,22974,2,GY,1,100,0.244
1759437223.376719,158670.000,22989,3,GY,1,100,0.031
1759437223.416721,158710.000,22989,3,GY,1,100,-1.099
1759437223.456723,158750.000,22989,3,GY,1,100,0.519
1759437223.496726,158790.000,23006,2,GY,1,100,1.282
1759437223.536728,158830.000,23006,2,GY,1,100,1.160
1759437223.576730,158870.000,23022,3,GY,1,100,1.221
1759437223.616733,158910.000,23022,3,GY,1,100,1.617
1759437223.656735,158950.000,23022,3,GY,1,100,-2.899
1759437223.696737,158990.000,23038,2,GY,1,100,-0.946
1759437223.736739,159030.000,23038,2,GY,1,100,-0.702
1759437223.776742,159070.000,23053,3,GY,1,100,-2.838
1759437223.816744,159110.000,23053,3,GY,1,100,-3.510
1759437223.856746,159150.000,23053,3,GY,1,100,-2.747
1759437223.896749,159190.000,23070,2,GY,1,100,-1.251
1759437223.936751,159230.000,23070,2,GY,1,100,0.427
1759437223.976753,159270.000,23087,3,GY,1,100,0.427
1759437224.016755,159310.000,23087,3,GY,1,100,0.946
1759437224.056758,159350.000,23087,3,GY,1,100,1.617
1759437224.096260,159389.500,23104,2,GY,1,100,-1.709
1759437224.135762,159429.000,23104,2,GY,1,100,-0.305
1759437224.180431,159473.667,23119,3,GY,1,100,0.610
1759437224.225101,159518.333,23119,3,GY,1,100,-3.540
1759437224.269770,159563.000,23119,3,GY,1,100,-0.549
1759437224.309772,159603.000,23137,2,GY,1,100,1.678
1759437224.349774,159643.000,23137,2,GY,1,100,-0.854
1759437224.389776,159683.000,23153,3,GY,1,100,0.519
1759437224.429779,159723.000,23153,3,GY,1,100,-1.465
1759437224.469781,159763.000,23153,3,GY,1,100,-3.204
1759437224.509783,159803.000,23168,2,GY,1,100,-0.702
1759437224.549786,159843.000,23168,2,GY,1,100,-1.099
1759437224.589788,159883.000,23185,3,GY,1,100,-2.472
1759437224.629790,159923.000,23185,3,GY,1,100,-0.671
1759437224.669792,159963.000,23185,3,GY,1,100,-0.183
1759437224.709795,160003.000,23201,2,GY,1,100,-1.099
1759437224.749797,160043.000,23201,2,GY,1,100,-0.946
1759437224.789799,160083.000,23217,3,GY,1,100,-1.678
1759437224.829802,160123.000,23217,3,GY,1,100,-2.167
1759437224.869804,160163.000,23217,3,GY,1,100,-1.709
1759437224.909806,160203.000,23236,2,GY,1,100,-1.465
1759437224.949808,160243.000,23236,2,GY,1,100,-1.587
1759437224.989810,160283.000,23252,3,GY,1,100,-1.251
1759437225.029813,160323.000,23252,3,GY,1,100,-1.129
1759437225.069815,160363.000,23252,3,GY,1,100,-0.763
1759437225.109817,160403.000,23267,2,GY,1,100,-0.214
1759437225.149820,160443.000,23267,2,GY,1,100,-1.770
1759437225.189822,160483.000,23283,3,GY,1,100,-1.160
1759437225.229824,160523.000,23283,3,GY,1,100,-0.122
1759437225.269826,160563.000,23283,3,GY,1,100,-1.526
1759437225.316329,160609.500,23301,2,GY,1,100,-1.099
1759437225.362832,160656.000,23301,2,GY,1,100,0.183
1759437225.402834,160696.000,23317,3,GY,1,100,-2.136
1759437225.442836,160736.000,23317,3,GY,1,100,-0.427
1759437225.482839,160776.000,23317,3,GY,1,100,-1.221
1759437225.522841,160816.000,23331,2,GY,1,100,-1.190
1759437225.562843,160856.000,23331,2,GY,1,100,0.122
1759437225.602845,160896.000,23350,3,GY,1,100,0.549
1759437225.642848,160936.000,23350,3,GY,1,100,-0.702
