LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1759437221.670622,156964.000,22698,1,HR,1,100,45.61
1759437222.523670,157817.000,22830,1,HR,1,100,51.34
1759437223.363718,158657.000,22960,1,HR,1,100,55.81
1759437224.976810,160270.000,23223,1,HR,1,100,51.74
1759437225.736853,161030.000,23356,1,HR,1,100,57.79
1759437227.749967,163043.000,23677,1,HR,1,100,51.61
1759437228.269997,163563.000,23759,1,HR,1,100,65.78
1759437229.643075,164936.000,23967,1,HR,1,100,60.97
1759437230.576128,165869.000,24127,1,HR,1,100,61.91
1759437233.110272,168403.000,24511,1,HR,1,100,53.45
1759437233.950319,169243.000,24640,1,HR,1,100,57.44
1759437235.643415,170936.000,24912,1,HR,1,100,52.61
1759437236.283452,171576.000,25015,1,HR,1,100,61.76
1759437237.776537,173069.000,25258,1,HR,1,100,57.04
1759437238.296566,173589.000,25338,1,HR,1,100,70.01
1759437238.989605,174282.000,25453,1,HR,1,100,74.06
1759437241.042722,176335.000,25775,1,HR,1,100,64.14
1759437243.535864,178828.000,26149,1,HR,1,100,55.26
1759437244.455916,179748.000,26295,1,HR,1,100,57.47
1759437245.268962,180561.000,26425,1,HR,1,100,61.37
1759437247.029062,182321.000,26719,1,HR,1,100,55.31
1759437247.842108,183134.000,26848,1,HR,1,100,59.68
1759437248.442142,183734.000,26947,1,HR,1,100,68.64
1759437249.082179,184374.000,27044,1,HR,1,100,74.22
1759437249.776218,185068.000,27159,1,HR,1,100,77.34
1759437250.336250,185628.000,27256,1,HR,1,100,83.96
1759437250.975286,186267.000,27355,1,HR,1,100,86.14
1759437252.389366,187681.000,27584,1,HR,1,100,76.52
1759437253.229414,188521.000,27716,1,HR,1,100,75.39
1759437256.655609,191947.000,28261,1,HR,1,100,62.56
1759437257.495656,192787.000,28394,1,HR,1,100,64.53
1759437258.188696,193480.000,28510,1,HR,1,100,69.80
1759437259.908793,195200.000,28765,1,HR,1,100,62.04
1759437260.761842,196053.000,28912,1,HR,1,100,64.12
1759437261.281871,196573.000,28993,1,HR,1,100,75.52
