LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1759437221.630620,156924.000,22692,1,MY,1,100,-16
1759437221.670622,156964.000,22712,2,MY,1,100,-15
1759437221.710624,157004.000,22712,2,MY,1,100,-16
1759437221.750627,157044.000,22732,3,MY,1,100,-15
1759437221.790629,157084.000,22732,3,MY,1,100,-15
1759437221.830631,157124.000,22732,3,MY,1,100,-15
1759437221.870633,157164.000,22747,2,MY,1,100,-15
1759437221.910636,157204.000,22747,2,MY,1,100,-15
1759437221.954972,157248.333,22764,3,MY,1,100,-16
1759437221.999307,157292.667,22764,3,MY,1,100,-16
1759437222.043643,157337.000,22764,3,MY,1,100,-15
1759437222.083646,157377.000,22778,2,MY,1,100,-16
1759437222.123648,157417.000,22778,2,MY,1,100,-16
1759437222.163650,157457.000,22794,3,MY,1,100,-16
1759437222.203652,157497.000,22794,3,MY,1,100,-16
1759437222.243655,157537.000,22794,3,MY,1,100,-16
1759437222.283657,157577.000,22810,2,MY,1,100,-15
1759437222.323659,157617.000,22810,2,MY,1,100,-16
1759437222.363662,157657.000,22827,3,MY,1,100,-15
1759437222.403664,157697.000,22827,3,MY,1,100,-16
1759437222.443666,157737.000,22827,3,MY,1,100,-15
1759437222.483668,157777.000,22845,2,MY,1,100,-16
1759437222.523670,157817.000,22845,2,MY,1,100,-16
1759437222.563673,157857.000,22861,3,MY,1,100,-16
1759437222.603675,157897.000,22861,3,MY,1,100,-15
1759437222.643677,157937.000,22861,3,MY,1,100,-17
1759437222.683680,157977.000,22877,2,MY,1,100,-16
1759437222.723682,158017.000,22877,2,MY,1,100,-16
1759437222.763684,158057.000,22893,3,MY,1,100,-17
1759437222.803686,158097.000,22893,3,MY,1,100,-15
1759437222.843689,158137.000,22893,3,MY,1,100,-16
1759437222.883691,158177.000,22910,2,MY,1,100,-14
1759437222.923693,158217.000,22910,2,MY,1,100,-16
1759437222.963696,158257.000,22926,3,MY,1,100,-15
1759437223.003698,158297.000,22926,3,MY,1,100,-16
1759437223.043700,158337.000,22926,3,MY,1,100,-15
1759437223.090203,158383.500,22941,2,MY,1,100,-16
1759437223.136705,158430.000,22941,2,MY,1,100,-16
1759437223.176708,158470.000,22957,3,MY,1,100,-15
1759437223.216710,158510.000,22957,3,MY,1,100,-15
1759437223.256712,158550.000,22957,3,MY,1,100,-16
1759437223.296714,158590.000,22977,2,MY,1,100,-14
1759437223.336717,158630.000,22977,2,MY,1,100,-16
1759437223.376719,158670.000,22992,3,MY,1,100,-15
1759437223.416721,158710.000,22992,3,MY,1,100,-15
1759437223.456723,158750.000,22992,3,MY,1,100,-16
1759437223.496726,158790.000,23009,2,MY,1,100,-16
1759437223.536728,158830.000,23009,2,MY,1,100,-15
1759437223.576730,158870.000,23025,3,MY,1,100,-15
1759437223.616733,158910.000,23025,3,MY,1,100,-14
1759437223.656735,158950.000,23025,3,MY,1,100,-15
1759437223.696737,158990.000,23041,2,MY,1,100,-16
