LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1759437221.630620,156924.000,22680,1,PI,1,100,163233
1759437221.670622,156964.000,22700,2,PI,1,100,163213
1759437221.710624,157004.000,22700,2,PI,1,100,163229
1759437221.750627,157044.000,22719,3,PI,1,100,163235
1759437221.790629,157084.000,22719,3,PI,1,100,163242
1759437221.830631,157124.000,22719,3,PI,1,100,163214
1759437221.870633,157164.000,22734,2,PI,1,100,163245
1759437221.910636,157204.000,22734,2,PI,1,100,163237
1759437221.954972,157248.333,22751,3,PI,1,100,163244
1759437221.999307,157292.667,22751,3,PI,1,100,163251
1759437222.043643,157337.000,22751,3,PI,1,100,163264
1759437222.083646,157377.000,22766,2,PI,1,100,163262
1759437222.123648,157417.000,22766,2,PI,1,100,163270
1759437222.163650,157457.000,22781,3,PI,1,100,163259
1759437222.203652,157497.000,22781,3,PI,1,100,163238
1759437222.243655,157537.000,22781,3,PI,1,100,163227
1759437222.283657,157577.000,22797,2,PI,1,100,163234
1759437222.323659,157617.000,22797,2,PI,1,100,163229
1759437222.363662,157657.000,22814,3,PI,1,100,163211
1759437222.403664,157697.000,22814,3,PI,1,100,163233
1759437222.443666,157737.000,22814,3,PI,1,100,163248
1759437222.483668,157777.000,22833,2,PI,1,100,163227
1759437222.523670,157817.000,22833,2,PI,1,100,163239
1759437222.563673,157857.000,22848,3,PI,1,100,163242
1759437222.603675,157897.000,22848,3,PI,1,100,163253
1759437222.643677,157937.000,22848,3,PI,1,100,163238
1759437222.683680,157977.000,22864,2,PI,1,100,163242
1759437222.723682,158017.000,22864,2,PI,1,100,163267
1759437222.763684,158057.000,22880,3,PI,1,100,163266
1759437222.803686,158097.000,22880,3,PI,1,100,163263
1759437222.843689,158137.000,22880,3,PI,1,100,163283
1759437222.883691,158177.000,22897,2,PI,1,100,163275
1759437222.923693,158217.000,22897,2,PI,1,100,163252
1759437222.963696,158257.000,22914,3,PI,1,100,163255
1759437223.003698,158297.000,22914,3,PI,1,100,163251
1759437223.043700,158337.000,22914,3,PI,1,100,163243
1759437223.083702,158377.000,22928,2,PI,1,100,163237
1759437223.123705,158417.000,22928,2,PI,1,100,163249
1759437223.163707,158457.000,22944,3,PI,1,100,163235
1759437223.203709,158497.000,22944,3,PI,1,100,163232
1759437223.243711,158537.000,22944,3,PI,1,100,163241
1759437223.283714,158577.000,22964,3,PI,1,100,163245
1759437223.323716,158617.000,22964,3,PI,1,100,163245
1759437223.363718,158657.000,22964,3,PI,1,100,163253
1759437223.403721,158697.000,22980,2,PI,1,100,163256
1759437223.443723,158737.000,22980,2,PI,1,100,163246
1759437223.483725,158777.000,22996,3,PI,1,100,163243
1759437223.523727,158817.000,22996,3,PI,1,100,163259
1759437223.563730,158857.000,22996,3,PI,1,100,163249
1759437223.603732,158897.000,23012,2,PI,1,100,163240
1759437223.643734,158937.000,23012,2,PI,1,100,163232
1759437223.683736,158977.000,23028,3,PI,1,100,163243
1759437223.723739,159017.000,23028,3,PI,1,100,163224
1759437223.763741,159057.000,23028,3,PI,1,100,163232
1759437223.803743,159097.000,23044,2,PI,1,100,163222
1759437223.843745,159137.000,23044,2,PI,1,100,163224
1759437223.883748,159177.000,23060,3,PI,1,100,163226
1759437223.923750,159217.000,23060,3,PI,1,100,163253
1759437223.963752,159257.000,23060,3,PI,1,100,163230
