LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437221.630620,156924.000,22681,1,PR,1,100,132998
1759437221.670622,156964.000,22701,2,PR,1,100,132996
1759437221.710624,157004.000,22701,2,PR,1,100,133014
1759437221.750627,157044.000,22720,3,PR,1,100,133015
1759437221.790629,157084.000,22720,3,PR,1,100,133005
1759437221.830631,157124.000,22720,3,PR,1,100,133011
1759437221.870633,157164.000,22735,2,PR,1,100,133015
1759437221.910636,157204.000,22735,2,PR,1,100,133019
1759437221.954972,157248.333,22752,3,PR,1,100,133011
1759437221.999307,157292.667,22752,3,PR,1,100,133020
1759437222.043643,157337.000,22752,3,PR,1,100,133005
1759437222.083646,157377.000,22767,2,PR,1,100,133029
1759437222.123648,157417.000,22767,2,PR,1,100,133029
1759437222.163650,157457.000,22782,3,PR,1,100,133015
1759437222.203652,157497.000,22782,3,PR,1,100,133044
1759437222.243655,157537.000,22782,3,PR,1,100,133018
1759437222.283657,157577.000,22798,2,PR,1,100,133022
1759437222.323659,157617.000,22798,2,PR,1,100,133022
1759437222.363662,157657.000,22815,3,PR,1,100,133024
1759437222.403664,157697.000,22815,3,PR,1,100,133015
1759437222.443666,157737.000,22815,3,PR,1,100,133020
1759437222.483668,157777.000,22834,2,PR,1,100,133030
1759437222.523670,157817.000,22834,2,PR,1,100,133018
1759437222.563673,157857.000,22849,3,PR,1,100,133010
1759437222.603675,157897.000,22849,3,PR,1,100,133036
1759437222.643677,157937.000,22849,3,PR,1,100,133015
1759437222.683680,157977.000,22865,2,PR,1,100,133026
1759437222.723682,158017.000,22865,2,PR,1,100,133019
1759437222.763684,158057.000,22881,3,PR,1,100,133028
1759437222.803686,158097.000,22881,3,PR,1,100,133025
1759437222.843689,158137.000,22881,3,PR,1,100,133022
1759437222.883691,158177.000,22898,2,PR,1,100,133039
1759437222.923693,158217.000,22898,2,PR,1,100,133016
1759437222.963696,158257.000,22915,3,PR,1,100,133023
1759437223.003698,158297.000,22915,3,PR,1,100,133044
1759437223.043700,158337.000,22915,3,PR,1,100,133012
1759437223.083702,158377.000,22929,2,PR,1,100,133021
1759437223.123705,158417.000,22929,2,PR,1,100,133013
1759437223.163707,158457.000,22945,3,PR,1,100,133013
1759437223.203709,158497.000,22945,3,PR,1,100,133006
1759437223.243711,158537.000,22945,3,PR,1,100,133018
1759437223.283714,158577.000,22965,3,PR,1,100,133021
