LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1759437221.362605,156656.000,22717,1,SA,1,100,0.000063
1759437222.362661,157656.000,22831,1,SA,1,100,0.000010
1759437222.695680,157989.000,22895,1,SA,1,100,0.000025
1759437223.095703,158389.000,22961,1,SA,1,100,0.000026
1759437223.362718,158656.000,22994,1,SA,1,100,0.000012
1759437223.562730,158856.000,23058,1,SA,1,100,0.000059
1759437224.028756,159322.000,23092,1,SA,1,100,0.000014
1759437224.228767,159522.000,23124,1,SA,1,100,0.000013
1759437224.428779,159722.000,23174,1,SA,1,100,0.000023
1759437224.695794,159989.000,23224,1,SA,1,100,0.000039
1759437225.161820,160455.000,23288,1,SA,1,100,0.000011
1759437225.495839,160789.000,23337,1,SA,1,100,0.000010
1759437225.829858,161123.000,23404,1,SA,1,100,0.000031
1759437226.561900,161855.000,23563,1,SA,1,100,0.000078
1759437227.228938,162522.000,23628,1,SA,1,100,0.000025
1759437227.628960,162922.000,23709,1,SA,1,100,0.000060
1759437228.763025,164056.000,23900,1,SA,1,100,0.000058
1759437229.229051,164522.000,23933,1,SA,1,100,0.000024
1759437229.629074,164922.000,23999,1,SA,1,100,0.000023
1759437230.296112,165589.000,24144,1,SA,1,100,0.000060
1759437231.428176,166721.000,24335,1,SA,1,100,0.000078
1759437232.428233,167721.000,24477,1,SA,1,100,0.000078
1759437233.428290,168721.000,24605,1,SA,1,100,0.000034
1759437234.028324,169321.000,24688,1,SA,1,100,0.000022
1759437234.429347,169722.000,24752,1,SA,1,100,0.000032
1759437234.761365,170054.000,24817,1,SA,1,100,0.000044
1759437235.429403,170722.000,24913,1,SA,1,100,0.000035
1759437236.029438,171322.000,25048,1,SA,1,100,0.000055
1759437236.629472,171922.000,25128,1,SA,1,100,0.000043
1759437237.294509,172587.000,25193,1,SA,1,100,0.000011
1759437237.762536,173055.000,25355,1,SA,1,100,0.000101
1759437238.628585,173921.000,25419,1,SA,1,100,0.000011
1759437238.828596,174121.000,25470,1,SA,1,100,0.000048
1759437239.628642,174921.000,25566,1,SA,1,100,0.000012
1759437239.828653,175121.000,25631,1,SA,1,100,0.000044
1759437240.627698,175920.000,25726,1,SA,1,100,0.000011
1759437240.827710,176120.000,25792,1,SA,1,100,0.000037
1759437241.161729,176454.000,25857,1,SA,1,100,0.000043
1759437241.694759,176987.000,25938,1,SA,1,100,0.000052
1759437242.294793,177587.000,26002,1,SA,1,100,0.000010
1759437242.627812,177920.000,26038,1,SA,1,100,0.000030
1759437243.294850,178587.000,26166,1,SA,1,100,0.000046
1759437243.694873,178987.000,26261,1,SA,1,100,0.000080
1759437244.427914,179720.000,26329,1,SA,1,100,0.000012
1759437244.894941,180187.000,26426,1,SA,1,100,0.000052
1759437245.560979,180853.000,26522,1,SA,1,100,0.000036
1759437245.894998,181187.000,26570,1,SA,1,100,0.000022
1759437246.295020,181587.000,26634,1,SA,1,100,0.000036
1759437246.628039,181920.000,26700,1,SA,1,100,0.000033
1759437246.961058,182253.000,26736,1,SA,1,100,0.000011
1759437247.294077,182586.000,26864,1,SA,1,100,0.000087
1759437248.028119,183320.000,26913,1,SA,1,100,0.000033
1759437248.628153,183920.000,27010,1,SA,1,100,0.000021
1759437249.028176,184320.000,27076,1,SA,1,100,0.000026
1759437249.294191,184586.000,27125,1,SA,1,100,0.000032
1759437249.894225,185186.000,27222,1,SA,1,100,0.000038
1759437250.228244,185520.000,27288,1,SA,1,100,0.000043
1759437250.627266,185919.000,27322,1,SA,1,100,0.000011
1759437251.094293,186386.000,27388,1,SA,1,100,0.000016
1759437251.294304,186586.000,27437,1,SA,1,100,0.000025
1759437251.961342,187253.000,27535,1,SA,1,100,0.000006
1759437252.161353,187453.000,27601,1,SA,1,100,0.000040
1759437252.561376,187853.000,27649,1,SA,1,100,0.000035
1759437252.895395,188187.000,27698,1,SA,1,100,0.000040
1759437253.627437,188919.000,27827,1,SA,1,100,0.000037
1759437253.960456,189252.000,27860,1,SA,1,100,0.000024
1759437254.227471,189519.000,27956,1,SA,1,100,0.000077
1759437254.960512,190252.000,28020,1,SA,1,100,0.000022
1759437255.494543,190786.000,28115,1,SA,1,100,0.000031
1759437255.828562,191120.000,28162,1,SA,1,100,0.000027
1759437256.228584,191520.000,28243,1,SA,1,100,0.000042
1759437256.628607,191920.000,28296,1,SA,1,100,0.000033
1759437257.227641,192519.000,28375,1,SA,1,100,0.000009
1759437257.427652,192719.000,28411,1,SA,1,100,0.000009
1759437257.627664,192919.000,28491,1,SA,1,100,0.000063
1759437258.560717,193852.000,28635,1,SA,1,100,0.000068
1759437259.227755,194519.000,28730,1,SA,1,100,0.000052
1759437259.827789,195119.000,28813,1,SA,1,100,0.000045
1759437260.361819,195653.000,28862,1,SA,1,100,0.000010
1759437260.560830,195852.000,28975,1,SA,1,100,0.000084
1759437261.893906,197185.000,29121,1,SA,1,100,0.000025
1759437262.160921,197452.000,29155,1,SA,1,100,0.000009
1759437262.360933,197652.000,29189,1,SA,1,100,0.000026
1759437262.626948,197918.000,29238,1,SA,1,100,0.000021
1759437263.026970,198318.000,29322,1,SA,1,100,0.000041
1759437263.561001,198852.000,29386,1,SA,1,100,0.000011
1759437263.894020,199185.000,29453,1,SA,1,100,0.000016
1759437264.294042,199585.000,29550,1,SA,1,100,0.000054
1759437264.760069,200051.000,29568,1,SA,1,100,0.000015
1759437264.960080,200251.000,29602,1,SA,1,100,0.000011
1759437265.428107,200719.000,29696,1,SA,1,100,0.000022
1759437265.960137,201251.000,29794,1,SA,1,100,0.000033
1759437266.294156,201585.000,29829,1,SA,1,100,0.000023
1759437266.560171,201851.000,29896,1,SA,1,100,0.000047
1759437267.094201,202385.000,29976,1,SA,1,100,0.000036
1759437268.093258,203384.000,30105,1,SA,1,100,0.000009
1759437268.293269,203584.000,30192,1,SA,1,100,0.000053
1759437268.761296,204052.000,30288,1,SA,1,100,0.000079
1759437269.494338,204785.000,30355,1,SA,1,100,0.000022
1759437269.894360,205185.000,30422,1,SA,1,100,0.000036
1759437270.227379,205518.000,30454,1,SA,1,100,0.000014
1759437270.560398,205851.000,30550,1,SA,1,100,0.000047
1759437271.226436,206517.000,30630,1,SA,1,100,0.000020
1759437271.627459,206918.000,30681,1,SA,1,100,0.000010
1759437271.827470,207118.000,30745,1,SA,1,100,0.000042
1759437272.227493,207518.000,30809,1,SA,1,100,0.000044
1759437272.893531,208184.000,30889,1,SA,1,100,0.000020
1759437273.160546,208451.000,30921,1,SA,1,100,0.000011
1759437273.360557,208651.000,30971,1,SA,1,100,0.000023
1759437273.627572,208918.000,31004,1,SA,1,100,0.000014
1759437273.893587,209184.000,31115,1,SA,1,100,0.000094
1759437274.693633,209984.000,31166,1,SA,1,100,0.000015
1759437274.893644,210184.000,31230,1,SA,1,100,0.000037
1759437275.626686,210917.000,31356,1,SA,1,100,0.000042
1759437276.559739,211850.000,31471,1,SA,1,100,0.000026
1759437276.959762,212250.000,31535,1,SA,1,100,0.000019
1759437277.359784,212650.000,31617,1,SA,1,100,0.000035
1759437277.693803,212984.000,31665,1,SA,1,100,0.000024
1759437278.093826,213384.000,31715,1,SA,1,100,0.000009
1759437278.293837,213584.000,31765,1,SA,1,100,0.000027
1759437278.759864,214050.000,31829,1,SA,1,100,0.000012
1759437279.226890,214517.000,31942,1,SA,1,100,0.000056
1759437279.959932,215250.000,32071,1,SA,1,100,0.000067
1759437280.626970,215917.000,32136,1,SA,1,100,0.000032
1759437281.092996,216383.000,32216,1,SA,1,100,0.000032
1759437281.693030,216983.000,32299,1,SA,1,100,0.000025
1759437282.093053,217383.000,32409,1,SA,1,100,0.000072
1759437282.826095,218116.000,32473,1,SA,1,100,0.000010
1759437283.160114,218450.000,32541,1,SA,1,100,0.000035
1759437283.494133,218784.000,32622,1,SA,1,100,0.000075
1759437284.559193,219849.000,32797,1,SA,1,100,0.000062
1759437285.093223,220383.000,32830,1,SA,1,100,0.000008
1759437285.559250,220849.000,32958,1,SA,1,100,0.000063
1759437286.227288,221517.000,33023,1,SA,1,100,0.000023
1759437286.759318,222049.000,33139,1,SA,1,100,0.000053
1759437287.359352,222649.000,33313,1,SA,1,100,0.000134
1759437288.492416,223782.000,33379,1,SA,1,100,0.000027
1759437289.426470,224716.000,33524,1,SA,1,100,0.000025
1759437289.692485,224982.000,33652,1,SA,1,100,0.000100
1759437290.692541,225982.000,33717,1,SA,1,100,0.000016
1759437290.892553,226182.000,33752,1,SA,1,100,0.000014
1759437291.093564,226383.000,33800,1,SA,1,100,0.000024
1759437291.625594,226915.000,33899,1,SA,1,100,0.000030
1759437292.093621,227383.000,33963,1,SA,1,100,0.000043
1759437292.425640,227715.000,33999,1,SA,1,100,0.000010
1759437293.025674,228315.000,34094,1,SA,1,100,0.000013
1759437293.626708,228916.000,34192,1,SA,1,100,0.000013
1759437293.826719,229116.000,34241,1,SA,1,100,0.000038
1759437294.158738,229448.000,34274,1,SA,1,100,0.000011
1759437294.492757,229782.000,34340,1,SA,1,100,0.000009
1759437294.958784,230248.000,34405,1,SA,1,100,0.000008
1759437295.158795,230448.000,34517,1,SA,1,100,0.000087
1759437295.826833,231116.000,34550,1,SA,1,100,0.000009
1759437296.159852,231449.000,34616,1,SA,1,100,0.000032
1759437296.959897,232249.000,34747,1,SA,1,100,0.000022
1759437297.225912,232515.000,34779,1,SA,1,100,0.000011
1759437297.559931,232849.000,34831,1,SA,1,100,0.000010
1759437297.759943,233049.000,34910,1,SA,1,100,0.000069
1759437298.559988,233849.000,34993,1,SA,1,100,0.000025
1759437298.959011,234248.000,35057,1,SA,1,100,0.000005
1759437299.159022,234448.000,35106,1,SA,1,100,0.000032
1759437299.493041,234782.000,35138,1,SA,1,100,0.000006
1759437299.693053,234982.000,35172,1,SA,1,100,0.000011
1759437300.159079,235448.000,35253,1,SA,1,100,0.000021
1759437300.426094,235715.000,35319,1,SA,1,100,0.000043
1759437300.826117,236115.000,35353,1,SA,1,100,0.000010
1759437301.026128,236315.000,35387,1,SA,1,100,0.000013
1759437301.359147,236648.000,35465,1,SA,1,100,0.000034
1759437301.692166,236981.000,35519,1,SA,1,100,0.000034
1759437302.692223,237981.000,35725,1,SA,1,100,0.000083
1759437303.359261,238648.000,35807,1,SA,1,100,0.000063
1759437303.892291,239181.000,35840,1,SA,1,100,0.000014
1759437304.225310,239514.000,35922,1,SA,1,100,0.000030
1759437304.559329,239848.000,35971,1,SA,1,100,0.000021
1759437304.959352,240248.000,36035,1,SA,1,100,0.000023
1759437305.492382,240781.000,36147,1,SA,1,100,0.000067
1759437306.425435,241714.000,36276,1,SA,1,100,0.000053
1759437306.958465,242247.000,36340,1,SA,1,100,0.000011
1759437307.158476,242447.000,36406,1,SA,1,100,0.000047
1759437307.958522,243247.000,36502,1,SA,1,100,0.000013
1759437308.691563,243980.000,36628,1,SA,1,100,0.000031
1759437309.025582,244314.000,36662,1,SA,1,100,0.000013
1759437309.491609,244780.000,36743,1,SA,1,100,0.000010
1759437309.691620,244980.000,36807,1,SA,1,100,0.000047
1759437310.758681,246047.000,36937,1,SA,1,100,0.000009
1759437310.958692,246247.000,37016,1,SA,1,100,0.000063
1759437311.491722,246780.000,37084,1,SA,1,100,0.000035
1759437311.824741,247113.000,37117,1,SA,1,100,0.000021
1759437312.091757,247380.000,37152,1,SA,1,100,0.000012
1759437312.691791,247980.000,37310,1,SA,1,100,0.000089
1759437314.224878,249513.000,37485,1,SA,1,100,0.000009
1759437314.424889,249713.000,37534,1,SA,1,100,0.000022
1759437314.824912,250113.000,37583,1,SA,1,100,0.000014
1759437315.024923,250313.000,37631,1,SA,1,100,0.000022
1759437315.425946,250714.000,37695,1,SA,1,100,0.000034
1759437316.025980,251314.000,37824,1,SA,1,100,0.000063
1759437316.826025,252114.000,37952,1,SA,1,100,0.000075
1759437317.625071,252913.000,38033,1,SA,1,100,0.000011
1759437318.091097,253379.000,38129,1,SA,1,100,0.000051
1759437318.759135,254047.000,38225,1,SA,1,100,0.000039
1759437319.091154,254379.000,38305,1,SA,1,100,0.000058
1759437319.691188,254979.000,38354,1,SA,1,100,0.000019
1759437320.025207,255313.000,38419,1,SA,1,100,0.000014
1759437320.225218,255513.000,38435,1,SA,1,100,0.000013
1759437320.558237,255846.000,38531,1,SA,1,100,0.000053
1759437321.292279,256580.000,38626,1,SA,1,100,0.000036
1759437321.758305,257046.000,38694,1,SA,1,100,0.000017
1759437322.424343,257712.000,38790,1,SA,1,100,0.000012
1759437322.624355,257912.000,38826,1,SA,1,100,0.000010
1759437322.825366,258113.000,38905,1,SA,1,100,0.000063
1759437323.758419,259046.000,39082,1,SA,1,100,0.000093
1759437324.825480,260113.000,39195,1,SA,1,100,0.000021
1759437325.091495,260379.000,39229,1,SA,1,100,0.000008
1759437325.424514,260712.000,39277,1,SA,1,100,0.000007
1759437325.891540,261179.000,39343,1,SA,1,100,0.000010
1759437326.091551,261379.000,39424,1,SA,1,100,0.000054
1759437326.691586,261979.000,39474,1,SA,1,100,0.000006
1759437327.024604,262312.000,39570,1,SA,1,100,0.000053
1759437327.624639,262912.000,39683,1,SA,1,100,0.000074
1759437328.624695,263912.000,39778,1,SA,1,100,0.000016
1759437328.957714,264245.000,39844,1,SA,1,100,0.000024
1759437329.224729,264512.000,39893,1,SA,1,100,0.000020
1759437329.624752,264912.000,39973,1,SA,1,100,0.000033
1759437329.957771,265245.000,40037,1,SA,1,100,0.000043
1759437330.624809,265912.000,40116,1,SA,1,100,0.000036
1759437330.890824,266178.000,40196,1,SA,1,100,0.000117
1759437332.224900,267512.000,40469,1,SA,1,100,0.000158
1759437333.423968,268711.000,40582,1,SA,1,100,0.000047
1759437334.358021,269645.000,40757,1,SA,1,100,0.000075
1759437335.091063,270378.000,40808,1,SA,1,100,0.000009
1759437335.424081,270711.000,40904,1,SA,1,100,0.000050
1759437336.157123,271444.000,40984,1,SA,1,100,0.000011
1759437336.491142,271778.000,41067,1,SA,1,100,0.000039
1759437336.891165,272178.000,41100,1,SA,1,100,0.000010
1759437337.224184,272511.000,41197,1,SA,1,100,0.000082
1759437337.757214,273044.000,41246,1,SA,1,100,0.000030
1759437338.557259,273844.000,41388,1,SA,1,100,0.000046
1759437338.957282,274244.000,41453,1,SA,1,100,0.000045
1759437339.758327,275045.000,41625,1,SA,1,100,0.000098
1759437340.690380,275977.000,41706,1,SA,1,100,0.000023
1759437341.090403,276377.000,41801,1,SA,1,100,0.000059
1759437341.823445,277110.000,41914,1,SA,1,100,0.000055
1759437342.291471,277578.000,42009,1,SA,1,100,0.000074
1759437343.291528,278578.000,42137,1,SA,1,100,0.000046
1759437343.823558,279110.000,42218,1,SA,1,100,0.000049
1759437344.223581,279510.000,42251,1,SA,1,100,0.000015
1759437344.423592,279710.000,42301,1,SA,1,100,0.000024
1759437344.690608,279977.000,42350,1,SA,1,100,0.000035
1759437345.024626,280311.000,42384,1,SA,1,100,0.000010
1759437345.490653,280777.000,42479,1,SA,1,100,0.000034
1759437345.956679,281243.000,42529,1,SA,1,100,0.000010
1759437346.156691,281443.000,42562,1,SA,1,100,0.000015
1759437346.890733,282177.000,42742,1,SA,1,100,0.000074
1759437347.489766,282776.000,42775,1,SA,1,100,0.000013
1759437347.823786,283110.000,42903,1,SA,1,100,0.000073
1759437348.689835,283976.000,42983,1,SA,1,100,0.000018
1759437349.089857,284376.000,43063,1,SA,1,100,0.000040
1759437349.557884,284844.000,43111,1,SA,1,100,0.000006
1759437350.023910,285310.000,43223,1,SA,1,100,0.000053
