LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437221.695623,156989.000,22699,1,SF,1,100,95.0429
1759437222.028642,157322.000,22750,1,SF,1,100,96.0257
1759437222.428665,157722.000,22813,1,SF,1,100,94.9149
1759437222.695680,157989.000,22863,1,SF,1,100,95.8991
1759437223.028699,158322.000,22913,1,SF,1,100,96.8720
1759437223.362718,158656.000,22963,1,SF,1,100,97.8336
1759437223.762741,159056.000,23027,1,SF,1,100,98.7841
1759437224.028756,159322.000,23076,1,SF,1,100,99.7237
1759437224.361775,159655.000,23126,1,SF,1,100,102.7346
1759437224.761798,160055.000,23190,1,SF,1,100,103.6284
1759437225.028813,160322.000,23242,1,SF,1,100,104.5118
1759437225.361832,160655.000,23290,1,SF,1,100,105.3851
1759437225.695851,160989.000,23339,1,SF,1,100,106.2482
1759437226.095873,161389.000,23403,1,SF,1,100,105.0192
1759437226.361888,161655.000,23452,1,SF,1,100,105.8865
1759437226.695907,161989.000,23499,1,SF,1,100,104.6616
1759437227.095930,162389.000,23565,1,SF,1,100,105.5332
1759437227.361945,162655.000,23611,1,SF,1,100,104.3123
1759437227.694964,162988.000,23661,1,SF,1,100,105.1879
1759437228.028983,163322.000,23711,1,SF,1,100,106.0533
1759437228.429006,163722.000,23775,1,SF,1,100,104.8265
1759437228.695021,163988.000,23822,1,SF,1,100,103.6139
1759437229.029040,164322.000,23868,1,SF,1,100,102.4153
1759437229.429063,164722.000,23932,1,SF,1,100,103.3128
1759437229.695078,164988.000,23984,1,SF,1,100,104.1999
1759437230.029097,165322.000,24032,1,SF,1,100,105.0767
1759437230.362116,165655.000,24079,1,SF,1,100,103.8612
1759437230.828142,166121.000,24146,1,SF,1,100,104.7420
1759437231.028153,166321.000,24177,1,SF,1,100,103.5303
1759437231.428176,166721.000,24239,1,SF,1,100,102.3327
1759437231.695191,166988.000,24286,1,SF,1,100,101.1489
1759437232.028210,167321.000,24337,1,SF,1,100,102.0610
1759437232.362229,167655.000,24383,1,SF,1,100,100.8804
1759437232.762252,168055.000,24445,1,SF,1,100,99.7134
1759437233.028267,168321.000,24495,1,SF,1,100,100.6422
1759437233.362286,168655.000,24543,1,SF,1,100,99.4779
1759437233.762309,169055.000,24607,1,SF,1,100,100.4094
1759437234.028324,169321.000,24656,1,SF,1,100,99.2479
1759437234.361343,169654.000,24705,1,SF,1,100,100.1820
1759437234.695362,169988.000,24754,1,SF,1,100,101.1053
1759437235.095384,170388.000,24816,1,SF,1,100,99.9358
1759437235.361399,170654.000,24864,1,SF,1,100,100.8619
1759437235.695418,170988.000,24915,1,SF,1,100,101.7774
1759437236.095441,171388.000,24982,1,SF,1,100,100.6000
1759437236.361456,171654.000,25031,1,SF,1,100,99.4363
1759437236.695475,171988.000,25080,1,SF,1,100,100.3683
1759437237.028494,172321.000,25130,1,SF,1,100,101.2895
1759437237.428517,172721.000,25192,1,SF,1,100,100.1177
1759437237.694532,172987.000,25242,1,SF,1,100,101.0418
1759437238.028551,173321.000,25290,1,SF,1,100,99.8729
