LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1759437221.362605,156656.000,22718,1,SR,1,100,0.333333
1759437222.362661,157656.000,22832,1,SR,1,100,0.066667
1759437222.695680,157989.000,22896,1,SR,1,100,0.133333
1759437223.095703,158389.000,22962,1,SR,1,100,0.133333
1759437223.362718,158656.000,22995,1,SR,1,100,0.066667
1759437223.562730,158856.000,23059,1,SR,1,100,0.333333
1759437224.028756,159322.000,23093,1,SR,1,100,0.066667
1759437224.228767,159522.000,23125,1,SR,1,100,0.066667
1759437224.428779,159722.000,23175,1,SR,1,100,0.133333
1759437224.695794,159989.000,23225,1,SR,1,100,0.200000
1759437225.161820,160455.000,23289,1,SR,1,100,0.066667
1759437225.495839,160789.000,23338,1,SR,1,100,0.066667
1759437225.829858,161123.000,23405,1,SR,1,100,0.200000
1759437226.561900,161855.000,23564,1,SR,1,100,0.400000
1759437227.228938,162522.000,23629,1,SR,1,100,0.133333
1759437227.628960,162922.000,23710,1,SR,1,100,0.333333
1759437228.763025,164056.000,23901,1,SR,1,100,0.333333
1759437229.229051,164522.000,23934,1,SR,1,100,0.133333
1759437229.629074,164922.000,24000,1,SR,1,100,0.133333
1759437230.296112,165589.000,24145,1,SR,1,100,0.333333
1759437231.428176,166721.000,24336,1,SR,1,100,0.466667
1759437232.428233,167721.000,24478,1,SR,1,100,0.466667
1759437233.428290,168721.000,24606,1,SR,1,100,0.200000
1759437234.028324,169321.000,24689,1,SR,1,100,0.133333
1759437234.429347,169722.000,24753,1,SR,1,100,0.200000
1759437234.761365,170054.000,24818,1,SR,1,100,0.266667
1759437235.429403,170722.000,24914,1,SR,1,100,0.200000
1759437236.029438,171322.000,25049,1,SR,1,100,0.333333
1759437236.629472,171922.000,25129,1,SR,1,100,0.266667
1759437237.294509,172587.000,25194,1,SR,1,100,0.066667
1759437237.762536,173055.000,25356,1,SR,1,100,0.600000
1759437238.628585,173921.000,25420,1,SR,1,100,0.066667
1759437238.828596,174121.000,25471,1,SR,1,100,0.266667
1759437239.628642,174921.000,25567,1,SR,1,100,0.066667
1759437239.828653,175121.000,25632,1,SR,1,100,0.266667
1759437240.627698,175920.000,25727,1,SR,1,100,0.066667
1759437240.827710,176120.000,25793,1,SR,1,100,0.200000
1759437241.161729,176454.000,25858,1,SR,1,100,0.266667
1759437241.694759,176987.000,25939,1,SR,1,100,0.333333
1759437242.294793,177587.000,26003,1,SR,1,100,0.066667
1759437242.627812,177920.000,26039,1,SR,1,100,0.133333
1759437243.294850,178587.000,26167,1,SR,1,100,0.266667
1759437243.694873,178987.000,26262,1,SR,1,100,0.466667
1759437244.427914,179720.000,26330,1,SR,1,100,0.066667
1759437244.894941,180187.000,26427,1,SR,1,100,0.266667
1759437245.560979,180853.000,26523,1,SR,1,100,0.200000
1759437245.894998,181187.000,26571,1,SR,1,100,0.133333
1759437246.295020,181587.000,26635,1,SR,1,100,0.200000
1759437246.628039,181920.000,26701,1,SR,1,100,0.200000
1759437246.961058,182253.000,26737,1,SR,1,100,0.066667
1759437247.294077,182586.000,26865,1,SR,1,100,0.600000
1759437248.028119,183320.000,26914,1,SR,1,100,0.200000
1759437248.628153,183920.000,27011,1,SR,1,100,0.133333
1759437249.028176,184320.000,27077,1,SR,1,100,0.133333
1759437249.294191,184586.000,27126,1,SR,1,100,0.200000
1759437249.894225,185186.000,27223,1,SR,1,100,0.200000
1759437250.228244,185520.000,27289,1,SR,1,100,0.266667
1759437250.627266,185919.000,27323,1,SR,1,100,0.066667
1759437251.094293,186386.000,27389,1,SR,1,100,0.066667
1759437251.294304,186586.000,27438,1,SR,1,100,0.133333
1759437251.961342,187253.000,27536,1,SR,1,100,0.066667
1759437252.161353,187453.000,27602,1,SR,1,100,0.266667
1759437252.561376,187853.000,27650,1,SR,1,100,0.200000
1759437252.895395,188187.000,27699,1,SR,1,100,0.200000
1759437253.627437,188919.000,27828,1,SR,1,100,0.200000
1759437253.960456,189252.000,27861,1,SR,1,100,0.133333
1759437254.227471,189519.000,27957,1,SR,1,100,0.466667
1759437254.960512,190252.000,28021,1,SR,1,100,0.133333
1759437255.494543,190786.000,28116,1,SR,1,100,0.200000
1759437255.828562,191120.000,28163,1,SR,1,100,0.133333
1759437256.228584,191520.000,28244,1,SR,1,100,0.266667
1759437256.628607,191920.000,28297,1,SR,1,100,0.200000
1759437257.227641,192519.000,28376,1,SR,1,100,0.066667
1759437257.427652,192719.000,28412,1,SR,1,100,0.066667
1759437257.627664,192919.000,28492,1,SR,1,100,0.400000
1759437258.560717,193852.000,28636,1,SR,1,100,0.400000
1759437259.227755,194519.000,28731,1,SR,1,100,0.333333
1759437259.827789,195119.000,28814,1,SR,1,100,0.266667
1759437260.361819,195653.000,28863,1,SR,1,100,0.066667
1759437260.560830,195852.000,28976,1,SR,1,100,0.533333
1759437261.893906,197185.000,29122,1,SR,1,100,0.133333
1759437262.160921,197452.000,29156,1,SR,1,100,0.066667
1759437262.360933,197652.000,29190,1,SR,1,100,0.133333
1759437262.626948,197918.000,29239,1,SR,1,100,0.133333
1759437263.026970,198318.000,29323,1,SR,1,100,0.266667
1759437263.561001,198852.000,29387,1,SR,1,100,0.066667
1759437263.894020,199185.000,29454,1,SR,1,100,0.133333
1759437264.294042,199585.000,29551,1,SR,1,100,0.333333
1759437264.760069,200051.000,29569,1,SR,1,100,0.066667
1759437264.960080,200251.000,29603,1,SR,1,100,0.066667
1759437265.428107,200719.000,29697,1,SR,1,100,0.133333
1759437265.960137,201251.000,29795,1,SR,1,100,0.200000
1759437266.294156,201585.000,29830,1,SR,1,100,0.133333
1759437266.560171,201851.000,29897,1,SR,1,100,0.266667
1759437267.094201,202385.000,29977,1,SR,1,100,0.200000
1759437268.093258,203384.000,30106,1,SR,1,100,0.066667
1759437268.293269,203584.000,30193,1,SR,1,100,0.333333
1759437268.761296,204052.000,30289,1,SR,1,100,0.466667
1759437269.494338,204785.000,30356,1,SR,1,100,0.133333
