LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1759437221.755627,157049.000,22724,1,T1,1,100,33.355
1759437221.888634,157182.000,22739,1,T1,1,100,33.260
1759437222.022642,157316.000,22756,1,T1,1,100,33.325
1759437222.155650,157449.000,22786,1,T1,1,100,33.353
1759437222.288657,157582.000,22802,1,T1,1,100,33.401
1759437222.421665,157715.000,22819,1,T1,1,100,33.493
1759437222.555672,157849.000,22853,1,T1,1,100,33.497
1759437222.688680,157982.000,22869,1,T1,1,100,33.428
1759437222.821687,158115.000,22885,1,T1,1,100,33.504
1759437222.955695,158249.000,22902,1,T1,1,100,33.466
1759437223.088703,158382.000,22933,1,T1,1,100,33.450
1759437223.221710,158515.000,22949,1,T1,1,100,33.407
1759437223.355718,158649.000,22969,1,T1,1,100,33.424
1759437223.488725,158782.000,23001,1,T1,1,100,33.432
1759437223.621733,158915.000,23017,1,T1,1,100,33.471
1759437223.755740,159049.000,23033,1,T1,1,100,33.381
1759437223.888748,159182.000,23065,1,T1,1,100,33.378
1759437224.021756,159315.000,23082,1,T1,1,100,33.447
1759437224.155763,159449.000,23099,1,T1,1,100,33.406
1759437224.288771,159582.000,23132,1,T1,1,100,33.353
1759437224.421778,159715.000,23148,1,T1,1,100,33.401
1759437224.555786,159849.000,23163,1,T1,1,100,33.422
1759437224.688793,159982.000,23196,1,T1,1,100,33.431
1759437224.821801,160115.000,23212,1,T1,1,100,33.470
1759437224.955809,160249.000,23231,1,T1,1,100,33.452
1759437225.088816,160382.000,23262,1,T1,1,100,33.408
1759437225.221824,160515.000,23278,1,T1,1,100,33.425
1759437225.355831,160649.000,23296,1,T1,1,100,33.467
1759437225.488839,160782.000,23312,1,T1,1,100,33.344
1759437225.621846,160915.000,23345,1,T1,1,100,33.362
1759437225.754854,161048.000,23362,1,T1,1,100,33.405
1759437225.888862,161182.000,23378,1,T1,1,100,33.423
1759437226.021869,161315.000,23411,1,T1,1,100,33.467
1759437226.154877,161448.000,23426,1,T1,1,100,33.415
1759437226.288884,161582.000,23442,1,T1,1,100,33.392
1759437226.421892,161715.000,23473,1,T1,1,100,33.418
1759437226.554899,161848.000,23488,1,T1,1,100,33.394
1759437226.688907,161982.000,23505,1,T1,1,100,33.454
1759437226.821915,162115.000,23537,1,T1,1,100,33.374
1759437226.954922,162248.000,23552,1,T1,1,100,33.445
1759437227.088930,162382.000,23571,1,T1,1,100,33.547
1759437227.221937,162515.000,23601,1,T1,1,100,33.485
1759437227.354945,162648.000,23617,1,T1,1,100,33.600
1759437227.488952,162782.000,23635,1,T1,1,100,33.543
1759437227.621960,162915.000,23650,1,T1,1,100,33.448
1759437227.754968,163048.000,23683,1,T1,1,100,33.513
1759437227.888975,163182.000,23699,1,T1,1,100,33.470
1759437228.021983,163315.000,23717,1,T1,1,100,33.452
1759437228.154990,163448.000,23747,1,T1,1,100,33.515
1759437228.288998,163582.000,23765,1,T1,1,100,33.435
1759437228.422005,163715.000,23781,1,T1,1,100,33.437
1759437228.555013,163848.000,23811,1,T1,1,100,33.437
1759437228.689021,163982.000,23828,1,T1,1,100,33.366
1759437228.822028,164115.000,23843,1,T1,1,100,33.442
1759437228.955036,164248.000,23874,1,T1,1,100,33.440
1759437229.088043,164381.000,23890,1,T1,1,100,33.438
1759437229.222051,164515.000,23907,1,T1,1,100,33.438
1759437229.355058,164648.000,23940,1,T1,1,100,33.473
1759437229.488066,164781.000,23956,1,T1,1,100,33.524
1759437229.622074,164915.000,23973,1,T1,1,100,33.439
1759437229.755081,165048.000,24006,1,T1,1,100,33.474
1759437229.888089,165181.000,24022,1,T1,1,100,33.524
1759437230.022096,165315.000,24038,1,T1,1,100,33.510
1759437230.155104,165448.000,24054,1,T1,1,100,33.540
1759437230.288111,165581.000,24085,1,T1,1,100,33.588
1759437230.422119,165715.000,24100,1,T1,1,100,33.574
1759437230.555127,165848.000,24116,1,T1,1,100,33.425
1759437230.688634,165981.500,24152,2,T1,1,100,33.397
1759437230.822142,166115.000,24152,2,T1,1,100,33.491
1759437230.955149,166248.000,24183,1,T1,1,100,33.531
1759437231.088157,166381.000,24198,1,T1,1,100,33.549
1759437231.222164,166515.000,24214,1,T1,1,100,33.592
1759437231.355172,166648.000,24245,1,T1,1,100,33.575
1759437231.488179,166781.000,24260,1,T1,1,100,33.568
1759437231.622187,166915.000,24276,1,T1,1,100,33.636
1759437231.755195,167048.000,24292,1,T1,1,100,33.630
1759437231.888202,167181.000,24324,1,T1,1,100,33.485
1759437232.022210,167315.000,24343,1,T1,1,100,33.529
1759437232.155217,167448.000,24358,1,T1,1,100,33.583
1759437232.288225,167581.000,24389,1,T1,1,100,33.430
1759437232.421232,167714.000,24405,1,T1,1,100,33.505
1759437232.555240,167848.000,24420,1,T1,1,100,33.538
1759437232.688248,167981.000,24451,1,T1,1,100,33.481
1759437232.821255,168114.000,24467,1,T1,1,100,33.456
1759437232.955263,168248.000,24484,1,T1,1,100,33.552
1759437233.088270,168381.000,24517,1,T1,1,100,33.522
1759437233.221278,168514.000,24533,1,T1,1,100,33.545
1759437233.355286,168648.000,24549,1,T1,1,100,33.555
1759437233.488293,168781.000,24579,1,T1,1,100,33.630
1759437233.621301,168914.000,24595,1,T1,1,100,33.627
1759437233.755308,169048.000,24613,1,T1,1,100,33.626
1759437233.888316,169181.000,24629,1,T1,1,100,33.625
1759437234.021323,169314.000,24662,1,T1,1,100,33.590
1759437234.155331,169448.000,24677,1,T1,1,100,33.610
1759437234.288339,169581.000,24695,1,T1,1,100,33.689
1759437234.421346,169714.000,24726,1,T1,1,100,33.617
1759437234.555354,169848.000,24741,1,T1,1,100,33.693
1759437234.688361,169981.000,24760,1,T1,1,100,33.690
1759437234.821369,170114.000,24790,1,T1,1,100,33.724
1759437234.955376,170248.000,24805,1,T1,1,100,33.739
1759437235.088384,170381.000,24824,1,T1,1,100,33.781
1759437235.221391,170514.000,24854,1,T1,1,100,33.763
1759437235.355399,170648.000,24870,1,T1,1,100,33.649
1759437235.488407,170781.000,24886,1,T1,1,100,33.742
