LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032476.118505,1032476.118510,1760462405.931299,88238.000,11691,6,PG,1,100,6154
1032476.118505,1032476.118510,1760462405.931299,88238.000,11691,6,PG,1,100,6171
1032476.118505,1032476.118510,1760462405.931299,88238.000,11691,6,PG,1,100,6158
1032476.118505,1032476.118510,1760462405.931299,88238.000,11691,6,PG,1,100,6146
1032476.118505,1032476.118510,1760462405.931299,88238.000,11691,6,PG,1,100,6172
1032476.118505,1032476.118510,1760462405.931299,88238.000,11691,6,PG,1,100,6141
1032476.129206,1032476.129210,1760462405.941999,88248.700,11704,10,PG,1,100,6141
1032476.139906,1032476.139910,1760462405.952699,88259.400,11704,10,PG,1,100,6157
1032476.150606,1032476.150610,1760462405.963400,88270.100,11704,10,PG,1,100,6121
1032476.161306,1032476.161310,1760462405.974100,88280.800,11704,10,PG,1,100,6153
1032476.172006,1032476.172010,1760462405.984800,88291.500,11704,10,PG,1,100,6145
1032476.182706,1032476.182710,1760462405.995500,88302.200,11704,10,PG,1,100,6140
1032476.193407,1032476.193411,1760462406.006200,88312.900,11704,10,PG,1,100,6169
1032476.204107,1032476.204111,1760462406.016901,88323.600,11704,10,PG,1,100,6140
1032476.214807,1032476.214811,1760462406.027601,88334.300,11704,10,PG,1,100,6140
1032476.225507,1032476.225511,1760462406.038301,88345.000,11704,10,PG,1,100,6146
1032476.234807,1032476.234811,1760462406.047601,88354.300,11720,10,PG,1,100,6110
1032476.244107,1032476.244111,1760462406.056901,88363.600,11720,10,PG,1,100,6128
1032476.253407,1032476.253412,1760462406.066201,88372.900,11720,10,PG,1,100,6133
1032476.262708,1032476.262712,1760462406.075502,88382.200,11720,10,PG,1,100,6164
1032476.272008,1032476.272012,1760462406.084802,88391.500,11720,10,PG,1,100,6131
1032476.281308,1032476.281312,1760462406.094102,88400.800,11720,10,PG,1,100,6158
1032476.290608,1032476.290612,1760462406.103402,88410.100,11720,10,PG,1,100,6125
1032476.299908,1032476.299912,1760462406.112702,88419.400,11720,10,PG,1,100,6152
1032476.309208,1032476.309212,1760462406.122002,88428.700,11720,10,PG,1,100,6163
1032476.318508,1032476.318512,1760462406.131303,88438.000,11720,10,PG,1,100,6177
1032476.329209,1032476.329213,1760462406.142003,88448.700,11735,10,PG,1,100,6142
1032476.339909,1032476.339913,1760462406.152703,88459.400,11735,10,PG,1,100,6125
1032476.350609,1032476.350613,1760462406.163403,88470.100,11735,10,PG,1,100,6139
1032476.361309,1032476.361313,1760462406.174103,88480.800,11735,10,PG,1,100,6133
1032476.372009,1032476.372013,1760462406.184803,88491.500,11735,10,PG,1,100,6122
1032476.382709,1032476.382713,1760462406.195504,88502.200,11735,10,PG,1,100,6125
1032476.393410,1032476.393414,1760462406.206204,88512.900,11735,10,PG,1,100,6140
1032476.404110,1032476.404114,1760462406.216904,88523.600,11735,10,PG,1,100,6127
