LslMarkerSourceTimestamp,EmotiBitTimestamp,Marker
1032476.100505,88220,LR
1032476.782515,88902,LR
1032485.803648,97923,LR
1032486.819663,98939,LR
1032487.791677,99911,LR
1032488.790692,100910,LR
1032489.789706,101909,LR
1032490.792721,102912,LR
1032491.810736,103930,LR
1032492.824751,104944,LR
1032493.791765,105911,LR
1032494.82478,106944,LR
1032495.825795,107945,LR
1032496.81881,108938,LR
1032497.827825,109947,LR
1032498.817839,110937,LR
1032499.823854,111943,LR
1032500.818868,112938,LR
1032501.831883,113951,LR
1032502.855898,114975,LR
1032503.857913,115977,LR
1032504.868928,116988,LR
1032505.884943,118004,LR
1032506.857957,118977,LR
1032517.92312,130042,LR
1032518.923135,131042,LR
1032519.922149,132041,LR
1032520.924164,133043,LR
1032521.923179,134042,LR
1032522.923193,135042,LR
1032523.942208,136061,LR
1032524.961223,137080,LR
1032525.983238,138102,LR
1032526.922252,139041,LR
1032527.956267,140075,LR
1032528.957282,141076,LR
1032529.971297,142090,LR
1032530.984312,143103,LR
1032531.956326,144075,LR
1032532.958341,145077,LR
1032533.955355,146074,LR
1032534.95937,147078,LR
1032535.989385,148108,LR
1032536.9974,149116,LR
1032538.013415,150132,LR
1032581.156049,193274,LR
1032582.165064,194283,LR
1032583.178079,195296,LR
1032584.197094,196315,LR
1032585.171108,197289,LR
1032586.157123,198275,LR
1032587.157137,199275,LR
1032588.190153,200308,LR
1032589.192167,201310,LR
1032590.205182,202323,LR
1032591.219197,203337,LR
