LslMarkerSourceTimestamp,EmotiBitTimestamp,PI,PG,PR
1032476.118505,88238.000,171711,6154,113224
1032476.118505,88238.000,171683,6172,113252
1032476.118505,88238.000,171683,6141,113224
1032476.118505,88238.000,171683,6141,113279
1032476.118505,88238.000,171683,6141,113248
1032476.118505,88238.000,171683,6141,113236
1032476.118505,88238.000,171683,6141,113265
1032476.118505,88238.000,171683,6141,113252
1032476.118505,88238.000,171722,6154,113224
1032476.118505,88238.000,171722,6154,113279
1032476.118505,88238.000,171722,6154,113248
1032476.118505,88238.000,171722,6154,113236
1032476.118505,88238.000,171722,6154,113265
1032476.118505,88238.000,171722,6154,113252
1032476.118505,88238.000,171722,6171,113224
1032476.118505,88238.000,171722,6171,113279
1032476.118505,88238.000,171722,6171,113248
1032476.118505,88238.000,171722,6171,113236
1032476.118505,88238.000,171722,6171,113265
1032476.118505,88238.000,171722,6171,113252
1032476.118505,88238.000,171722,6158,113224
1032476.118505,88238.000,171722,6158,113279
1032476.118505,88238.000,171722,6158,113248
1032476.118505,88238.000,171722,6158,113236
1032476.118505,88238.000,171683,6172,113265
1032476.118505,88238.000,171722,6158,113265
1032476.118505,88238.000,171683,6172,113236
1032476.118505,88238.000,171683,6172,113279
1032476.118505,88238.000,171683,6154,113248
1032476.118505,88238.000,171683,6154,113236
1032476.118505,88238.000,171683,6154,113265
1032476.118505,88238.000,171683,6154,113252
1032476.118505,88238.000,171683,6171,113224
1032476.118505,88238.000,171683,6171,113279
1032476.118505,88238.000,171683,6171,113248
1032476.118505,88238.000,171683,6171,113236
1032476.118505,88238.000,171683,6171,113265
1032476.118505,88238.000,171683,6171,113252
1032476.118505,88238.000,171683,6158,113224
1032476.118505,88238.000,171683,6158,113279
1032476.118505,88238.000,171683,6158,113248
1032476.118505,88238.000,171683,6158,113236
1032476.118505,88238.000,171683,6158,113265
1032476.118505,88238.000,171683,6158,113252
1032476.118505,88238.000,171683,6146,113224
1032476.118505,88238.000,171683,6146,113279
1032476.118505,88238.000,171683,6146,113248
1032476.118505,88238.000,171683,6146,113236
1032476.118505,88238.000,171683,6146,113265
1032476.118505,88238.000,171683,6146,113252
1032476.118505,88238.000,171683,6172,113224
1032476.118505,88238.000,171683,6172,113248
1032476.118505,88238.000,171722,6158,113252
1032476.118505,88238.000,171722,6146,113224
1032476.118505,88238.000,171722,6146,113279
1032476.118505,88238.000,171727,6158,113279
1032476.118505,88238.000,171727,6158,113248
1032476.118505,88238.000,171727,6158,113236
1032476.118505,88238.000,171727,6158,113265
1032476.118505,88238.000,171727,6158,113252
1032476.118505,88238.000,171727,6146,113224
1032476.118505,88238.000,171727,6146,113279
1032476.118505,88238.000,171727,6146,113248
1032476.118505,88238.000,171727,6146,113236
1032476.118505,88238.000,171727,6146,113265
1032476.118505,88238.000,171727,6146,113252
1032476.118505,88238.000,171727,6172,113224
1032476.118505,88238.000,171727,6172,113279
1032476.118505,88238.000,171727,6172,113248
1032476.118505,88238.000,171727,6172,113236
1032476.118505,88238.000,171727,6172,113265
1032476.118505,88238.000,171727,6172,113252
1032476.118505,88238.000,171727,6141,113224
1032476.118505,88238.000,171727,6141,113279
1032476.118505,88238.000,171727,6141,113248
1032476.118505,88238.000,171727,6141,113236
1032476.118505,88238.000,171727,6141,113265
1032476.118505,88238.000,171727,6141,113252
1032476.118505,88238.000,171727,6158,113224
1032476.118505,88238.000,171727,6171,113252
1032476.118505,88238.000,171727,6171,113265
1032476.118505,88238.000,171727,6171,113248
1032476.118505,88238.000,171722,6146,113248
1032476.118505,88238.000,171722,6146,113236
1032476.118505,88238.000,171722,6146,113265
1032476.118505,88238.000,171722,6146,113252
1032476.118505,88238.000,171722,6172,113224
1032476.118505,88238.000,171722,6172,113279
1032476.118505,88238.000,171722,6172,113248
1032476.118505,88238.000,171722,6172,113236
1032476.118505,88238.000,171722,6172,113265
1032476.118505,88238.000,171722,6172,113252
1032476.118505,88238.000,171722,6141,113224
1032476.118505,88238.000,171683,6154,113279
1032476.118505,88238.000,171722,6141,113279
1032476.118505,88238.000,171722,6141,113236
1032476.118505,88238.000,171722,6141,113265
1032476.118505,88238.000,171722,6141,113252
1032476.118505,88238.000,171727,6154,113224
1032476.118505,88238.000,171727,6154,113279
1032476.118505,88238.000,171727,6154,113248
1032476.118505,88238.000,171727,6154,113236
1032476.118505,88238.000,171727,6154,113265
1032476.118505,88238.000,171727,6154,113252
1032476.118505,88238.000,171727,6171,113224
1032476.118505,88238.000,171727,6171,113279
1032476.118505,88238.000,171722,6141,113248
1032476.118505,88238.000,171683,6154,113224
1032476.118505,88238.000,171727,6171,113236
1032476.118505,88238.000,171719,6141,113265
1032476.118505,88238.000,171711,6172,113236
1032476.118505,88238.000,171711,6172,113265
1032476.118505,88238.000,171711,6172,113252
1032476.118505,88238.000,171711,6141,113224
1032476.118505,88238.000,171711,6141,113279
1032476.118505,88238.000,171711,6141,113248
1032476.118505,88238.000,171711,6141,113236
1032476.118505,88238.000,171711,6141,113265
1032476.118505,88238.000,171711,6141,113252
1032476.118505,88238.000,171735,6154,113224
1032476.118505,88238.000,171735,6154,113279
1032476.118505,88238.000,171735,6154,113248
1032476.118505,88238.000,171735,6154,113265
1032476.118505,88238.000,171735,6154,113252
1032476.118505,88238.000,171735,6171,113224
1032476.118505,88238.000,171735,6171,113279
1032476.118505,88238.000,171735,6171,113248
1032476.118505,88238.000,171735,6171,113236
1032476.118505,88238.000,171735,6171,113265
1032476.118505,88238.000,171735,6171,113252
1032476.118505,88238.000,171735,6158,113224
1032476.118505,88238.000,171735,6158,113279
1032476.118505,88238.000,171735,6158,113248
1032476.118505,88238.000,171719,6141,113252
1032476.118505,88238.000,171735,6158,113236
1032476.118505,88238.000,171711,6172,113248
1032476.118505,88238.000,171711,6172,113224
1032476.118505,88238.000,171711,6154,113279
1032476.118505,88238.000,171711,6154,113248
1032476.118505,88238.000,171711,6154,113236
1032476.118505,88238.000,171711,6154,113265
1032476.118505,88238.000,171711,6154,113252
1032476.118505,88238.000,171711,6171,113224
1032476.118505,88238.000,171711,6171,113279
1032476.118505,88238.000,171711,6171,113248
1032476.118505,88238.000,171711,6171,113236
1032476.118505,88238.000,171711,6171,113265
1032476.118505,88238.000,171711,6171,113252
1032476.118505,88238.000,171711,6158,113224
1032476.118505,88238.000,171711,6158,113279
1032476.118505,88238.000,171711,6158,113248
1032476.118505,88238.000,171711,6158,113236
1032476.118505,88238.000,171711,6158,113265
1032476.118505,88238.000,171711,6158,113252
1032476.118505,88238.000,171711,6146,113224
1032476.118505,88238.000,171711,6146,113279
1032476.118505,88238.000,171711,6146,113248
1032476.118505,88238.000,171711,6146,113236
1032476.118505,88238.000,171711,6146,113265
1032476.118505,88238.000,171711,6146,113252
1032476.118505,88238.000,171711,6172,113279
1032476.118505,88238.000,171735,6158,113265
1032476.118505,88238.000,171735,6154,113236
1032476.118505,88238.000,171735,6146,113224
1032476.118505,88238.000,171719,6171,113265
1032476.118505,88238.000,171719,6171,113252
1032476.118505,88238.000,171719,6158,113224
1032476.118505,88238.000,171719,6158,113279
1032476.118505,88238.000,171719,6158,113248
1032476.118505,88238.000,171719,6158,113236
1032476.118505,88238.000,171719,6158,113265
1032476.118505,88238.000,171719,6158,113252
1032476.118505,88238.000,171719,6146,113224
1032476.118505,88238.000,171719,6146,113279
1032476.118505,88238.000,171719,6146,113248
1032476.118505,88238.000,171719,6171,113236
1032476.118505,88238.000,171735,6158,113252
1032476.118505,88238.000,171719,6146,113252
1032476.118505,88238.000,171719,6172,113224
1032476.118505,88238.000,171719,6172,113279
1032476.118505,88238.000,171719,6172,113248
1032476.118505,88238.000,171719,6172,113236
1032476.118505,88238.000,171719,6172,113265
1032476.118505,88238.000,171719,6172,113252
1032476.118505,88238.000,171719,6141,113224
1032476.118505,88238.000,171719,6141,113279
1032476.118505,88238.000,171719,6141,113248
1032476.118505,88238.000,171719,6141,113236
1032476.118505,88238.000,171719,6146,113265
1032476.118505,88238.000,171719,6171,113248
1032476.118505,88238.000,171719,6146,113236
1032476.118505,88238.000,171719,6171,113224
1032476.118505,88238.000,171735,6146,113248
1032476.118505,88238.000,171735,6146,113236
1032476.118505,88238.000,171735,6146,113265
1032476.118505,88238.000,171735,6146,113252
1032476.118505,88238.000,171735,6172,113224
1032476.118505,88238.000,171735,6172,113279
1032476.118505,88238.000,171735,6172,113248
1032476.118505,88238.000,171735,6172,113236
1032476.118505,88238.000,171735,6172,113265
1032476.118505,88238.000,171735,6172,113252
1032476.118505,88238.000,171735,6141,113224
1032476.118505,88238.000,171719,6171,113279
1032476.118505,88238.000,171735,6141,113279
1032476.118505,88238.000,171735,6141,113248
1032476.118505,88238.000,171735,6141,113236
1032476.118505,88238.000,171735,6141,113265
1032476.118505,88238.000,171735,6141,113252
1032476.118505,88238.000,171719,6154,113224
1032476.118505,88238.000,171719,6154,113279
1032476.118505,88238.000,171719,6154,113248
1032476.118505,88238.000,171719,6154,113236
1032476.118505,88238.000,171719,6154,113265
1032476.118505,88238.000,171719,6154,113252
1032476.118505,88238.000,171735,6146,113279
1032476.129206,88248.700,171697,6141,113225
1032476.139906,88259.400,171722,6157,113214
1032476.150606,88270.100,171684,6121,113212
1032476.161306,88280.800,171708,6153,113206
1032476.172006,88291.500,171673,6145,113221
1032476.182706,88302.200,171655,6140,113207
1032476.193407,88312.900,171658,6169,113201
1032476.204107,88323.600,171670,6140,113203
1032476.214807,88334.300,171660,6140,113188
1032476.225507,88345.000,171670,6146,113185
1032476.234807,88354.300,171621,6110,113156
1032476.244107,88363.600,171666,6128,113166
1032476.253407,88372.900,171668,6133,113157
1032476.262708,88382.200,171635,6164,113178
1032476.272008,88391.500,171612,6131,113122
1032476.281308,88400.800,171608,6158,113147
1032476.290608,88410.100,171566,6125,113132
1032476.299908,88419.400,171627,6152,113176
1032476.309208,88428.700,171620,6163,113185
1032476.318508,88438.000,171650,6177,113135
1032476.329109,88448.600,171625,,113139
1032476.329209,88448.700,,6142,
1032476.339709,88459.200,171579,,113089
1032476.339909,88459.400,,6125,
1032476.350309,88469.800,171557,,113040
1032476.350609,88470.100,,6139,
1032476.360909,88480.400,171440,,112970
1032476.361309,88480.800,,6133,
1032476.371509,88491.000,171389,,112922
1032476.372009,88491.500,,6122,
1032476.382109,88501.600,171318,,112885
1032476.382709,88502.200,,6125,
1032476.39271,88512.200,171259,,112794
1032476.39341,88512.900,,6140,
1032476.40331,88522.800,171192,,112788
1032476.40411,88523.600,,6127,
1032476.41391,88533.400,171130,,112714
1032476.41481,88534.300,,6103,
1032476.42451,88544.000,171136,,112711
1032476.42551,88545.000,,6094,
1032476.434237,88553.727,171154,,112756
1032476.435146,88554.636,,6129,
1032476.443965,88563.455,171156,,112751
1032476.444783,88564.273,,6139,
1032476.453692,88573.182,171172,,112767
1032476.45442,88573.909,,6127,
1032476.46342,88582.909,171181,,112771
1032476.464056,88583.545,,6131,
1032476.473147,88592.636,171178,,112809
1032476.473693,88593.182,,6150,
1032476.482874,88602.364,171171,,112828
1032476.483329,88602.818,,6151,
1032476.492602,88612.091,171169,,112791
1032476.492966,88612.455,,6138,
1032476.502329,88621.818,171149,,112792
1032476.502602,88622.091,,6131,
1032476.512057,88631.545,171127,,112782
1032476.512239,88631.727,,6108,
1032476.521784,88641.273,171124,,112775
1032476.521875,88641.364,,6114,
1032476.531512,88651.000,171064,6111,112731
1032476.541845,88661.333,171062,,112754
1032476.541956,88661.444,,6105,
1032476.552179,88671.667,171025,,112747
1032476.552401,88671.889,,6090,
1032476.562512,88682.000,170972,,112746
1032476.562845,88682.333,,6089,
1032476.572845,88692.333,170973,,112746
1032476.57329,88692.778,,6084,
1032476.583179,88702.667,171021,,112778
1032476.583735,88703.222,,6088,
1032476.593512,88713.000,171045,,112809
1032476.594179,88713.667,,6081,
1032476.603846,88723.333,171031,,112818
1032476.604624,88724.111,,6076,
1032476.614179,88733.667,171069,,112856
1032476.615068,88734.556,,6066,
1032476.624513,88744.000,171034,,112851
1032476.625513,88745.000,,6088,
1032476.63424,88753.727,171042,,112839
1032476.635149,88754.636,,6109,
1032476.643968,88763.455,170998,,112809
1032476.644786,88764.273,,6053,
1032476.653695,88773.182,171035,,112793
1032476.654422,88773.909,,6098,
1032476.663423,88782.909,171009,,112776
1032476.664059,88783.545,,6077,
1032476.67315,88792.636,170998,,112732
1032476.673695,88793.182,,6088,
1032476.682877,88802.364,170898,,112648
1032476.683332,88802.818,,6060,
