LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1759437223.841246,151951.000,21644,1,BV,1,100,3.77
1759437228.840348,156950.000,22402,1,BV,1,100,3.78
1759437233.840450,161950.000,23179,1,BV,1,100,3.77
1759437238.839552,166949.000,23950,1,BV,1,100,3.78
1759437243.839654,171949.000,24737,1,BV,1,100,3.77
1759437248.838756,176948.000,25487,1,BV,1,100,3.76
1759437253.838858,181948.000,26273,1,BV,1,100,3.76
1759437258.837960,186947.000,27063,1,BV,1,100,3.77
1759437263.838063,191947.000,27833,1,BV,1,100,3.77
1759437268.837165,196946.000,28611,1,BV,1,100,3.77
1759437273.837267,201946.000,29389,1,BV,1,100,3.78
1759437278.836369,206945.000,30166,1,BV,1,100,3.78
1759437283.836471,211945.000,30961,1,BV,1,100,3.77
1759437288.835573,216944.000,31744,1,BV,1,100,3.78
1759437293.835675,221944.000,32517,1,BV,1,100,3.77
1759437298.834777,226943.000,33293,1,BV,1,100,3.77
1759437303.834879,231943.000,34088,1,BV,1,100,3.77
1759437308.833981,236942.000,34868,1,BV,1,100,3.78
1759437313.834083,241942.000,35646,1,BV,1,100,3.78
1759437318.833185,246941.000,36439,1,BV,1,100,3.77
1759437323.833287,251941.000,37208,1,BV,1,100,3.77
1759437328.832389,256940.000,37980,1,BV,1,100,3.78
1759437333.832491,261940.000,38746,1,BV,1,100,3.77
1759437338.831594,266939.000,39517,1,BV,1,100,3.76
1759437343.831696,271939.000,40291,1,BV,1,100,3.75
1759437348.830798,276938.000,41064,1,BV,1,100,3.75
1759437353.830900,281938.000,41845,1,BV,1,100,3.75
