LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1759437219.542158,147652.000,20971,1,EA,1,100,0.075789
1759437219.608660,147718.500,20986,2,EA,1,100,0.075806
1759437219.675161,147785.000,20986,2,EA,1,100,0.075824
1759437219.742162,147852.000,21001,1,EA,1,100,0.075831
1759437219.808664,147918.500,21020,2,EA,1,100,0.075830
1759437219.875165,147985.000,21020,2,EA,1,100,0.075835
1759437219.942167,148052.000,21035,1,EA,1,100,0.075854
1759437220.008668,148118.500,21051,2,EA,1,100,0.075880
1759437220.075169,148185.000,21051,2,EA,1,100,0.075895
1759437220.142171,148252.000,21065,1,EA,1,100,0.075907
1759437220.208672,148318.500,21082,2,EA,1,100,0.075921
1759437220.275173,148385.000,21082,2,EA,1,100,0.075942
1759437220.342175,148452.000,21097,1,EA,1,100,0.075968
1759437220.408676,148518.500,21114,2,EA,1,100,0.075985
1759437220.475177,148585.000,21114,2,EA,1,100,0.076002
1759437220.541679,148651.500,21129,2,EA,1,100,0.076019
1759437220.608180,148718.000,21129,2,EA,1,100,0.076033
1759437220.675181,148785.000,21145,1,EA,1,100,0.076059
1759437220.741683,148851.500,21162,2,EA,1,100,0.076099
1759437220.808184,148918.000,21162,2,EA,1,100,0.076077
1759437220.875185,148985.000,21179,1,EA,1,100,0.076045
1759437220.941687,149051.500,21193,2,EA,1,100,0.076036
1759437221.008188,149118.000,21193,2,EA,1,100,0.076049
1759437221.075190,149185.000,21209,1,EA,1,100,0.076071
1759437221.141691,149251.500,21225,2,EA,1,100,0.076094
1759437221.208192,149318.000,21225,2,EA,1,100,0.076118
1759437221.275194,149385.000,21241,1,EA,1,100,0.076146
1759437221.341695,149451.500,21255,2,EA,1,100,0.076170
1759437221.408196,149518.000,21255,2,EA,1,100,0.076185
1759437221.475198,149585.000,21271,1,EA,1,100,0.076207
1759437221.541699,149651.500,21289,2,EA,1,100,0.076212
1759437221.608201,149718.000,21289,2,EA,1,100,0.076217
1759437221.675202,149785.000,21305,1,EA,1,100,0.076224
1759437221.741703,149851.500,21319,2,EA,1,100,0.076231
1759437221.808205,149918.000,21319,2,EA,1,100,0.076250
1759437221.875206,149985.000,21336,1,EA,1,100,0.076277
1759437221.941707,150051.500,21351,2,EA,1,100,0.076308
1759437222.008209,150118.000,21351,2,EA,1,100,0.076324
1759437222.075210,150185.000,21367,1,EA,1,100,0.076333
1759437222.141711,150251.500,21382,2,EA,1,100,0.076367
1759437222.208213,150318.000,21382,2,EA,1,100,0.076547
1759437222.275214,150385.000,21398,1,EA,1,100,0.076661
1759437222.341715,150451.500,21413,2,EA,1,100,0.076701
1759437222.408217,150518.000,21413,2,EA,1,100,0.076722
1759437222.475218,150585.000,21429,1,EA,1,100,0.076737
1759437222.541719,150651.500,21447,2,EA,1,100,0.076744
1759437222.608221,150718.000,21447,2,EA,1,100,0.076746
1759437222.675222,150785.000,21462,1,EA,1,100,0.076750
1759437222.741724,150851.500,21477,2,EA,1,100,0.076734
1759437222.808225,150918.000,21477,2,EA,1,100,0.076715
1759437222.874726,150984.500,21494,2,EA,1,100,0.076697
1759437222.941228,151051.000,21494,2,EA,1,100,0.076685
1759437223.008229,151118.000,21509,1,EA,1,100,0.076672
1759437223.074730,151184.500,21524,2,EA,1,100,0.076665
1759437223.141232,151251.000,21524,2,EA,1,100,0.076649
1759437223.208233,151318.000,21540,1,EA,1,100,0.076642
1759437223.274734,151384.500,21556,2,EA,1,100,0.076628
1759437223.341236,151451.000,21556,2,EA,1,100,0.076578
1759437223.408237,151518.000,21571,1,EA,1,100,0.076559
1759437223.474739,151584.500,21587,2,EA,1,100,0.076595
1759437223.541240,151651.000,21587,2,EA,1,100,0.076562
1759437223.608241,151718.000,21602,1,EA,1,100,0.076526
1759437223.674743,151784.500,21618,2,EA,1,100,0.076507
1759437223.741244,151851.000,21618,2,EA,1,100,0.076499
1759437223.808245,151918.000,21633,1,EA,1,100,0.076501
1759437223.874747,151984.500,21651,2,EA,1,100,0.076513
1759437223.941248,152051.000,21651,2,EA,1,100,0.076489
1759437224.008250,152118.000,21666,1,EA,1,100,0.076479
1759437224.074751,152184.500,21682,2,EA,1,100,0.076491
1759437224.141252,152251.000,21682,2,EA,1,100,0.076497
1759437224.208254,152318.000,21698,1,EA,1,100,0.076499
1759437224.274755,152384.500,21713,2,EA,1,100,0.076508
1759437224.341256,152451.000,21713,2,EA,1,100,0.076512
1759437224.408258,152518.000,21728,1,EA,1,100,0.076519
1759437224.474759,152584.500,21745,2,EA,1,100,0.076538
1759437224.541260,152651.000,21745,2,EA,1,100,0.076544
1759437224.608262,152718.000,21760,1,EA,1,100,0.076549
1759437224.674763,152784.500,21776,2,EA,1,100,0.076554
1759437224.741264,152851.000,21776,2,EA,1,100,0.076560
1759437224.808266,152918.000,21790,1,EA,1,100,0.076566
1759437224.874767,152984.500,21807,2,EA,1,100,0.076572
1759437224.941268,153051.000,21807,2,EA,1,100,0.076584
1759437225.007770,153117.500,21822,2,EA,1,100,0.076610
1759437225.074271,153184.000,21822,2,EA,1,100,0.076624
1759437225.141273,153251.000,21838,1,EA,1,100,0.076634
1759437225.207774,153317.500,21853,2,EA,1,100,0.076648
1759437225.274275,153384.000,21853,2,EA,1,100,0.076660
1759437225.340943,153450.667,21869,3,EA,1,100,0.076676
1759437225.407611,153517.333,21869,3,EA,1,100,0.076695
1759437225.474279,153584.000,21869,3,EA,1,100,0.076705
1759437225.541281,153651.000,21885,2,EA,1,100,0.076718
1759437225.608282,153718.000,21885,2,EA,1,100,0.076728
1759437225.674284,153784.000,21901,1,EA,1,100,0.076751
1759437225.741285,153851.000,21915,2,EA,1,100,0.076771
1759437225.808286,153918.000,21915,2,EA,1,100,0.076800
1759437225.874288,153984.000,21932,1,EA,1,100,0.076828
1759437225.941289,154051.000,21947,2,EA,1,100,0.076843
1759437226.008290,154118.000,21947,2,EA,1,100,0.076858
1759437226.074292,154184.000,21963,1,EA,1,100,0.076882
1759437226.141293,154251.000,21978,2,EA,1,100,0.076918
1759437226.208294,154318.000,21978,2,EA,1,100,0.076975
1759437226.274296,154384.000,21994,1,EA,1,100,0.077024
1759437226.341297,154451.000,22011,2,EA,1,100,0.076957
1759437226.408298,154518.000,22011,2,EA,1,100,0.076896
1759437226.474300,154584.000,22027,1,EA,1,100,0.076867
1759437226.541301,154651.000,22042,2,EA,1,100,0.076860
1759437226.608303,154718.000,22042,2,EA,1,100,0.076870
1759437226.674304,154784.000,22058,1,EA,1,100,0.076869
1759437226.741305,154851.000,22073,2,EA,1,100,0.076922
1759437226.808307,154918.000,22073,2,EA,1,100,0.076957
1759437226.874308,154984.000,22092,1,EA,1,100,0.076939
1759437226.941309,155051.000,22106,2,EA,1,100,0.076926
