LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1759437219.542158,147652.000,20972,1,EL,1,100,-1253.000000
1759437219.608660,147718.500,20987,2,EL,1,100,-1257.199951
1759437219.675161,147785.000,20987,2,EL,1,100,-1261.599976
1759437219.742162,147852.000,21002,1,EL,1,100,-1263.199951
1759437219.808664,147918.500,21021,2,EL,1,100,-1263.000000
1759437219.875165,147985.000,21021,2,EL,1,100,-1264.199951
1759437219.942167,148052.000,21036,1,EL,1,100,-1268.800049
1759437220.008668,148118.500,21052,2,EL,1,100,-1275.000000
1759437220.075169,148185.000,21052,2,EL,1,100,-1278.599976
1759437220.142171,148252.000,21066,1,EL,1,100,-1281.599976
1759437220.208672,148318.500,21083,2,EL,1,100,-1285.000000
1759437220.275173,148385.000,21083,2,EL,1,100,-1290.000000
1759437220.342175,148452.000,21098,1,EL,1,100,-1296.199951
1759437220.408676,148518.500,21115,2,EL,1,100,-1300.400024
1759437220.475177,148585.000,21115,2,EL,1,100,-1304.400024
1759437220.541679,148651.500,21130,2,EL,1,100,-1308.599976
1759437220.608180,148718.000,21130,2,EL,1,100,-1312.000000
1759437220.675181,148785.000,21146,1,EL,1,100,-1318.199951
1759437220.741683,148851.500,21163,2,EL,1,100,-1327.800049
1759437220.808184,148918.000,21163,2,EL,1,100,-1322.599976
1759437220.875185,148985.000,21180,1,EL,1,100,-1314.800049
1759437220.941687,149051.500,21194,2,EL,1,100,-1312.599976
1759437221.008188,149118.000,21194,2,EL,1,100,-1315.800049
1759437221.075190,149185.000,21210,1,EL,1,100,-1321.000000
1759437221.141691,149251.500,21226,2,EL,1,100,-1326.599976
1759437221.208192,149318.000,21226,2,EL,1,100,-1332.400024
1759437221.275194,149385.000,21242,1,EL,1,100,-1339.000000
1759437221.341695,149451.500,21256,2,EL,1,100,-1344.800049
1759437221.408196,149518.000,21256,2,EL,1,100,-1348.400024
1759437221.475198,149585.000,21272,1,EL,1,100,-1353.599976
1759437221.541699,149651.500,21290,2,EL,1,100,-1354.800049
1759437221.608201,149718.000,21290,2,EL,1,100,-1356.000000
1759437221.675202,149785.000,21306,1,EL,1,100,-1357.800049
1759437221.741703,149851.500,21320,2,EL,1,100,-1359.400024
1759437221.808205,149918.000,21320,2,EL,1,100,-1363.800049
1759437221.875206,149985.000,21337,1,EL,1,100,-1370.400024
1759437221.941707,150051.500,21352,2,EL,1,100,-1377.800049
1759437222.008209,150118.000,21352,2,EL,1,100,-1381.599976
1759437222.075210,150185.000,21368,1,EL,1,100,-1383.800049
1759437222.141711,150251.500,21383,2,EL,1,100,-1391.800049
1759437222.208213,150318.000,21383,2,EL,1,100,-1434.599976
1759437222.275214,150385.000,21399,1,EL,1,100,-1461.599976
1759437222.341715,150451.500,21414,2,EL,1,100,-1471.000000
1759437222.408217,150518.000,21414,2,EL,1,100,-1476.000000
1759437222.475218,150585.000,21430,1,EL,1,100,-1479.599976
1759437222.541719,150651.500,21448,2,EL,1,100,-1481.199951
1759437222.608221,150718.000,21448,2,EL,1,100,-1481.599976
1759437222.675222,150785.000,21463,1,EL,1,100,-1482.599976
1759437222.741724,150851.500,21478,2,EL,1,100,-1478.800049
1759437222.808225,150918.000,21478,2,EL,1,100,-1474.199951
1759437222.874726,150984.500,21495,2,EL,1,100,-1470.000000
1759437222.941228,151051.000,21495,2,EL,1,100,-1467.199951
1759437223.008229,151118.000,21510,1,EL,1,100,-1464.199951
1759437223.074730,151184.500,21525,2,EL,1,100,-1462.400024
1759437223.141232,151251.000,21525,2,EL,1,100,-1458.800049
1759437223.208233,151318.000,21541,1,EL,1,100,-1457.000000
1759437223.274734,151384.500,21557,2,EL,1,100,-1453.800049
1759437223.341236,151451.000,21557,2,EL,1,100,-1442.000000
1759437223.408237,151518.000,21572,1,EL,1,100,-1437.400024
1759437223.474739,151584.500,21588,2,EL,1,100,-1446.000000
1759437223.541240,151651.000,21588,2,EL,1,100,-1438.199951
1759437223.608241,151718.000,21603,1,EL,1,100,-1429.599976
1759437223.674743,151784.500,21619,2,EL,1,100,-1425.199951
1759437223.741244,151851.000,21619,2,EL,1,100,-1423.199951
1759437223.808245,151918.000,21634,1,EL,1,100,-1423.599976
1759437223.874747,151984.500,21652,2,EL,1,100,-1426.599976
1759437223.941248,152051.000,21652,2,EL,1,100,-1420.800049
1759437224.008250,152118.000,21667,1,EL,1,100,-1418.400024
1759437224.074751,152184.500,21683,2,EL,1,100,-1421.400024
1759437224.141252,152251.000,21683,2,EL,1,100,-1422.800049
1759437224.208254,152318.000,21699,1,EL,1,100,-1423.199951
1759437224.274755,152384.500,21714,2,EL,1,100,-1425.400024
1759437224.341256,152451.000,21714,2,EL,1,100,-1426.199951
1759437224.408258,152518.000,21729,1,EL,1,100,-1428.000000
1759437224.474759,152584.500,21746,2,EL,1,100,-1432.400024
1759437224.541260,152651.000,21746,2,EL,1,100,-1433.800049
1759437224.608262,152718.000,21761,1,EL,1,100,-1435.000000
1759437224.674763,152784.500,21777,2,EL,1,100,-1436.199951
1759437224.741264,152851.000,21777,2,EL,1,100,-1437.599976
1759437224.808266,152918.000,21791,1,EL,1,100,-1439.000000
1759437224.874767,152984.500,21808,2,EL,1,100,-1440.599976
1759437224.941268,153051.000,21808,2,EL,1,100,-1443.400024
1759437225.007770,153117.500,21823,2,EL,1,100,-1449.599976
1759437225.074271,153184.000,21823,2,EL,1,100,-1452.800049
1759437225.141273,153251.000,21839,1,EL,1,100,-1455.199951
1759437225.207774,153317.500,21854,2,EL,1,100,-1458.400024
1759437225.274275,153384.000,21854,2,EL,1,100,-1461.199951
1759437225.340943,153450.667,21870,3,EL,1,100,-1465.000000
1759437225.407611,153517.333,21870,3,EL,1,100,-1469.599976
1759437225.474279,153584.000,21870,3,EL,1,100,-1472.000000
1759437225.541281,153651.000,21886,2,EL,1,100,-1475.000000
1759437225.608282,153718.000,21886,2,EL,1,100,-1477.400024
1759437225.674284,153784.000,21902,1,EL,1,100,-1482.800049
1759437225.741285,153851.000,21916,2,EL,1,100,-1487.599976
1759437225.808286,153918.000,21916,2,EL,1,100,-1494.400024
1759437225.874288,153984.000,21933,1,EL,1,100,-1501.000000
1759437225.941289,154051.000,21948,2,EL,1,100,-1504.400024
1759437226.008290,154118.000,21948,2,EL,1,100,-1508.000000
1759437226.074292,154184.000,21964,1,EL,1,100,-1513.599976
1759437226.141293,154251.000,21979,2,EL,1,100,-1522.199951
1759437226.208294,154318.000,21979,2,EL,1,100,-1535.400024
1759437226.274296,154384.000,21995,1,EL,1,100,-1547.000000
1759437226.341297,154451.000,22012,2,EL,1,100,-1531.199951
1759437226.408298,154518.000,22012,2,EL,1,100,-1517.000000
1759437226.474300,154584.000,22028,1,EL,1,100,-1510.199951
1759437226.541301,154651.000,22043,2,EL,1,100,-1508.400024
1759437226.608303,154718.000,22043,2,EL,1,100,-1510.800049
1759437226.674304,154784.000,22059,1,EL,1,100,-1510.599976
1759437226.741305,154851.000,22074,2,EL,1,100,-1523.000000
1759437226.808307,154918.000,22074,2,EL,1,100,-1531.199951
1759437226.874308,154984.000,22093,1,EL,1,100,-1527.000000
1759437226.941309,155051.000,22107,2,EL,1,100,-1524.000000
1759437227.008311,155118.000,22107,2,EL,1,100,-1524.400024
1759437227.074312,155184.000,22123,1,EL,1,100,-1524.199951
1759437227.141313,155251.000,22139,2,EL,1,100,-1522.400024
1759437227.208315,155318.000,22139,2,EL,1,100,-1524.199951
1759437227.274316,155384.000,22155,1,EL,1,100,-1525.599976
1759437227.341317,155451.000,22170,2,EL,1,100,-1530.400024
1759437227.408319,155518.000,22170,2,EL,1,100,-1528.599976
1759437227.474820,155584.500,22186,2,EL,1,100,-1528.199951
1759437227.541322,155651.000,22186,2,EL,1,100,-1528.400024
1759437227.608323,155718.000,22201,1,EL,1,100,-1531.199951
1759437227.674824,155784.500,22219,2,EL,1,100,-1532.800049
1759437227.741326,155851.000,22219,2,EL,1,100,-1533.000000
1759437227.808327,155918.000,22234,1,EL,1,100,-1532.599976
1759437227.874828,155984.500,22250,2,EL,1,100,-1532.400024
1759437227.941330,156051.000,22250,2,EL,1,100,-1537.000000
1759437228.007331,156117.000,22265,1,EL,1,100,-1543.199951
1759437228.074332,156184.000,22281,2,EL,1,100,-1545.000000
1759437228.141334,156251.000,22281,2,EL,1,100,-1546.000000
1759437228.207335,156317.000,22297,1,EL,1,100,-1547.599976
1759437228.274337,156384.000,22314,2,EL,1,100,-1549.800049
1759437228.341338,156451.000,22314,2,EL,1,100,-1547.800049
1759437228.407339,156517.000,22329,1,EL,1,100,-1543.199951
1759437228.474341,156584.000,22346,2,EL,1,100,-1538.599976
1759437228.541342,156651.000,22346,2,EL,1,100,-1534.000000
1759437228.607343,156717.000,22361,1,EL,1,100,-1531.400024
1759437228.674345,156784.000,22376,2,EL,1,100,-1528.800049
1759437228.741346,156851.000,22376,2,EL,1,100,-1526.000000
1759437228.807348,156917.000,22391,1,EL,1,100,-1523.599976
1759437228.874349,156984.000,22410,2,EL,1,100,-1520.800049
1759437228.941350,157051.000,22410,2,EL,1,100,-1518.199951
1759437229.007352,157117.000,22425,1,EL,1,100,-1517.000000
1759437229.074353,157184.000,22440,2,EL,1,100,-1515.000000
1759437229.141354,157251.000,22440,2,EL,1,100,-1512.000000
1759437229.207856,157317.500,22457,2,EL,1,100,-1508.800049
1759437229.274357,157384.000,22457,2,EL,1,100,-1506.599976
1759437229.340858,157450.500,22473,2,EL,1,100,-1505.000000
1759437229.407360,157517.000,22473,2,EL,1,100,-1505.800049
1759437229.474361,157584.000,22488,1,EL,1,100,-1504.599976
1759437229.540862,157650.500,22505,2,EL,1,100,-1503.199951
1759437229.607364,157717.000,22505,2,EL,1,100,-1503.199951
1759437229.674365,157784.000,22520,1,EL,1,100,-1501.400024
1759437229.740866,157850.500,22535,2,EL,1,100,-1500.199951
1759437229.807368,157917.000,22535,2,EL,1,100,-1500.000000
1759437229.874369,157984.000,22551,1,EL,1,100,-1499.400024
1759437229.940871,158050.500,22567,2,EL,1,100,-1499.800049
1759437230.007372,158117.000,22567,2,EL,1,100,-1502.000000
1759437230.074373,158184.000,22582,1,EL,1,100,-1502.000000
1759437230.140875,158250.500,22598,2,EL,1,100,-1504.000000
1759437230.207376,158317.000,22598,2,EL,1,100,-1509.000000
1759437230.274377,158384.000,22613,1,EL,1,100,-1510.400024
1759437230.340879,158450.500,22629,2,EL,1,100,-1510.000000
1759437230.407380,158517.000,22629,2,EL,1,100,-1509.599976
1759437230.474381,158584.000,22644,1,EL,1,100,-1513.199951
1759437230.540883,158650.500,22660,2,EL,1,100,-1513.400024
1759437230.607384,158717.000,22660,2,EL,1,100,-1512.000000
1759437230.674386,158784.000,22676,1,EL,1,100,-1512.599976
1759437230.740887,158850.500,22692,2,EL,1,100,-1513.000000
1759437230.807388,158917.000,22692,2,EL,1,100,-1514.599976
1759437230.874390,158984.000,22708,1,EL,1,100,-1516.800049
1759437230.940891,159050.500,22724,2,EL,1,100,-1518.400024
1759437231.007392,159117.000,22724,2,EL,1,100,-1520.599976
1759437231.074394,159184.000,22738,2,EL,1,100,-1522.199951
1759437231.141395,159251.000,22738,2,EL,1,100,-1527.199951
1759437231.207397,159317.000,22755,1,EL,1,100,-1532.599976
1759437231.273898,159383.500,22772,2,EL,1,100,-1531.599976
1759437231.340399,159450.000,22772,2,EL,1,100,-1529.599976
1759437231.407401,159517.000,22788,1,EL,1,100,-1530.800049
1759437231.473902,159583.500,22803,2,EL,1,100,-1533.800049
1759437231.540403,159650.000,22803,2,EL,1,100,-1537.400024
1759437231.607405,159717.000,22819,1,EL,1,100,-1540.599976
1759437231.673906,159783.500,22836,2,EL,1,100,-1540.599976
1759437231.740407,159850.000,22836,2,EL,1,100,-1538.800049
1759437231.807409,159917.000,22852,1,EL,1,100,-1539.400024
1759437231.873910,159983.500,22867,2,EL,1,100,-1542.199951
1759437231.940411,160050.000,22867,2,EL,1,100,-1545.599976
1759437232.007413,160117.000,22883,1,EL,1,100,-1549.000000
