LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1759437219.596159,147706.000,20978,3,GZ,1,100,-0.214
1759437219.596159,147706.000,20978,3,GZ,1,100,-0.244
1759437219.596159,147706.000,20978,3,GZ,1,100,-0.275
1759437219.636160,147746.000,20994,2,GZ,1,100,-0.244
1759437219.676161,147786.000,20994,2,GZ,1,100,-0.244
1759437219.716162,147826.000,21009,3,GZ,1,100,-0.183
1759437219.756163,147866.000,21009,3,GZ,1,100,-0.153
1759437219.796164,147906.000,21009,3,GZ,1,100,-0.122
1759437219.836164,147946.000,21028,2,GZ,1,100,-0.244
1759437219.876165,147986.000,21028,2,GZ,1,100,-0.153
1759437219.916166,148026.000,21043,3,GZ,1,100,-0.183
1759437219.956167,148066.000,21043,3,GZ,1,100,-0.061
1759437219.996168,148106.000,21043,3,GZ,1,100,-0.092
1759437220.036168,148146.000,21058,2,GZ,1,100,-0.183
1759437220.076169,148186.000,21058,2,GZ,1,100,-0.214
1759437220.116170,148226.000,21073,3,GZ,1,100,-0.183
1759437220.156171,148266.000,21073,3,GZ,1,100,-0.244
1759437220.196172,148306.000,21073,3,GZ,1,100,-0.183
1759437220.236172,148346.000,21090,2,GZ,1,100,-0.061
1759437220.276173,148386.000,21090,2,GZ,1,100,-0.092
1759437220.323174,148433.000,21105,2,GZ,1,100,-0.183
1759437220.370175,148480.000,21105,2,GZ,1,100,-0.275
1759437220.410176,148520.000,21121,3,GZ,1,100,-0.183
1759437220.450177,148560.000,21121,3,GZ,1,100,-0.122
1759437220.490178,148600.000,21121,3,GZ,1,100,-0.122
1759437220.530179,148640.000,21137,2,GZ,1,100,-0.031
1759437220.570179,148680.000,21137,2,GZ,1,100,-0.244
1759437220.610180,148720.000,21153,3,GZ,1,100,-0.305
1759437220.650181,148760.000,21153,3,GZ,1,100,-0.153
1759437220.690182,148800.000,21153,3,GZ,1,100,-0.275
1759437220.730183,148840.000,21170,3,GZ,1,100,-0.275
1759437220.770183,148880.000,21170,3,GZ,1,100,-0.183
1759437220.810184,148920.000,21170,3,GZ,1,100,-0.153
1759437220.850185,148960.000,21186,2,GZ,1,100,-0.153
1759437220.890186,149000.000,21186,2,GZ,1,100,-0.183
1759437220.930187,149040.000,21201,3,GZ,1,100,-0.244
1759437220.970187,149080.000,21201,3,GZ,1,100,-0.214
1759437221.010188,149120.000,21201,3,GZ,1,100,-0.153
1759437221.050189,149160.000,21217,2,GZ,1,100,-0.092
1759437221.090190,149200.000,21217,2,GZ,1,100,-0.122
1759437221.130191,149240.000,21233,3,GZ,1,100,-0.092
1759437221.170192,149280.000,21233,3,GZ,1,100,-0.122
1759437221.210192,149320.000,21233,3,GZ,1,100,-0.092
1759437221.250193,149360.000,21248,2,GZ,1,100,-0.183
1759437221.290194,149400.000,21248,2,GZ,1,100,-0.122
1759437221.334195,149444.000,21263,3,GZ,1,100,-0.183
1759437221.378196,149488.000,21263,3,GZ,1,100,-0.214
1759437221.422197,149532.000,21263,3,GZ,1,100,-0.122
1759437221.462198,149572.000,21279,2,GZ,1,100,-0.153
1759437221.502198,149612.000,21279,2,GZ,1,100,-0.153
1759437221.542199,149652.000,21297,3,GZ,1,100,0.000
1759437221.582200,149692.000,21297,3,GZ,1,100,-0.092
1759437221.622201,149732.000,21297,3,GZ,1,100,-0.214
1759437221.662202,149772.000,21312,2,GZ,1,100,-0.183
1759437221.702202,149812.000,21312,2,GZ,1,100,-0.214
1759437221.742203,149852.000,21327,3,GZ,1,100,-0.153
1759437221.782204,149892.000,21327,3,GZ,1,100,-0.183
1759437221.822205,149932.000,21327,3,GZ,1,100,-0.153
1759437221.862206,149972.000,21344,2,GZ,1,100,-0.122
1759437221.902206,150012.000,21344,2,GZ,1,100,-0.153
1759437221.942207,150052.000,21359,3,GZ,1,100,-0.153
1759437221.982208,150092.000,21359,3,GZ,1,100,-0.031
1759437222.022209,150132.000,21359,3,GZ,1,100,-0.183
1759437222.062210,150172.000,21374,2,GZ,1,100,-0.214
1759437222.102211,150212.000,21374,2,GZ,1,100,-0.122
1759437222.142211,150252.000,21390,3,GZ,1,100,-0.244
1759437222.182212,150292.000,21390,3,GZ,1,100,-0.244
1759437222.222213,150332.000,21390,3,GZ,1,100,-0.092
1759437222.262214,150372.000,21406,2,GZ,1,100,-0.244
1759437222.302215,150412.000,21406,2,GZ,1,100,-0.183
1759437222.346549,150456.333,21421,3,GZ,1,100,-0.183
1759437222.390883,150500.667,21421,3,GZ,1,100,-0.458
1759437222.435217,150545.000,21421,3,GZ,1,100,-0.427
