LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1759437219.490157,147600.000,20966,1,PG,1,100,7552
1759437219.530158,147640.000,20970,2,PG,1,100,7551
1759437219.570159,147680.000,20970,2,PG,1,100,7544
1759437219.610160,147720.000,20985,3,PG,1,100,7562
1759437219.650161,147760.000,20985,3,PG,1,100,7560
1759437219.690161,147800.000,20985,3,PG,1,100,7540
1759437219.730162,147840.000,21000,2,PG,1,100,7538
1759437219.770163,147880.000,21000,2,PG,1,100,7537
1759437219.810164,147920.000,21019,3,PG,1,100,7550
1759437219.850165,147960.000,21019,3,PG,1,100,7548
1759437219.890165,148000.000,21019,3,PG,1,100,7537
1759437219.930166,148040.000,21034,2,PG,1,100,7525
1759437219.970167,148080.000,21034,2,PG,1,100,7516
1759437220.010168,148120.000,21050,3,PG,1,100,7531
1759437220.050169,148160.000,21050,3,PG,1,100,7513
1759437220.090169,148200.000,21050,3,PG,1,100,7517
1759437220.130170,148240.000,21064,2,PG,1,100,7511
1759437220.170171,148280.000,21064,2,PG,1,100,7508
1759437220.210172,148320.000,21081,3,PG,1,100,7528
1759437220.250173,148360.000,21081,3,PG,1,100,7521
1759437220.290174,148400.000,21081,3,PG,1,100,7517
1759437220.330174,148440.000,21096,2,PG,1,100,7508
1759437220.370175,148480.000,21096,2,PG,1,100,7501
1759437220.410176,148520.000,21113,3,PG,1,100,7509
1759437220.450177,148560.000,21113,3,PG,1,100,7494
1759437220.490178,148600.000,21113,3,PG,1,100,7514
1759437220.530179,148640.000,21128,3,PG,1,100,7505
1759437220.570179,148680.000,21128,3,PG,1,100,7506
1759437220.610180,148720.000,21128,3,PG,1,100,7500
1759437220.650181,148760.000,21144,2,PG,1,100,7500
1759437220.690182,148800.000,21144,2,PG,1,100,7499
1759437220.730183,148840.000,21161,3,PG,1,100,7501
1759437220.770183,148880.000,21161,3,PG,1,100,7487
1759437220.810184,148920.000,21161,3,PG,1,100,7489
1759437220.850185,148960.000,21178,2,PG,1,100,7497
1759437220.890186,149000.000,21178,2,PG,1,100,7488
1759437220.930187,149040.000,21192,3,PG,1,100,7492
1759437220.970187,149080.000,21192,3,PG,1,100,7476
1759437221.010188,149120.000,21192,3,PG,1,100,7487
1759437221.050189,149160.000,21208,2,PG,1,100,7477
1759437221.090190,149200.000,21208,2,PG,1,100,7485
1759437221.130191,149240.000,21224,3,PG,1,100,7488
1759437221.170192,149280.000,21224,3,PG,1,100,7479
1759437221.210192,149320.000,21224,3,PG,1,100,7478
1759437221.250193,149360.000,21240,2,PG,1,100,7491
1759437221.290194,149400.000,21240,2,PG,1,100,7476
1759437221.329861,149439.667,21254,3,PG,1,100,7490
1759437221.369529,149479.333,21254,3,PG,1,100,7476
1759437221.409196,149519.000,21254,3,PG,1,100,7461
1759437221.449197,149559.000,21270,2,PG,1,100,7476
1759437221.489198,149599.000,21270,2,PG,1,100,7472
1759437221.529199,149639.000,21288,3,PG,1,100,7479
1759437221.569200,149679.000,21288,3,PG,1,100,7468
1759437221.609200,149719.000,21288,3,PG,1,100,7462
1759437221.649201,149759.000,21304,2,PG,1,100,7474
1759437221.689202,149799.000,21304,2,PG,1,100,7460
1759437221.729203,149839.000,21318,3,PG,1,100,7470
1759437221.769204,149879.000,21318,3,PG,1,100,7465
1759437221.809205,149919.000,21318,3,PG,1,100,7459
1759437221.849205,149959.000,21335,3,PG,1,100,7465
1759437221.889206,149999.000,21335,3,PG,1,100,7468
1759437221.929207,150039.000,21335,3,PG,1,100,7458
1759437221.969208,150079.000,21350,2,PG,1,100,7465
1759437222.009209,150119.000,21350,2,PG,1,100,7462
1759437222.049210,150159.000,21366,3,PG,1,100,7461
1759437222.089210,150199.000,21366,3,PG,1,100,7465
1759437222.129211,150239.000,21366,3,PG,1,100,7469
1759437222.169212,150279.000,21381,2,PG,1,100,7471
1759437222.209213,150319.000,21381,2,PG,1,100,7453
1759437222.249213,150359.000,21397,3,PG,1,100,7462
1759437222.289214,150399.000,21397,3,PG,1,100,7461
1759437222.329215,150439.000,21397,3,PG,1,100,7464
1759437222.369216,150479.000,21412,2,PG,1,100,7451
1759437222.409217,150519.000,21412,2,PG,1,100,7443
1759437222.456218,150566.000,21428,2,PG,1,100,7457
1759437222.503219,150613.000,21428,2,PG,1,100,7444
1759437222.543220,150653.000,21446,3,PG,1,100,7450
1759437222.583220,150693.000,21446,3,PG,1,100,7451
1759437222.623221,150733.000,21446,3,PG,1,100,7446
