LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1759437219.490157,147600.000,20964,1,PI,1,100,166633
1759437219.530158,147640.000,20968,2,PI,1,100,166635
1759437219.570159,147680.000,20968,2,PI,1,100,166628
1759437219.610160,147720.000,20983,3,PI,1,100,166635
1759437219.650161,147760.000,20983,3,PI,1,100,166644
1759437219.690161,147800.000,20983,3,PI,1,100,166636
1759437219.730162,147840.000,20998,2,PI,1,100,166637
1759437219.770163,147880.000,20998,2,PI,1,100,166644
1759437219.810164,147920.000,21017,3,PI,1,100,166622
1759437219.850165,147960.000,21017,3,PI,1,100,166662
1759437219.890165,148000.000,21017,3,PI,1,100,166655
1759437219.930166,148040.000,21032,2,PI,1,100,166642
1759437219.970167,148080.000,21032,2,PI,1,100,166636
1759437220.010168,148120.000,21048,3,PI,1,100,166637
1759437220.050169,148160.000,21048,3,PI,1,100,166657
1759437220.090169,148200.000,21048,3,PI,1,100,166650
1759437220.130170,148240.000,21062,2,PI,1,100,166654
1759437220.170171,148280.000,21062,2,PI,1,100,166663
1759437220.210172,148320.000,21079,3,PI,1,100,166658
1759437220.250173,148360.000,21079,3,PI,1,100,166671
1759437220.290174,148400.000,21079,3,PI,1,100,166657
1759437220.330174,148440.000,21094,2,PI,1,100,166654
1759437220.370175,148480.000,21094,2,PI,1,100,166647
1759437220.410176,148520.000,21111,3,PI,1,100,166675
1759437220.450177,148560.000,21111,3,PI,1,100,166687
1759437220.490178,148600.000,21111,3,PI,1,100,166694
1759437220.530179,148640.000,21126,3,PI,1,100,166675
1759437220.570179,148680.000,21126,3,PI,1,100,166677
1759437220.610180,148720.000,21126,3,PI,1,100,166649
1759437220.650181,148760.000,21142,2,PI,1,100,166676
1759437220.690182,148800.000,21142,2,PI,1,100,166679
1759437220.730183,148840.000,21159,3,PI,1,100,166673
1759437220.770183,148880.000,21159,3,PI,1,100,166661
1759437220.810184,148920.000,21159,3,PI,1,100,166677
1759437220.850185,148960.000,21176,2,PI,1,100,166672
1759437220.890186,149000.000,21176,2,PI,1,100,166682
1759437220.930187,149040.000,21190,3,PI,1,100,166671
1759437220.970187,149080.000,21190,3,PI,1,100,166674
1759437221.010188,149120.000,21190,3,PI,1,100,166671
1759437221.050189,149160.000,21206,2,PI,1,100,166686
1759437221.090190,149200.000,21206,2,PI,1,100,166703
1759437221.130191,149240.000,21222,3,PI,1,100,166686
1759437221.170192,149280.000,21222,3,PI,1,100,166692
1759437221.210192,149320.000,21222,3,PI,1,100,166705
1759437221.250193,149360.000,21238,2,PI,1,100,166694
1759437221.290194,149400.000,21238,2,PI,1,100,166705
1759437221.329861,149439.667,21252,3,PI,1,100,166708
1759437221.369529,149479.333,21252,3,PI,1,100,166700
1759437221.409196,149519.000,21252,3,PI,1,100,166687
1759437221.449197,149559.000,21268,2,PI,1,100,166700
1759437221.489198,149599.000,21268,2,PI,1,100,166701
1759437221.529199,149639.000,21286,3,PI,1,100,166706
1759437221.569200,149679.000,21286,3,PI,1,100,166696
1759437221.609200,149719.000,21286,3,PI,1,100,166698
1759437221.649201,149759.000,21302,2,PI,1,100,166719
1759437221.689202,149799.000,21302,2,PI,1,100,166719
1759437221.729203,149839.000,21316,3,PI,1,100,166714
1759437221.769204,149879.000,21316,3,PI,1,100,166702
1759437221.809205,149919.000,21316,3,PI,1,100,166716
1759437221.849205,149959.000,21333,3,PI,1,100,166713
1759437221.889206,149999.000,21333,3,PI,1,100,166704
1759437221.929207,150039.000,21333,3,PI,1,100,166715
1759437221.969208,150079.000,21348,2,PI,1,100,166719
1759437222.009209,150119.000,21348,2,PI,1,100,166719
1759437222.049210,150159.000,21364,3,PI,1,100,166724
1759437222.089210,150199.000,21364,3,PI,1,100,166713
1759437222.129211,150239.000,21364,3,PI,1,100,166731
1759437222.169212,150279.000,21379,2,PI,1,100,166725
1759437222.209213,150319.000,21379,2,PI,1,100,166696
1759437222.249213,150359.000,21395,3,PI,1,100,166745
1759437222.289214,150399.000,21395,3,PI,1,100,166728
1759437222.329215,150439.000,21395,3,PI,1,100,166737
1759437222.369216,150479.000,21410,2,PI,1,100,166721
1759437222.409217,150519.000,21410,2,PI,1,100,166718
1759437222.456218,150566.000,21426,2,PI,1,100,166723
1759437222.503219,150613.000,21426,2,PI,1,100,166734
1759437222.543220,150653.000,21444,3,PI,1,100,166740
1759437222.583220,150693.000,21444,3,PI,1,100,166731
1759437222.623221,150733.000,21444,3,PI,1,100,166727
1759437222.663222,150773.000,21459,2,PI,1,100,166724
1759437222.703223,150813.000,21459,2,PI,1,100,166726
1759437222.743224,150853.000,21474,3,PI,1,100,166737
1759437222.783225,150893.000,21474,3,PI,1,100,166740
1759437222.823225,150933.000,21474,3,PI,1,100,166739
1759437222.863226,150973.000,21491,3,PI,1,100,166759
1759437222.903227,151013.000,21491,3,PI,1,100,166743
1759437222.943228,151053.000,21491,3,PI,1,100,166748
1759437222.983228,151093.000,21506,2,PI,1,100,166739
1759437223.023229,151133.000,21506,2,PI,1,100,166741
1759437223.063230,151173.000,21521,3,PI,1,100,166766
1759437223.103231,151213.000,21521,3,PI,1,100,166765
1759437223.143232,151253.000,21521,3,PI,1,100,166761
1759437223.183233,151293.000,21537,2,PI,1,100,166741
1759437223.223233,151333.000,21537,2,PI,1,100,166741
1759437223.263234,151373.000,21553,3,PI,1,100,166751
1759437223.303235,151413.000,21553,3,PI,1,100,166748
1759437223.343236,151453.000,21553,3,PI,1,100,166757
1759437223.383237,151493.000,21568,2,PI,1,100,166759
1759437223.423238,151533.000,21568,2,PI,1,100,166737
1759437223.463238,151573.000,21584,3,PI,1,100,166748
1759437223.503239,151613.000,21584,3,PI,1,100,166747
1759437223.543240,151653.000,21584,3,PI,1,100,166749
1759437223.583241,151693.000,21599,2,PI,1,100,166757
1759437223.623242,151733.000,21599,2,PI,1,100,166763
1759437223.663242,151773.000,21615,3,PI,1,100,166756
1759437223.703243,151813.000,21615,3,PI,1,100,166756
1759437223.743244,151853.000,21615,3,PI,1,100,166759
1759437223.783245,151893.000,21630,2,PI,1,100,166763
1759437223.823246,151933.000,21630,2,PI,1,100,166751
1759437223.863246,151973.000,21648,3,PI,1,100,166764
1759437223.903247,152013.000,21648,3,PI,1,100,166763
1759437223.943248,152053.000,21648,3,PI,1,100,166758
1759437223.983249,152093.000,21663,2,PI,1,100,166769
1759437224.023250,152133.000,21663,2,PI,1,100,166773
1759437224.063251,152173.000,21679,3,PI,1,100,166763
1759437224.103251,152213.000,21679,3,PI,1,100,166785
1759437224.143252,152253.000,21679,3,PI,1,100,166779
1759437224.183253,152293.000,21695,3,PI,1,100,166781
1759437224.223254,152333.000,21695,3,PI,1,100,166765
1759437224.263255,152373.000,21695,3,PI,1,100,166758
1759437224.303256,152413.000,21710,2,PI,1,100,166774
1759437224.343256,152453.000,21710,2,PI,1,100,166761
1759437224.383257,152493.000,21725,3,PI,1,100,166787
