LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437219.490157,147600.000,20965,1,PR,1,100,104757
1759437219.530158,147640.000,20969,2,PR,1,100,104755
1759437219.570159,147680.000,20969,2,PR,1,100,104747
1759437219.610160,147720.000,20984,3,PR,1,100,104764
1759437219.650161,147760.000,20984,3,PR,1,100,104753
1759437219.690161,147800.000,20984,3,PR,1,100,104756
1759437219.730162,147840.000,20999,2,PR,1,100,104754
1759437219.770163,147880.000,20999,2,PR,1,100,104751
1759437219.810164,147920.000,21018,3,PR,1,100,104753
1759437219.850165,147960.000,21018,3,PR,1,100,104747
1759437219.890165,148000.000,21018,3,PR,1,100,104753
1759437219.930166,148040.000,21033,2,PR,1,100,104757
1759437219.970167,148080.000,21033,2,PR,1,100,104760
1759437220.010168,148120.000,21049,3,PR,1,100,104753
1759437220.050169,148160.000,21049,3,PR,1,100,104747
1759437220.090169,148200.000,21049,3,PR,1,100,104745
1759437220.130170,148240.000,21063,2,PR,1,100,104755
1759437220.170171,148280.000,21063,2,PR,1,100,104752
1759437220.210172,148320.000,21080,3,PR,1,100,104751
1759437220.250173,148360.000,21080,3,PR,1,100,104746
1759437220.290174,148400.000,21080,3,PR,1,100,104754
1759437220.330174,148440.000,21095,2,PR,1,100,104735
1759437220.370175,148480.000,21095,2,PR,1,100,104752
1759437220.410176,148520.000,21112,3,PR,1,100,104746
1759437220.450177,148560.000,21112,3,PR,1,100,104754
1759437220.490178,148600.000,21112,3,PR,1,100,104744
1759437220.530179,148640.000,21127,3,PR,1,100,104735
1759437220.570179,148680.000,21127,3,PR,1,100,104738
1759437220.610180,148720.000,21127,3,PR,1,100,104740
1759437220.650181,148760.000,21143,2,PR,1,100,104746
1759437220.690182,148800.000,21143,2,PR,1,100,104732
1759437220.730183,148840.000,21160,3,PR,1,100,104736
1759437220.770183,148880.000,21160,3,PR,1,100,104739
1759437220.810184,148920.000,21160,3,PR,1,100,104732
1759437220.850185,148960.000,21177,2,PR,1,100,104745
1759437220.890186,149000.000,21177,2,PR,1,100,104736
1759437220.930187,149040.000,21191,3,PR,1,100,104739
1759437220.970187,149080.000,21191,3,PR,1,100,104747
1759437221.010188,149120.000,21191,3,PR,1,100,104737
1759437221.050189,149160.000,21207,2,PR,1,100,104742
1759437221.090190,149200.000,21207,2,PR,1,100,104742
1759437221.130191,149240.000,21223,3,PR,1,100,104726
1759437221.170192,149280.000,21223,3,PR,1,100,104732
1759437221.210192,149320.000,21223,3,PR,1,100,104754
1759437221.250193,149360.000,21239,2,PR,1,100,104740
1759437221.290194,149400.000,21239,2,PR,1,100,104746
1759437221.329861,149439.667,21253,3,PR,1,100,104727
1759437221.369529,149479.333,21253,3,PR,1,100,104747
1759437221.409196,149519.000,21253,3,PR,1,100,104726
1759437221.449197,149559.000,21269,2,PR,1,100,104743
1759437221.489198,149599.000,21269,2,PR,1,100,104744
1759437221.529199,149639.000,21287,3,PR,1,100,104738
1759437221.569200,149679.000,21287,3,PR,1,100,104731
1759437221.609200,149719.000,21287,3,PR,1,100,104738
1759437221.649201,149759.000,21303,2,PR,1,100,104734
1759437221.689202,149799.000,21303,2,PR,1,100,104736
1759437221.729203,149839.000,21317,3,PR,1,100,104728
1759437221.769204,149879.000,21317,3,PR,1,100,104719
1759437221.809205,149919.000,21317,3,PR,1,100,104722
1759437221.849205,149959.000,21334,3,PR,1,100,104735
1759437221.889206,149999.000,21334,3,PR,1,100,104744
1759437221.929207,150039.000,21334,3,PR,1,100,104727
1759437221.969208,150079.000,21349,2,PR,1,100,104722
1759437222.009209,150119.000,21349,2,PR,1,100,104739
1759437222.049210,150159.000,21365,3,PR,1,100,104722
1759437222.089210,150199.000,21365,3,PR,1,100,104731
1759437222.129211,150239.000,21365,3,PR,1,100,104729
1759437222.169212,150279.000,21380,2,PR,1,100,104729
1759437222.209213,150319.000,21380,2,PR,1,100,104735
1759437222.249213,150359.000,21396,3,PR,1,100,104716
1759437222.289214,150399.000,21396,3,PR,1,100,104727
1759437222.329215,150439.000,21396,3,PR,1,100,104733
1759437222.369216,150479.000,21411,2,PR,1,100,104716
1759437222.409217,150519.000,21411,2,PR,1,100,104707
1759437222.456218,150566.000,21427,2,PR,1,100,104727
1759437222.503219,150613.000,21427,2,PR,1,100,104730
1759437222.543220,150653.000,21445,3,PR,1,100,104724
1759437222.583220,150693.000,21445,3,PR,1,100,104713
1759437222.623221,150733.000,21445,3,PR,1,100,104712
1759437222.663222,150773.000,21460,2,PR,1,100,104743
1759437222.703223,150813.000,21460,2,PR,1,100,104728
1759437222.743224,150853.000,21475,3,PR,1,100,104707
1759437222.783225,150893.000,21475,3,PR,1,100,104727
1759437222.823225,150933.000,21475,3,PR,1,100,104735
1759437222.863226,150973.000,21492,3,PR,1,100,104705
1759437222.903227,151013.000,21492,3,PR,1,100,104723
1759437222.943228,151053.000,21492,3,PR,1,100,104734
1759437222.983228,151093.000,21507,2,PR,1,100,104719
1759437223.023229,151133.000,21507,2,PR,1,100,104729
1759437223.063230,151173.000,21522,3,PR,1,100,104726
1759437223.103231,151213.000,21522,3,PR,1,100,104729
1759437223.143232,151253.000,21522,3,PR,1,100,104735
1759437223.183233,151293.000,21538,2,PR,1,100,104712
1759437223.223233,151333.000,21538,2,PR,1,100,104705
1759437223.263234,151373.000,21554,3,PR,1,100,104711
1759437223.303235,151413.000,21554,3,PR,1,100,104710
1759437223.343236,151453.000,21554,3,PR,1,100,104722
1759437223.383237,151493.000,21569,2,PR,1,100,104722
1759437223.423238,151533.000,21569,2,PR,1,100,104726
1759437223.463238,151573.000,21585,3,PR,1,100,104718
1759437223.503239,151613.000,21585,3,PR,1,100,104726
1759437223.543240,151653.000,21585,3,PR,1,100,104712
1759437223.583241,151693.000,21600,2,PR,1,100,104724
1759437223.623242,151733.000,21600,2,PR,1,100,104712
1759437223.663242,151773.000,21616,3,PR,1,100,104721
1759437223.703243,151813.000,21616,3,PR,1,100,104721
1759437223.743244,151853.000,21616,3,PR,1,100,104726
1759437223.783245,151893.000,21631,2,PR,1,100,104706
1759437223.823246,151933.000,21631,2,PR,1,100,104701
1759437223.863246,151973.000,21649,3,PR,1,100,104720
1759437223.903247,152013.000,21649,3,PR,1,100,104722
1759437223.943248,152053.000,21649,3,PR,1,100,104730
1759437223.983249,152093.000,21664,2,PR,1,100,104713
1759437224.023250,152133.000,21664,2,PR,1,100,104719
1759437224.063251,152173.000,21680,3,PR,1,100,104712
1759437224.103251,152213.000,21680,3,PR,1,100,104717
1759437224.143252,152253.000,21680,3,PR,1,100,104725
