LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1759437219.475157,147585.000,21014,1,SA,1,100,0.000060
1759437219.942167,148052.000,21157,1,SA,1,100,0.000245
1759437221.142191,149252.000,21284,1,SA,1,100,0.000118
1759437221.808205,149918.000,21441,1,SA,1,100,0.000488
1759437224.941268,153051.000,22006,1,SA,1,100,0.000440
1759437226.674304,154784.000,22086,1,SA,1,100,0.000088
1759437227.608323,155718.000,22213,1,SA,1,100,0.000007
1759437227.941330,156051.000,22308,1,SA,1,100,0.000055
1759437231.141395,159251.000,22766,1,SA,1,100,0.000019
1759437231.407401,159517.000,22830,1,SA,1,100,0.000042
1759437231.807409,159917.000,22894,1,SA,1,100,0.000039
1759437232.874430,160984.000,23161,1,SA,1,100,0.000186
1759437234.008454,162118.000,23227,1,SA,1,100,0.000027
1759437234.807470,162917.000,23448,1,SA,1,100,0.000146
1759437236.007494,164117.000,23636,1,SA,1,100,0.000400
1759437237.207519,165317.000,23840,1,SA,1,100,0.001236
1759437239.606568,167716.000,24078,1,SA,1,100,0.000021
1759437242.073618,170183.000,24593,1,SA,1,100,0.001142
1759437243.473647,171583.000,24689,1,SA,1,100,0.000512
1759437253.139844,181249.000,26177,1,SA,1,100,0.000010
1759437253.472851,181582.000,26275,1,SA,1,100,0.000061
1759437254.005862,182115.000,26309,1,SA,1,100,0.000032
1759437254.539873,182649.000,26410,1,SA,1,100,0.000018
1759437254.939881,183049.000,26459,1,SA,1,100,0.000001
1759437255.272888,183382.000,26508,1,SA,1,100,0.000006
1759437255.472892,183582.000,26587,1,SA,1,100,0.000080
1759437256.205907,184315.000,26683,1,SA,1,100,0.000131
1759437257.072924,185182.000,26810,1,SA,1,100,0.000021
1759437257.671937,185781.000,26953,1,SA,1,100,0.000148
1759437262.272031,190381.000,27610,1,SA,1,100,0.000005
1759437262.538036,190647.000,27644,1,SA,1,100,0.000008
1759437262.738040,190847.000,27851,1,SA,1,100,0.000342
1759437265.138089,193247.000,28040,1,SA,1,100,0.000007
1759437265.605099,193714.000,28119,1,SA,1,100,0.000029
1759437266.272112,194381.000,28214,1,SA,1,100,0.000009
1759437266.605119,194714.000,28278,1,SA,1,100,0.000036
1759437267.205131,195314.000,28374,1,SA,1,100,0.000062
1759437268.471157,196580.000,28594,1,SA,1,100,0.000036
1759437269.204172,197313.000,28708,1,SA,1,100,0.000061
1759437270.204193,198313.000,28834,1,SA,1,100,0.000009
1759437270.471198,198580.000,28913,1,SA,1,100,0.000074
1759437271.204213,199313.000,28994,1,SA,1,100,0.000017
1759437272.537240,200646.000,29197,1,SA,1,100,0.000005
1759437273.204254,201313.000,29324,1,SA,1,100,0.000016
1759437273.604262,201713.000,29468,1,SA,1,100,0.000102
1759437275.070292,203179.000,29610,1,SA,1,100,0.000028
1759437275.404299,203513.000,29768,1,SA,1,100,0.000254
1759437277.538342,205647.000,29989,1,SA,1,100,0.000026
1759437277.804348,205913.000,30023,1,SA,1,100,0.000012
1759437278.003352,206112.000,30119,1,SA,1,100,0.000116
1759437278.803368,206912.000,30262,1,SA,1,100,0.000142
1759437280.271398,208380.000,30420,1,SA,1,100,0.000044
1759437280.871410,208980.000,30516,1,SA,1,100,0.000048
1759437281.604425,209713.000,30611,1,SA,1,100,0.000010
1759437281.936432,210045.000,30659,1,SA,1,100,0.000014
1759437282.270439,210379.000,30755,1,SA,1,100,0.000047
1759437282.670447,210779.000,30849,1,SA,1,100,0.000087
1759437283.270459,211379.000,30979,1,SA,1,100,0.000181
1759437284.270480,212379.000,31043,1,SA,1,100,0.000031
1759437284.537485,212646.000,31092,1,SA,1,100,0.000041
1759437285.337502,213446.000,31234,1,SA,1,100,0.000061
1759437286.003515,214112.000,31329,1,SA,1,100,0.000041
1759437286.603527,214712.000,31455,1,SA,1,100,0.000109
1759437287.270541,215379.000,31519,1,SA,1,100,0.000031
1759437287.803552,215912.000,31631,1,SA,1,100,0.000090
1759437288.403564,216512.000,31696,1,SA,1,100,0.000034
1759437289.336583,217445.000,31824,1,SA,1,100,0.000009
1759437289.536587,217645.000,31982,1,SA,1,100,0.000257
1759437290.802613,218911.000,32124,1,SA,1,100,0.000236
1759437292.402646,220511.000,32313,1,SA,1,100,0.000052
1759437293.869676,221978.000,32534,1,SA,1,100,0.000013
1759437294.335685,222444.000,32630,1,SA,1,100,0.000142
1759437295.468708,223577.000,32805,1,SA,1,100,0.000031
1759437295.868716,223977.000,32994,1,SA,1,100,0.000254
1759437297.868757,225977.000,33183,1,SA,1,100,0.000052
1759437298.402768,226511.000,33326,1,SA,1,100,0.000125
1759437299.335787,227444.000,33390,1,SA,1,100,0.000011
1759437299.535791,227644.000,33440,1,SA,1,100,0.000037
1759437300.269806,228378.000,33535,1,SA,1,100,0.000018
1759437300.535812,228644.000,33615,1,SA,1,100,0.000075
1759437301.534832,229643.000,33803,1,SA,1,100,0.000083
1759437302.202846,230311.000,33930,1,SA,1,100,0.000145
1759437304.135885,232244.000,34199,1,SA,1,100,0.000053
1759437304.867900,232976.000,34263,1,SA,1,100,0.000013
1759437305.135906,233244.000,34343,1,SA,1,100,0.000051
1759437305.668916,233777.000,34454,1,SA,1,100,0.000095
1759437306.801940,234910.000,34595,1,SA,1,100,0.000056
1759437307.268949,235377.000,34629,1,SA,1,100,0.000012
1759437307.468953,235577.000,34724,1,SA,1,100,0.000084
1759437308.534975,236643.000,34820,1,SA,1,100,0.000015
1759437310.068006,238176.000,35120,1,SA,1,100,0.000048
1759437310.801021,238909.000,35231,1,SA,1,100,0.000047
1759437311.335032,239443.000,35295,1,SA,1,100,0.000036
1759437312.135049,240243.000,35390,1,SA,1,100,0.000008
1759437312.468055,240576.000,35440,1,SA,1,100,0.000009
1759437312.668059,240776.000,35472,1,SA,1,100,0.000012
1759437312.868063,240976.000,35552,1,SA,1,100,0.000055
1759437313.534077,241642.000,35727,1,SA,1,100,0.000152
1759437314.601099,242709.000,35776,1,SA,1,100,0.000017
1759437315.867125,243975.000,35980,1,SA,1,100,0.000068
1759437316.534138,244642.000,36106,1,SA,1,100,0.000028
1759437317.467157,245575.000,36310,1,SA,1,100,0.000078
1759437318.200172,246308.000,36406,1,SA,1,100,0.000058
1759437318.934187,247042.000,36489,1,SA,1,100,0.000046
1759437324.401299,252509.000,37490,1,SA,1,100,0.000211
1759437327.333359,255441.000,37820,1,SA,1,100,0.000200
1759437327.933371,256041.000,37854,1,SA,1,100,0.000051
1759437330.933432,259041.000,38341,1,SA,1,100,0.000041
1759437336.133538,264241.000,39172,1,SA,1,100,0.000156
1759437337.399564,265507.000,39345,1,SA,1,100,0.000059
1759437343.465688,271573.000,40273,1,SA,1,100,0.000106
1759437345.131722,273239.000,40593,1,SA,1,100,0.000227
1759437348.064782,276172.000,40984,1,SA,1,100,0.000040
1759437349.131804,277239.000,41144,1,SA,1,100,0.000038
1759437350.664835,278772.000,41364,1,SA,1,100,0.000007
1759437350.931840,279039.000,41434,1,SA,1,100,0.000043
1759437351.397850,279505.000,41560,1,SA,1,100,0.000075
1759437352.197866,280305.000,41641,1,SA,1,100,0.000095
1759437354.064904,282172.000,41894,1,SA,1,100,0.000009
1759437354.330910,282438.000,41989,1,SA,1,100,0.000058
1759437355.197928,283305.000,42068,1,SA,1,100,0.000016
