LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437219.542158,147652.000,20967,1,SF,1,100,21.4425
1759437219.875165,147985.000,21016,1,SF,1,100,23.2767
1759437220.275173,148385.000,21078,1,SF,1,100,23.0074
1759437220.608180,148718.000,21125,1,SF,1,100,22.7413
1759437220.875185,148985.000,21175,1,SF,1,100,24.5605
1759437221.208192,149318.000,21221,1,SF,1,100,24.2764
1759437221.608201,149718.000,21283,1,SF,1,100,23.9955
1759437221.875206,149985.000,21332,1,SF,1,100,25.8002
1759437222.208213,150318.000,21378,1,SF,1,100,25.5017
1759437222.608221,150718.000,21443,1,SF,1,100,27.2890
1759437222.941228,151051.000,21490,1,SF,1,100,26.9733
1759437223.208233,151318.000,21536,1,SF,1,100,26.6613
1759437223.541240,151651.000,21583,1,SF,1,100,26.3528
1759437223.941248,152051.000,21647,1,SF,1,100,26.0480
1759437224.208254,152318.000,21694,1,SF,1,100,25.7467
1759437224.541260,152651.000,21741,1,SF,1,100,25.4488
1759437224.941268,153051.000,21803,1,SF,1,100,25.1544
1759437225.274275,153384.000,21849,1,SF,1,100,24.8634
1759437225.608282,153718.000,21881,1,SF,1,100,24.5758
1759437225.874288,153984.000,21928,1,SF,1,100,24.2915
1759437226.208294,154318.000,21974,1,SF,1,100,24.0105
1759437226.608303,154718.000,22038,1,SF,1,100,25.8150
1759437226.874308,154984.000,22088,1,SF,1,100,27.5986
1759437227.208315,155318.000,22134,1,SF,1,100,27.2794
1759437227.541322,155651.000,22181,1,SF,1,100,26.9638
1759437227.941330,156051.000,22245,1,SF,1,100,28.7341
1759437228.207335,156317.000,22292,1,SF,1,100,28.4017
1759437228.541342,156651.000,22341,1,SF,1,100,30.1554
1759437228.941350,157051.000,22405,1,SF,1,100,29.8066
1759437229.274357,157384.000,22452,1,SF,1,100,29.4618
1759437229.607364,157717.000,22500,1,SF,1,100,29.1210
1759437229.874369,157984.000,22546,1,SF,1,100,28.7841
1759437230.207376,158317.000,22593,1,SF,1,100,28.4511
1759437230.607384,158717.000,22655,1,SF,1,100,28.1220
1759437230.874390,158984.000,22703,1,SF,1,100,27.7967
1759437231.207397,159317.000,22750,1,SF,1,100,27.4751
1759437231.540403,159650.000,22798,1,SF,1,100,29.2396
1759437231.940411,160050.000,22862,1,SF,1,100,30.9836
1759437232.207417,160317.000,22912,1,SF,1,100,32.7074
1759437232.540424,160650.000,22958,1,SF,1,100,32.3290
1759437232.940432,161050.000,23020,1,SF,1,100,31.9550
1759437233.274439,161384.000,23067,1,SF,1,100,31.5854
1759437233.540444,161650.000,23114,1,SF,1,100,31.2200
1759437233.874451,161984.000,23163,1,SF,1,100,32.9411
1759437234.274459,162384.000,23229,1,SF,1,100,34.6423
1759437234.540464,162650.000,23275,1,SF,1,100,34.2416
1759437234.873471,162983.000,23322,1,SF,1,100,33.8454
1759437235.273479,163383.000,23385,1,SF,1,100,33.4539
1759437235.540485,163650.000,23431,1,SF,1,100,33.0669
1759437235.873492,163983.000,23480,1,SF,1,100,34.7667
1759437236.207499,164317.000,23526,1,SF,1,100,34.3645
1759437236.607507,164717.000,23588,1,SF,1,100,33.9669
1759437236.873512,164983.000,23638,1,SF,1,100,35.6563
1759437237.207519,165317.000,23684,1,SF,1,100,35.2438
1759437237.607527,165717.000,23746,1,SF,1,100,34.8361
1759437237.873533,165983.000,23793,1,SF,1,100,34.4331
1759437238.206539,166316.000,23842,1,SF,1,100,36.1170
1759437238.540546,166650.000,23889,1,SF,1,100,35.6992
1759437238.940554,167050.000,23953,1,SF,1,100,35.2862
1759437239.206560,167316.000,23999,1,SF,1,100,34.8781
1759437239.540566,167650.000,24046,1,SF,1,100,34.4746
1759437239.940575,168050.000,24110,1,SF,1,100,36.1580
1759437240.206580,168316.000,24157,1,SF,1,100,35.7397
1759437240.540587,168650.000,24204,1,SF,1,100,35.3263
1759437240.873594,168983.000,24250,1,SF,1,100,34.9177
1759437241.273602,169383.000,24312,1,SF,1,100,34.5137
1759437241.539607,169649.000,24360,1,SF,1,100,34.1145
1759437241.873614,169983.000,24406,1,SF,1,100,33.7198
1759437242.273622,170383.000,24468,1,SF,1,100,33.3298
1759437242.539628,170649.000,24515,1,SF,1,100,32.9442
1759437242.873635,170983.000,24561,1,SF,1,100,32.5631
1759437243.273643,171383.000,24626,1,SF,1,100,34.2687
1759437243.606650,171716.000,24673,1,SF,1,100,33.8722
1759437243.873655,171983.000,24721,1,SF,1,100,35.5626
1759437244.206662,172316.000,24770,1,SF,1,100,35.1513
1759437244.672671,172782.000,24833,1,SF,1,100,34.7446
1759437244.872675,172982.000,24864,1,SF,1,100,34.3427
1759437245.272684,173382.000,24926,1,SF,1,100,33.9454
1759437245.539689,173649.000,24974,1,SF,1,100,33.5527
1759437245.872696,173982.000,25020,1,SF,1,100,33.1646
1759437246.206703,174316.000,25067,1,SF,1,100,32.7809
1759437246.606711,174716.000,25129,1,SF,1,100,32.4017
1759437246.872716,174982.000,25176,1,SF,1,100,32.0269
1759437247.206723,175316.000,25223,1,SF,1,100,31.6564
1759437247.606731,175716.000,25285,1,SF,1,100,31.2902
1759437247.939738,176049.000,25331,1,SF,1,100,30.9282
1759437248.205744,176315.000,25379,1,SF,1,100,30.5705
1759437248.539750,176649.000,25425,1,SF,1,100,30.2168
1759437248.939759,177049.000,25489,1,SF,1,100,29.8673
1759437249.205764,177315.000,25536,1,SF,1,100,29.5218
1759437249.539771,177649.000,25582,1,SF,1,100,29.1803
1759437249.939779,178049.000,25647,1,SF,1,100,28.8427
1759437250.205784,178315.000,25695,1,SF,1,100,28.5090
1759437250.539791,178649.000,25741,1,SF,1,100,28.1792
1759437250.872798,178982.000,25788,1,SF,1,100,27.8533
1759437251.272806,179382.000,25850,1,SF,1,100,27.5311
1759437251.538811,179648.000,25897,1,SF,1,100,27.2126
1759437251.872818,179982.000,25944,1,SF,1,100,26.8978
1759437252.272826,180382.000,26006,1,SF,1,100,26.5866
1759437252.539832,180649.000,26052,1,SF,1,100,26.2791
1759437252.872839,180982.000,26100,1,SF,1,100,25.9751
1759437253.205846,181315.000,26146,1,SF,1,100,25.6746
1759437253.605854,181715.000,26210,1,SF,1,100,27.4598
1759437253.872859,181982.000,26257,1,SF,1,100,27.1422
1759437254.205866,182315.000,26311,1,SF,1,100,30.9927
1759437254.605874,182715.000,26373,1,SF,1,100,30.6342
1759437254.872880,182982.000,26428,1,SF,1,100,32.3621
1759437255.205886,183315.000,26476,1,SF,1,100,34.0699
1759437255.538893,183648.000,26525,1,SF,1,100,35.7581
1759437255.938901,184048.000,26589,1,SF,1,100,37.4267
1759437256.205907,184315.000,26636,1,SF,1,100,36.9937
1759437256.538913,184648.000,26685,1,SF,1,100,38.6480
1759437256.938922,185048.000,26747,1,SF,1,100,38.2009
1759437257.205927,185315.000,26793,1,SF,1,100,37.7590
1759437257.538934,185648.000,26843,1,SF,1,100,39.4045
1759437257.871941,185981.000,26889,1,SF,1,100,38.9487
1759437258.204947,186314.000,26937,1,SF,1,100,38.4981
1759437258.604956,186714.000,27001,1,SF,1,100,40.1350
1759437258.871961,186981.000,27048,1,SF,1,100,39.6707
1759437259.204968,187314.000,27097,1,SF,1,100,39.2118
1759437259.604976,187714.000,27159,1,SF,1,100,38.7582
1759437259.871982,187981.000,27205,1,SF,1,100,38.3098
1759437260.204988,188314.000,27253,1,SF,1,100,37.8667
1759437260.604997,188714.000,27315,1,SF,1,100,37.4286
1759437260.939003,189048.000,27361,1,SF,1,100,36.9956
1759437261.205009,189314.000,27408,1,SF,1,100,36.5677
1759437261.538016,189647.000,27454,1,SF,1,100,36.1447
1759437261.938024,190047.000,27516,1,SF,1,100,35.7265
1759437262.205029,190314.000,27564,1,SF,1,100,35.3133
1759437262.538036,190647.000,27612,1,SF,1,100,36.9870
1759437262.938044,191047.000,27676,1,SF,1,100,38.6414
1759437263.272051,191381.000,27723,1,SF,1,100,38.1944
1759437263.605058,191714.000,27770,1,SF,1,100,37.7525
1759437263.872063,191981.000,27817,1,SF,1,100,37.3158
1759437264.205070,192314.000,27868,1,SF,1,100,38.9664
1759437264.538077,192647.000,27915,1,SF,1,100,38.5156
1759437264.938085,193047.000,27977,1,SF,1,100,38.0701
1759437265.205091,193314.000,28023,1,SF,1,100,37.6297
1759437265.538097,193647.000,28072,1,SF,1,100,39.2766
1759437265.938105,194047.000,28136,1,SF,1,100,40.9045
1759437266.205111,194314.000,28183,1,SF,1,100,40.4313
1759437266.538118,194647.000,28232,1,SF,1,100,42.0459
1759437266.871125,194980.000,28280,1,SF,1,100,43.6417
1759437267.271133,195380.000,28342,1,SF,1,100,43.1369
1759437267.538138,195647.000,28392,1,SF,1,100,44.7201
1759437267.871145,195980.000,28438,1,SF,1,100,44.2028
1759437268.271153,196380.000,28500,1,SF,1,100,43.6915
1759437268.538158,196647.000,28547,1,SF,1,100,43.1860
1759437268.871165,196980.000,28596,1,SF,1,100,44.7687
1759437269.204172,197313.000,28645,1,SF,1,100,44.2508
