LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1759437219.475157,147585.000,21015,1,SR,1,100,0.333333
1759437219.942167,148052.000,21158,1,SR,1,100,0.800000
1759437221.142191,149252.000,21285,1,SR,1,100,0.400000
1759437221.808205,149918.000,21442,1,SR,1,100,0.666667
1759437224.941268,153051.000,22007,1,SR,1,100,1.333333
1759437226.674304,154784.000,22087,1,SR,1,100,0.133333
1759437227.608323,155718.000,22214,1,SR,1,100,0.066667
1759437227.941330,156051.000,22309,1,SR,1,100,0.333333
1759437231.141395,159251.000,22767,1,SR,1,100,0.133333
1759437231.407401,159517.000,22831,1,SR,1,100,0.266667
1759437231.807409,159917.000,22895,1,SR,1,100,0.266667
1759437232.874430,160984.000,23162,1,SR,1,100,0.866667
1759437234.008454,162118.000,23228,1,SR,1,100,0.133333
1759437234.807470,162917.000,23449,1,SR,1,100,0.800000
1759437236.007494,164117.000,23637,1,SR,1,100,0.800000
1759437237.207519,165317.000,23841,1,SR,1,100,0.933333
1759437239.606568,167716.000,24079,1,SR,1,100,0.066667
1759437242.073618,170183.000,24594,1,SR,1,100,0.866667
1759437243.473647,171583.000,24690,1,SR,1,100,0.133333
1759437253.139844,181249.000,26178,1,SR,1,100,0.200000
1759437253.472851,181582.000,26276,1,SR,1,100,0.400000
1759437254.005862,182115.000,26310,1,SR,1,100,0.133333
1759437254.539873,182649.000,26411,1,SR,1,100,0.133333
1759437254.939881,183049.000,26460,1,SR,1,100,0.066667
1759437255.272888,183382.000,26509,1,SR,1,100,0.066667
1759437255.472892,183582.000,26588,1,SR,1,100,0.333333
1759437256.205907,184315.000,26684,1,SR,1,100,0.200000
1759437257.072924,185182.000,26811,1,SR,1,100,0.200000
1759437257.671937,185781.000,26954,1,SR,1,100,0.533333
1759437262.272031,190381.000,27611,1,SR,1,100,0.133333
1759437262.538036,190647.000,27645,1,SR,1,100,0.066667
1759437262.738040,190847.000,27852,1,SR,1,100,1.333333
1759437265.138089,193247.000,28041,1,SR,1,100,0.066667
1759437265.605099,193714.000,28120,1,SR,1,100,0.133333
1759437266.272112,194381.000,28215,1,SR,1,100,0.066667
1759437266.605119,194714.000,28279,1,SR,1,100,0.200000
1759437267.205131,195314.000,28375,1,SR,1,100,0.200000
1759437268.471157,196580.000,28595,1,SR,1,100,0.333333
1759437269.204172,197313.000,28709,1,SR,1,100,0.333333
1759437270.204193,198313.000,28835,1,SR,1,100,0.133333
1759437270.471198,198580.000,28914,1,SR,1,100,0.333333
1759437271.204213,199313.000,28995,1,SR,1,100,0.133333
1759437272.537240,200646.000,29198,1,SR,1,100,0.133333
1759437273.204254,201313.000,29325,1,SR,1,100,0.266667
1759437273.604262,201713.000,29469,1,SR,1,100,0.800000
1759437275.070292,203179.000,29611,1,SR,1,100,0.200000
1759437275.404299,203513.000,29769,1,SR,1,100,0.933333
1759437277.538342,205647.000,29990,1,SR,1,100,0.133333
1759437277.804348,205913.000,30024,1,SR,1,100,0.066667
1759437278.003352,206112.000,30120,1,SR,1,100,0.533333
1759437278.803368,206912.000,30263,1,SR,1,100,0.666667
1759437280.271398,208380.000,30421,1,SR,1,100,0.200000
1759437280.871410,208980.000,30517,1,SR,1,100,0.200000
1759437281.604425,209713.000,30612,1,SR,1,100,0.066667
1759437281.936432,210045.000,30660,1,SR,1,100,0.066667
1759437282.270439,210379.000,30756,1,SR,1,100,0.266667
1759437282.670447,210779.000,30850,1,SR,1,100,0.466667
1759437283.270459,211379.000,30980,1,SR,1,100,0.733333
1759437284.270480,212379.000,31044,1,SR,1,100,0.133333
1759437284.537485,212646.000,31093,1,SR,1,100,0.133333
1759437285.337502,213446.000,31235,1,SR,1,100,0.266667
1759437286.003515,214112.000,31330,1,SR,1,100,0.200000
1759437286.603527,214712.000,31456,1,SR,1,100,0.400000
1759437287.270541,215379.000,31520,1,SR,1,100,0.133333
1759437287.803552,215912.000,31632,1,SR,1,100,0.333333
1759437288.403564,216512.000,31697,1,SR,1,100,0.133333
1759437289.336583,217445.000,31825,1,SR,1,100,0.066667
1759437289.536587,217645.000,31983,1,SR,1,100,0.866667
1759437290.802613,218911.000,32125,1,SR,1,100,0.533333
1759437292.402646,220511.000,32314,1,SR,1,100,0.133333
1759437293.869676,221978.000,32535,1,SR,1,100,0.066667
1759437294.335685,222444.000,32631,1,SR,1,100,0.200000
1759437295.468708,223577.000,32806,1,SR,1,100,0.266667
1759437295.868716,223977.000,32995,1,SR,1,100,1.066667
1759437297.868757,225977.000,33184,1,SR,1,100,0.266667
1759437298.402768,226511.000,33327,1,SR,1,100,0.666667
1759437299.335787,227444.000,33391,1,SR,1,100,0.066667
1759437299.535791,227644.000,33441,1,SR,1,100,0.200000
1759437300.269806,228378.000,33536,1,SR,1,100,0.133333
1759437300.535812,228644.000,33616,1,SR,1,100,0.333333
1759437301.534832,229643.000,33804,1,SR,1,100,0.533333
1759437302.202846,230311.000,33931,1,SR,1,100,0.666667
1759437304.135885,232244.000,34200,1,SR,1,100,0.466667
1759437304.867900,232976.000,34264,1,SR,1,100,0.133333
1759437305.135906,233244.000,34344,1,SR,1,100,0.400000
1759437305.668916,233777.000,34455,1,SR,1,100,0.600000
1759437306.801940,234910.000,34596,1,SR,1,100,0.333333
1759437307.268949,235377.000,34630,1,SR,1,100,0.066667
1759437307.468953,235577.000,34725,1,SR,1,100,0.533333
1759437308.534975,236643.000,34821,1,SR,1,100,0.066667
1759437310.068006,238176.000,35121,1,SR,1,100,0.466667
1759437310.801021,238909.000,35232,1,SR,1,100,0.400000
1759437311.335032,239443.000,35296,1,SR,1,100,0.266667
1759437312.135049,240243.000,35391,1,SR,1,100,0.066667
1759437312.468055,240576.000,35441,1,SR,1,100,0.066667
1759437312.668059,240776.000,35473,1,SR,1,100,0.066667
1759437312.868063,240976.000,35553,1,SR,1,100,0.400000
1759437313.534077,241642.000,35728,1,SR,1,100,0.800000
1759437314.601099,242709.000,35777,1,SR,1,100,0.066667
1759437315.867125,243975.000,35981,1,SR,1,100,0.133333
1759437316.534138,244642.000,36107,1,SR,1,100,0.200000
1759437317.467157,245575.000,36311,1,SR,1,100,0.600000
1759437318.200172,246308.000,36407,1,SR,1,100,0.466667
1759437318.934187,247042.000,36490,1,SR,1,100,0.266667
1759437324.401299,252509.000,37491,1,SR,1,100,1.333333
1759437327.333359,255441.000,37821,1,SR,1,100,0.466667
1759437327.933371,256041.000,37855,1,SR,1,100,0.133333
1759437330.933432,259041.000,38342,1,SR,1,100,0.266667
1759437336.133538,264241.000,39173,1,SR,1,100,0.466667
1759437337.399564,265507.000,39346,1,SR,1,100,0.333333
1759437343.465688,271573.000,40274,1,SR,1,100,0.266667
1759437345.131722,273239.000,40594,1,SR,1,100,0.666667
1759437348.064782,276172.000,40985,1,SR,1,100,0.266667
1759437349.131804,277239.000,41145,1,SR,1,100,0.266667
1759437350.664835,278772.000,41365,1,SR,1,100,0.133333
1759437350.931840,279039.000,41435,1,SR,1,100,0.333333
1759437351.397850,279505.000,41561,1,SR,1,100,0.666667
1759437352.197866,280305.000,41642,1,SR,1,100,0.400000
1759437354.064904,282172.000,41895,1,SR,1,100,0.133333
1759437354.330910,282438.000,41990,1,SR,1,100,0.466667
1759437355.197928,283305.000,42069,1,SR,1,100,0.133333
