LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1759437219.602160,147712.000,20988,1,T1,1,100,30.452
1759437219.735162,147845.000,21003,1,T1,1,100,30.444
1759437219.868165,147978.000,21022,1,T1,1,100,30.476
1759437220.001168,148111.000,21037,1,T1,1,100,30.525
1759437220.135170,148245.000,21067,1,T1,1,100,30.440
1759437220.268173,148378.000,21084,1,T1,1,100,30.439
1759437220.401176,148511.000,21099,1,T1,1,100,30.438
1759437220.535179,148645.000,21131,1,T1,1,100,30.438
1759437220.668181,148778.000,21147,1,T1,1,100,30.508
1759437220.801184,148911.000,21164,1,T1,1,100,30.468
1759437220.935187,149045.000,21195,1,T1,1,100,30.557
1759437221.068189,149178.000,21211,1,T1,1,100,30.560
1759437221.201192,149311.000,21227,1,T1,1,100,30.491
1759437221.335195,149445.000,21257,1,T1,1,100,30.496
1759437221.468198,149578.000,21273,1,T1,1,100,30.498
1759437221.601200,149711.000,21291,1,T1,1,100,30.464
1759437221.735203,149845.000,21321,1,T1,1,100,30.591
1759437221.868206,149978.000,21338,1,T1,1,100,30.610
1759437222.001209,150111.000,21353,1,T1,1,100,30.548
1759437222.135211,150245.000,21384,1,T1,1,100,30.592
1759437222.268214,150378.000,21400,1,T1,1,100,30.611
1759437222.401217,150511.000,21415,1,T1,1,100,30.477
1759437222.535219,150645.000,21431,1,T1,1,100,30.455
1759437222.668222,150778.000,21464,1,T1,1,100,30.409
1759437222.801225,150911.000,21479,1,T1,1,100,30.603
1759437222.934227,151044.000,21496,1,T1,1,100,30.615
1759437223.068230,151178.000,21526,1,T1,1,100,30.621
1759437223.201233,151311.000,21542,1,T1,1,100,30.694
1759437223.334236,151444.000,21558,1,T1,1,100,30.655
1759437223.468238,151578.000,21589,1,T1,1,100,30.638
1759437223.601241,151711.000,21604,1,T1,1,100,30.560
1759437223.734244,151844.000,21620,1,T1,1,100,30.455
1759437223.868247,151978.000,21653,1,T1,1,100,30.551
1759437224.001249,152111.000,21668,1,T1,1,100,30.593
1759437224.134252,152244.000,21684,1,T1,1,100,30.540
1759437224.268255,152378.000,21715,1,T1,1,100,30.588
1759437224.401258,152511.000,21730,1,T1,1,100,30.609
1759437224.534260,152644.000,21747,1,T1,1,100,30.512
1759437224.668263,152778.000,21762,1,T1,1,100,30.470
1759437224.801266,152911.000,21792,1,T1,1,100,30.451
1759437224.934268,153044.000,21809,1,T1,1,100,30.514
1759437225.068271,153178.000,21824,1,T1,1,100,30.542
1759437225.201274,153311.000,21855,1,T1,1,100,30.589
1759437225.334777,153444.500,21871,2,T1,1,100,30.574
1759437225.468279,153578.000,21871,2,T1,1,100,30.532
1759437225.601282,153711.000,21887,1,T1,1,100,30.585
1759437225.734285,153844.000,21917,1,T1,1,100,30.501
1759437225.868288,153978.000,21934,1,T1,1,100,30.501
1759437226.001290,154111.000,21949,1,T1,1,100,30.536
1759437226.134293,154244.000,21980,1,T1,1,100,30.622
1759437226.268296,154378.000,21996,1,T1,1,100,30.517
1759437226.401298,154511.000,22013,1,T1,1,100,30.649
1759437226.534301,154644.000,22044,1,T1,1,100,30.636
1759437226.667304,154777.000,22060,1,T1,1,100,30.594
1759437226.801306,154911.000,22075,1,T1,1,100,30.612
1759437226.934309,155044.000,22108,1,T1,1,100,30.655
1759437227.067312,155177.000,22124,1,T1,1,100,30.531
1759437227.201315,155311.000,22140,1,T1,1,100,30.549
1759437227.334317,155444.000,22156,1,T1,1,100,30.592
1759437227.467320,155577.000,22187,1,T1,1,100,30.540
1759437227.601323,155711.000,22202,1,T1,1,100,30.588
1759437227.734326,155844.000,22220,1,T1,1,100,30.680
1759437227.867328,155977.000,22251,1,T1,1,100,30.649
1759437228.001331,156111.000,22266,1,T1,1,100,30.635
1759437228.134334,156244.000,22282,1,T1,1,100,30.594
1759437228.267336,156377.000,22315,1,T1,1,100,30.541
1759437228.401339,156511.000,22330,1,T1,1,100,30.553
1759437228.534342,156644.000,22347,1,T1,1,100,30.487
1759437228.667345,156777.000,22377,1,T1,1,100,30.495
1759437228.801347,156911.000,22392,1,T1,1,100,30.569
1759437228.934350,157044.000,22411,1,T1,1,100,30.672
1759437229.067353,157177.000,22441,1,T1,1,100,30.645
1759437229.201355,157311.000,22458,1,T1,1,100,30.563
1759437229.334358,157444.000,22474,1,T1,1,100,30.456
1759437229.467361,157577.000,22489,1,T1,1,100,30.517
1759437229.601364,157711.000,22506,1,T1,1,100,30.507
1759437229.734366,157844.000,22536,1,T1,1,100,30.609
1759437229.867369,157977.000,22552,1,T1,1,100,30.618
1759437230.000372,158110.000,22568,1,T1,1,100,30.516
1759437230.134375,158244.000,22599,1,T1,1,100,30.578
1759437230.267377,158377.000,22614,1,T1,1,100,30.569
1759437230.400380,158510.000,22630,1,T1,1,100,30.565
1759437230.534383,158644.000,22661,1,T1,1,100,30.635
1759437230.667385,158777.000,22677,1,T1,1,100,30.700
1759437230.800388,158910.000,22693,1,T1,1,100,30.657
1759437230.934391,159044.000,22709,1,T1,1,100,30.675
1759437231.067394,159177.000,22739,1,T1,1,100,30.753
1759437231.200396,159310.000,22756,1,T1,1,100,30.680
1759437231.334399,159444.000,22773,1,T1,1,100,30.649
1759437231.467402,159577.000,22804,1,T1,1,100,30.564
1759437231.600405,159710.000,22820,1,T1,1,100,30.528
1759437231.734407,159844.000,22837,1,T1,1,100,30.689
1759437231.867410,159977.000,22868,1,T1,1,100,30.688
1759437232.000413,160110.000,22884,1,T1,1,100,30.617
1759437232.134415,160244.000,22901,1,T1,1,100,30.586
1759437232.267418,160377.000,22932,1,T1,1,100,30.679
1759437232.400421,160510.000,22948,1,T1,1,100,30.613
1759437232.534424,160644.000,22964,1,T1,1,100,30.620
1759437232.667426,160777.000,22994,1,T1,1,100,30.587
1759437232.800429,160910.000,23010,1,T1,1,100,30.644
1759437232.934432,161044.000,23026,1,T1,1,100,30.704
1759437233.067434,161177.000,23042,1,T1,1,100,30.659
1759437233.200437,161310.000,23073,1,T1,1,100,30.640
1759437233.333440,161443.000,23088,1,T1,1,100,30.596
1759437233.467443,161577.000,23104,1,T1,1,100,30.683
1759437233.600445,161710.000,23135,1,T1,1,100,30.650
1759437233.733448,161843.000,23150,1,T1,1,100,30.636
1759437233.867451,161977.000,23169,1,T1,1,100,30.630
1759437234.000453,162110.000,23201,1,T1,1,100,30.592
1759437234.133456,162243.000,23216,1,T1,1,100,30.575
1759437234.267459,162377.000,23235,1,T1,1,100,30.639
1759437234.400462,162510.000,23265,1,T1,1,100,30.631
1759437234.533464,162643.000,23281,1,T1,1,100,30.521
1759437234.667467,162777.000,23297,1,T1,1,100,30.616
1759437234.800470,162910.000,23328,1,T1,1,100,30.656
1759437234.933472,163043.000,23343,1,T1,1,100,30.568
1759437235.067475,163177.000,23359,1,T1,1,100,30.671
1759437235.200478,163310.000,23374,1,T1,1,100,30.680
1759437235.333481,163443.000,23405,1,T1,1,100,30.614
1759437235.467484,163577.000,23421,1,T1,1,100,30.691
1759437235.600486,163710.000,23437,1,T1,1,100,30.689
1759437235.733489,163843.000,23469,1,T1,1,100,30.582
1759437235.867491,163977.000,23486,1,T1,1,100,30.571
1759437236.000494,164110.000,23501,1,T1,1,100,30.708
1759437236.133497,164243.000,23532,1,T1,1,100,30.696
1759437236.266500,164376.000,23548,1,T1,1,100,30.656
1759437236.400502,164510.000,23563,1,T1,1,100,30.674
1759437236.533505,164643.000,23594,1,T1,1,100,30.682
1759437236.666508,164776.000,23610,1,T1,1,100,30.649
1759437236.800511,164910.000,23625,1,T1,1,100,30.777
1759437236.933513,165043.000,23658,1,T1,1,100,30.797
1759437237.066516,165176.000,23674,1,T1,1,100,30.629
1759437237.200519,165310.000,23690,1,T1,1,100,30.627
1759437237.333522,165443.000,23720,1,T1,1,100,30.626
1759437237.466524,165576.000,23736,1,T1,1,100,30.590
1759437237.600527,165710.000,23752,1,T1,1,100,30.681
1759437237.733530,165843.000,23782,1,T1,1,100,30.755
1759437237.866532,165976.000,23799,1,T1,1,100,30.646
1759437238.000535,166110.000,23814,1,T1,1,100,30.634
1759437238.133538,166243.000,23830,1,T1,1,100,30.700
1759437238.266541,166376.000,23863,1,T1,1,100,30.622
