LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1759437227.450111,158701,22392,2,AK,1,100,21620,RD
1759437227.463111,158714,22395,2,AK,1,100,22393,RD
1759437274.774759,206024,29702,2,AK,1,100,28912,RD
1759437274.795760,206045,29705,2,AK,1,100,29703,RD
1759437279.885937,211135,30489,2,AK,1,100,29703,RD
1759437279.904938,211154,30492,2,AK,1,100,30490,RD
1759437285.014116,216263,31291,2,AK,1,100,30490,RD
1759437285.032116,216281,31294,2,AK,1,100,31292,RD
1759437290.126294,221375,32092,2,AK,1,100,31292,RD
1759437295.232472,226481,32879,2,AK,1,100,32093,RD
1759437295.236472,226485,32881,2,AK,1,100,32093,RD
1759437300.343650,231592,33671,2,AK,1,100,32882,RD
1759437305.458828,236707,34457,2,AK,1,100,33672,RD
1759437305.460828,236709,34459,2,AK,1,100,33672,RD
1759437310.582006,241830,35244,2,AK,1,100,34460,RD
1759437310.584007,241832,35246,2,AK,1,100,34460,RD
1759437310.596007,241844,35249,2,AK,1,100,35247,RD
1759437315.698185,246946,36032,2,AK,1,100,35247,RD
1759437315.711185,246959,36035,2,AK,1,100,36033,RD
1759437320.808363,252056,36828,2,AK,1,100,36033,RD
1759437320.822363,252070,36831,2,AK,1,100,36829,RD
1759437325.916541,257164,37615,2,AK,1,100,36829,RD
1759437325.935541,257183,37618,2,AK,1,100,37616,RD
1759437331.034719,262282,38405,2,AK,1,100,37616,RD
1759437331.050719,262298,38408,2,AK,1,100,38406,RD
