LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1759437223.526974,154778.000,21786,3,AX,1,100,-0.127
1759437223.526974,154778.000,21786,3,AX,1,100,-0.127
1759437223.526974,154778.000,21786,3,AX,1,100,-0.125
1759437223.566975,154818.000,21802,3,AX,1,100,-0.124
1759437223.606977,154858.000,21802,3,AX,1,100,-0.135
1759437223.646978,154898.000,21802,3,AX,1,100,-0.129
1759437223.686980,154938.000,21817,2,AX,1,100,-0.131
1759437223.726981,154978.000,21817,2,AX,1,100,-0.138
1759437223.766982,155018.000,21833,3,AX,1,100,-0.134
1759437223.806984,155058.000,21833,3,AX,1,100,-0.135
1759437223.846985,155098.000,21833,3,AX,1,100,-0.134
1759437223.886986,155138.000,21848,2,AX,1,100,-0.132
1759437223.926988,155178.000,21848,2,AX,1,100,-0.136
1759437223.966989,155218.000,21865,3,AX,1,100,-0.144
1759437224.006991,155258.000,21865,3,AX,1,100,-0.143
1759437224.046992,155298.000,21865,3,AX,1,100,-0.148
1759437224.086993,155338.000,21879,2,AX,1,100,-0.140
1759437224.126995,155378.000,21879,2,AX,1,100,-0.127
1759437224.166996,155418.000,21897,3,AX,1,100,-0.143
1759437224.206998,155458.000,21897,3,AX,1,100,-0.131
1759437224.246999,155498.000,21897,3,AX,1,100,-0.131
1759437224.287000,155538.000,21912,2,AX,1,100,-0.131
1759437224.327002,155578.000,21912,2,AX,1,100,-0.134
1759437224.367003,155618.000,21929,3,AX,1,100,-0.134
1759437224.407005,155658.000,21929,3,AX,1,100,-0.132
1759437224.447006,155698.000,21929,3,AX,1,100,-0.125
1759437224.487007,155738.000,21943,3,AX,1,100,-0.131
1759437224.527009,155778.000,21943,3,AX,1,100,-0.135
1759437224.567010,155818.000,21943,3,AX,1,100,-0.133
1759437224.607012,155858.000,21959,2,AX,1,100,-0.134
1759437224.647013,155898.000,21959,2,AX,1,100,-0.134
1759437224.687014,155938.000,21975,3,AX,1,100,-0.129
1759437224.727016,155978.000,21975,3,AX,1,100,-0.138
1759437224.767017,156018.000,21975,3,AX,1,100,-0.132
1759437224.807019,156058.000,21991,2,AX,1,100,-0.132
1759437224.847020,156098.000,21991,2,AX,1,100,-0.129
1759437224.887021,156138.000,22006,3,AX,1,100,-0.132
1759437224.927023,156178.000,22006,3,AX,1,100,-0.133
1759437224.967024,156218.000,22006,3,AX,1,100,-0.136
1759437225.007025,156258.000,22022,2,AX,1,100,-0.131
1759437225.047027,156298.000,22022,2,AX,1,100,-0.132
1759437225.087028,156338.000,22037,3,AX,1,100,-0.129
1759437225.127030,156378.000,22037,3,AX,1,100,-0.129
1759437225.167031,156418.000,22037,3,AX,1,100,-0.130
1759437225.207032,156458.000,22053,2,AX,1,100,-0.132
1759437225.247034,156498.000,22053,2,AX,1,100,-0.131
1759437225.287035,156538.000,22069,3,AX,1,100,-0.131
1759437225.327037,156578.000,22069,3,AX,1,100,-0.134
1759437225.367038,156618.000,22069,3,AX,1,100,-0.132
1759437225.407039,156658.000,22084,2,AX,1,100,-0.133
1759437225.447041,156698.000,22084,2,AX,1,100,-0.128
1759437225.487042,156738.000,22099,3,AX,1,100,-0.128
1759437225.527044,156778.000,22099,3,AX,1,100,-0.130
1759437225.567045,156818.000,22099,3,AX,1,100,-0.134
1759437225.607046,156858.000,22115,2,AX,1,100,-0.133
1759437225.647048,156898.000,22115,2,AX,1,100,-0.125
1759437225.687049,156938.000,22131,3,AX,1,100,-0.134
1759437225.727051,156978.000,22131,3,AX,1,100,-0.136
1759437225.767052,157018.000,22131,3,AX,1,100,-0.136
1759437225.807053,157058.000,22146,3,AX,1,100,-0.134
1759437225.847055,157098.000,22146,3,AX,1,100,-0.133
1759437225.887056,157138.000,22146,3,AX,1,100,-0.132
1759437225.927058,157178.000,22161,2,AX,1,100,-0.134
1759437225.967059,157218.000,22161,2,AX,1,100,-0.139
1759437226.007060,157258.000,22178,2,AX,1,100,-0.127
1759437226.047062,157298.000,22178,2,AX,1,100,-0.126
1759437226.091397,157342.333,22193,3,AX,1,100,-0.127
1759437226.135731,157386.667,22193,3,AX,1,100,-0.134
1759437226.180066,157431.000,22193,3,AX,1,100,-0.134
1759437226.220068,157471.000,22208,2,AX,1,100,-0.134
1759437226.260069,157511.000,22208,2,AX,1,100,-0.128
