LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1759437227.679119,158930.000,22444,1,B%,1,100,62
1759437232.678293,163929.000,23212,1,B%,1,100,64
1759437237.678467,168929.000,23995,1,B%,1,100,65
1759437242.677641,173928.000,24756,1,B%,1,100,63
1759437247.677815,178928.000,25524,1,B%,1,100,65
1759437252.676989,183927.000,26315,1,B%,1,100,63
1759437257.677164,188927.000,27084,1,B%,1,100,64
1759437262.676338,193926.000,27847,1,B%,1,100,66
1759437267.676512,198926.000,28630,1,B%,1,100,64
1759437272.675686,203925.000,29384,1,B%,1,100,61
1759437277.675860,208925.000,30176,1,B%,1,100,61
1759437282.675034,213924.000,30945,1,B%,1,100,61
1759437287.675209,218924.000,31723,1,B%,1,100,60
1759437292.674383,223923.000,32502,1,B%,1,100,60
1759437297.674557,228923.000,33262,1,B%,1,100,61
1759437302.673731,233922.000,34034,1,B%,1,100,60
1759437307.673905,238922.000,34804,1,B%,1,100,60
1759437312.673079,243921.000,35580,1,B%,1,100,61
1759437317.673254,248921.000,36349,1,B%,1,100,60
1759437322.672428,253920.000,37130,1,B%,1,100,60
1759437327.672602,258920.000,37901,1,B%,1,100,60
1759437332.671776,263919.000,38676,1,B%,1,100,60
1759437337.671950,268919.000,39441,1,B%,1,100,60
1759437342.671124,273918.000,40207,1,B%,1,100,63
1759437347.671299,278918.000,40974,1,B%,1,100,64
1759437352.670473,283917.000,41759,1,B%,1,100,62
1759437357.670647,288917.000,42528,1,B%,1,100,63
