LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1759437224.260999,155512.000,21889,1,BI,1,100,6560
1759437228.114134,159365.000,22491,1,BI,1,100,3840
1759437239.259522,170510.000,24217,1,BI,1,100,11120
1759437249.112865,180363.000,25744,1,BI,1,100,9840
1759437251.245939,182496.000,26074,1,BI,1,100,2120
1759437257.299150,188549.000,27001,1,BI,1,100,6040
1759437265.711443,196961.000,28300,1,BI,1,100,8400
1759437273.697721,204947.000,29525,1,BI,1,100,7960
1759437274.577752,205827.000,29667,1,BI,1,100,880
1759437296.909530,228158.000,33136,1,BI,1,100,22280
1759437328.214621,259462.000,37965,1,BI,1,100,31240
1759437349.506362,280753.000,41257,1,BI,1,100,21240
1759437354.119523,285366.000,41963,1,BI,1,100,4600
1759437359.371706,290618.000,42765,1,BI,1,100,5240
