LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1759437227.679119,158930.000,22443,1,BV,1,100,3.81
1759437232.678293,163929.000,23211,1,BV,1,100,3.82
1759437237.678467,168929.000,23994,1,BV,1,100,3.83
1759437242.677641,173928.000,24755,1,BV,1,100,3.81
1759437247.677815,178928.000,25523,1,BV,1,100,3.82
1759437252.676989,183927.000,26314,1,BV,1,100,3.81
1759437257.677164,188927.000,27083,1,BV,1,100,3.82
1759437262.676338,193926.000,27846,1,BV,1,100,3.83
1759437267.676512,198926.000,28629,1,BV,1,100,3.82
1759437272.675686,203925.000,29383,1,BV,1,100,3.80
1759437277.675860,208925.000,30175,1,BV,1,100,3.80
1759437282.675034,213924.000,30944,1,BV,1,100,3.80
1759437287.675209,218924.000,31722,1,BV,1,100,3.80
1759437292.674383,223923.000,32501,1,BV,1,100,3.79
1759437297.674557,228923.000,33261,1,BV,1,100,3.80
1759437302.673731,233922.000,34033,1,BV,1,100,3.79
1759437307.673905,238922.000,34803,1,BV,1,100,3.79
1759437312.673079,243921.000,35579,1,BV,1,100,3.80
1759437317.673254,248921.000,36348,1,BV,1,100,3.79
1759437322.672428,253920.000,37129,1,BV,1,100,3.79
1759437327.672602,258920.000,37900,1,BV,1,100,3.79
1759437332.671776,263919.000,38675,1,BV,1,100,3.79
1759437337.671950,268919.000,39440,1,BV,1,100,3.80
1759437342.671124,273918.000,40206,1,BV,1,100,3.81
1759437347.671299,278918.000,40973,1,BV,1,100,3.82
1759437352.670473,283917.000,41758,1,BV,1,100,3.81
1759437357.670647,288917.000,42527,1,BV,1,100,3.81
