LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1759437223.446971,154698.000,21778,1,EA,1,100,0.092199
1759437223.512974,154764.000,21783,1,EA,1,100,0.092193
1759437223.579476,154830.500,21799,2,EA,1,100,0.092196
1759437223.645978,154897.000,21799,2,EA,1,100,0.092192
1759437223.712981,154964.000,21815,1,EA,1,100,0.092187
1759437223.779483,155030.500,21830,2,EA,1,100,0.092188
1759437223.845985,155097.000,21830,2,EA,1,100,0.092188
1759437223.912987,155164.000,21845,1,EA,1,100,0.092186
1759437223.979490,155230.500,21862,2,EA,1,100,0.092181
1759437224.045992,155297.000,21862,2,EA,1,100,0.092181
1759437224.112994,155364.000,21877,1,EA,1,100,0.092187
1759437224.179497,155430.500,21894,2,EA,1,100,0.092198
1759437224.245999,155497.000,21894,2,EA,1,100,0.092193
1759437224.313001,155564.000,21909,1,EA,1,100,0.092187
1759437224.379504,155630.500,21926,2,EA,1,100,0.092187
1759437224.446006,155697.000,21926,2,EA,1,100,0.092181
1759437224.513008,155764.000,21941,1,EA,1,100,0.092171
1759437224.579511,155830.500,21956,2,EA,1,100,0.092162
1759437224.646013,155897.000,21956,2,EA,1,100,0.092155
1759437224.713015,155964.000,21972,1,EA,1,100,0.092156
1759437224.779518,156030.500,21988,2,EA,1,100,0.092161
1759437224.846020,156097.000,21988,2,EA,1,100,0.092158
1759437224.913022,156164.000,22003,1,EA,1,100,0.092156
1759437224.979525,156230.500,22020,2,EA,1,100,0.092158
1759437225.046027,156297.000,22020,2,EA,1,100,0.092160
1759437225.112529,156363.500,22034,2,EA,1,100,0.092165
1759437225.179031,156430.000,22034,2,EA,1,100,0.092172
1759437225.246034,156497.000,22050,1,EA,1,100,0.092185
1759437225.312536,156563.500,22066,2,EA,1,100,0.092193
1759437225.379038,156630.000,22066,2,EA,1,100,0.092213
1759437225.446041,156697.000,22082,1,EA,1,100,0.092226
1759437225.512543,156763.500,22096,2,EA,1,100,0.092242
1759437225.579045,156830.000,22096,2,EA,1,100,0.092265
1759437225.646048,156897.000,22112,1,EA,1,100,0.092292
1759437225.712550,156963.500,22128,2,EA,1,100,0.092318
1759437225.779052,157030.000,22128,2,EA,1,100,0.092343
1759437225.846055,157097.000,22144,1,EA,1,100,0.092363
1759437225.912557,157163.500,22158,2,EA,1,100,0.092384
1759437225.979059,157230.000,22158,2,EA,1,100,0.092409
1759437226.046062,157297.000,22175,1,EA,1,100,0.092435
1759437226.112564,157363.500,22190,2,EA,1,100,0.092463
1759437226.179066,157430.000,22190,2,EA,1,100,0.092502
1759437226.246069,157497.000,22206,1,EA,1,100,0.092549
1759437226.312571,157563.500,22221,2,EA,1,100,0.092601
1759437226.379073,157630.000,22221,2,EA,1,100,0.092662
1759437226.446076,157697.000,22237,1,EA,1,100,0.092735
1759437226.512578,157763.500,22252,2,EA,1,100,0.092805
1759437226.579080,157830.000,22252,2,EA,1,100,0.092877
1759437226.646083,157897.000,22268,1,EA,1,100,0.092938
1759437226.712585,157963.500,22283,2,EA,1,100,0.092994
1759437226.779087,158030.000,22283,2,EA,1,100,0.093057
1759437226.846090,158097.000,22299,1,EA,1,100,0.093122
