LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1759437223.446971,154698.000,21779,1,EL,1,100,-4570.000000
1759437223.512974,154764.000,21784,1,EL,1,100,-4569.000000
1759437223.579476,154830.500,21800,2,EL,1,100,-4569.399902
1759437223.645978,154897.000,21800,2,EL,1,100,-4568.799805
1759437223.712981,154964.000,21816,1,EL,1,100,-4568.000000
1759437223.779483,155030.500,21831,2,EL,1,100,-4568.200195
1759437223.845985,155097.000,21831,2,EL,1,100,-4568.200195
1759437223.912987,155164.000,21846,1,EL,1,100,-4567.799805
1759437223.979490,155230.500,21863,2,EL,1,100,-4567.000000
1759437224.045992,155297.000,21863,2,EL,1,100,-4567.000000
1759437224.112994,155364.000,21878,1,EL,1,100,-4568.000000
1759437224.179497,155430.500,21895,2,EL,1,100,-4569.799805
1759437224.245999,155497.000,21895,2,EL,1,100,-4569.000000
1759437224.313001,155564.000,21910,1,EL,1,100,-4568.000000
1759437224.379504,155630.500,21927,2,EL,1,100,-4568.000000
1759437224.446006,155697.000,21927,2,EL,1,100,-4567.000000
1759437224.513008,155764.000,21942,1,EL,1,100,-4565.399902
1759437224.579511,155830.500,21957,2,EL,1,100,-4564.000000
1759437224.646013,155897.000,21957,2,EL,1,100,-4562.799805
1759437224.713015,155964.000,21973,1,EL,1,100,-4563.000000
1759437224.779518,156030.500,21989,2,EL,1,100,-4563.799805
1759437224.846020,156097.000,21989,2,EL,1,100,-4563.200195
1759437224.913022,156164.000,22004,1,EL,1,100,-4563.000000
1759437224.979525,156230.500,22021,2,EL,1,100,-4563.200195
1759437225.046027,156297.000,22021,2,EL,1,100,-4563.600098
1759437225.112529,156363.500,22035,2,EL,1,100,-4564.399902
1759437225.179031,156430.000,22035,2,EL,1,100,-4565.600098
1759437225.246034,156497.000,22051,1,EL,1,100,-4567.600098
1759437225.312536,156563.500,22067,2,EL,1,100,-4569.000000
1759437225.379038,156630.000,22067,2,EL,1,100,-4572.200195
1759437225.446041,156697.000,22083,1,EL,1,100,-4574.399902
1759437225.512543,156763.500,22097,2,EL,1,100,-4577.000000
1759437225.579045,156830.000,22097,2,EL,1,100,-4580.600098
1759437225.646048,156897.000,22113,1,EL,1,100,-4585.000000
1759437225.712550,156963.500,22129,2,EL,1,100,-4589.200195
1759437225.779052,157030.000,22129,2,EL,1,100,-4593.399902
1759437225.846055,157097.000,22145,1,EL,1,100,-4596.600098
