LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1759437224.260999,155512.000,21890,1,HR,1,100,18.77
1759437228.114134,159365.000,22492,1,HR,1,100,18.07
1759437239.259522,170510.000,24218,1,HR,1,100,15.26
1759437249.112865,180363.000,25745,1,HR,1,100,13.22
1759437251.245939,182496.000,26075,1,HR,1,100,16.57
1759437257.299150,188549.000,27002,1,HR,1,100,15.10
1759437265.711443,196961.000,28301,1,HR,1,100,13.33
1759437273.697721,204947.000,29526,1,HR,1,100,12.04
1759437274.577752,205827.000,29668,1,HR,1,100,24.52
1759437296.909530,228158.000,33137,1,HR,1,100,19.67
1759437328.214621,259462.000,37966,1,HR,1,100,15.72
1759437349.506362,280753.000,41258,1,HR,1,100,12.86
1759437354.119523,285366.000,41964,1,HR,1,100,12.90
1759437359.371706,290618.000,42766,1,HR,1,100,12.58
