LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1759437223.540974,154792.000,21782,3,PG,1,100,7701
1759437223.540974,154792.000,21782,3,PG,1,100,7701
1759437223.540974,154792.000,21782,3,PG,1,100,7708
1759437223.580976,154832.000,21798,2,PG,1,100,7702
1759437223.620977,154872.000,21798,2,PG,1,100,7707
1759437223.660979,154912.000,21814,3,PG,1,100,7703
1759437223.700980,154952.000,21814,3,PG,1,100,7702
1759437223.740981,154992.000,21814,3,PG,1,100,7697
1759437223.780983,155032.000,21829,2,PG,1,100,7711
1759437223.820984,155072.000,21829,2,PG,1,100,7700
1759437223.860986,155112.000,21844,3,PG,1,100,7693
1759437223.900987,155152.000,21844,3,PG,1,100,7708
1759437223.940988,155192.000,21844,3,PG,1,100,7701
1759437223.980990,155232.000,21861,2,PG,1,100,7716
1759437224.020991,155272.000,21861,2,PG,1,100,7707
1759437224.060992,155312.000,21876,3,PG,1,100,7704
1759437224.100994,155352.000,21876,3,PG,1,100,7707
1759437224.140995,155392.000,21876,3,PG,1,100,7704
1759437224.180997,155432.000,21893,3,PG,1,100,7726
1759437224.220998,155472.000,21893,3,PG,1,100,7722
1759437224.260999,155512.000,21893,3,PG,1,100,7726
1759437224.301001,155552.000,21908,2,PG,1,100,7724
1759437224.341002,155592.000,21908,2,PG,1,100,7729
1759437224.381004,155632.000,21925,3,PG,1,100,7718
1759437224.421005,155672.000,21925,3,PG,1,100,7714
1759437224.461006,155712.000,21925,3,PG,1,100,7725
1759437224.501008,155752.000,21940,2,PG,1,100,7717
1759437224.541009,155792.000,21940,2,PG,1,100,7728
1759437224.581011,155832.000,21955,3,PG,1,100,7716
1759437224.621012,155872.000,21955,3,PG,1,100,7712
1759437224.661013,155912.000,21955,3,PG,1,100,7729
1759437224.701015,155952.000,21971,2,PG,1,100,7722
1759437224.741016,155992.000,21971,2,PG,1,100,7729
1759437224.781018,156032.000,21987,3,PG,1,100,7722
1759437224.821019,156072.000,21987,3,PG,1,100,7720
1759437224.861020,156112.000,21987,3,PG,1,100,7709
1759437224.901022,156152.000,22002,2,PG,1,100,7732
1759437224.941023,156192.000,22002,2,PG,1,100,7732
1759437224.981025,156232.000,22019,3,PG,1,100,7723
1759437225.021026,156272.000,22019,3,PG,1,100,7748
1759437225.061027,156312.000,22019,3,PG,1,100,7734
1759437225.101029,156352.000,22033,3,PG,1,100,7729
1759437225.141030,156392.000,22033,3,PG,1,100,7721
1759437225.181031,156432.000,22033,3,PG,1,100,7730
1759437225.221033,156472.000,22049,2,PG,1,100,7732
1759437225.261034,156512.000,22049,2,PG,1,100,7731
1759437225.301036,156552.000,22065,3,PG,1,100,7726
1759437225.341037,156592.000,22065,3,PG,1,100,7749
1759437225.381038,156632.000,22065,3,PG,1,100,7737
1759437225.421040,156672.000,22081,2,PG,1,100,7744
1759437225.461041,156712.000,22081,2,PG,1,100,7736
1759437225.501043,156752.000,22095,3,PG,1,100,7737
1759437225.541044,156792.000,22095,3,PG,1,100,7733
1759437225.581045,156832.000,22095,3,PG,1,100,7741
1759437225.621047,156872.000,22111,2,PG,1,100,7738
1759437225.661048,156912.000,22111,2,PG,1,100,7740
1759437225.701050,156952.000,22127,3,PG,1,100,7751
1759437225.741051,156992.000,22127,3,PG,1,100,7746
1759437225.781052,157032.000,22127,3,PG,1,100,7744
1759437225.821054,157072.000,22143,2,PG,1,100,7742
1759437225.861055,157112.000,22143,2,PG,1,100,7726
1759437225.907557,157158.500,22157,2,PG,1,100,7745
1759437225.954058,157205.000,22157,2,PG,1,100,7745
1759437225.994060,157245.000,22174,3,PG,1,100,7735
1759437226.034061,157285.000,22174,3,PG,1,100,7726
1759437226.074063,157325.000,22174,3,PG,1,100,7729
1759437226.114064,157365.000,22189,3,PG,1,100,7745
1759437226.154065,157405.000,22189,3,PG,1,100,7748
1759437226.194067,157445.000,22189,3,PG,1,100,7739
1759437226.234068,157485.000,22205,2,PG,1,100,7733
1759437226.274070,157525.000,22205,2,PG,1,100,7738
1759437226.314071,157565.000,22220,3,PG,1,100,7743
1759437226.354072,157605.000,22220,3,PG,1,100,7752
1759437226.394074,157645.000,22220,3,PG,1,100,7733
1759437226.434075,157685.000,22236,2,PG,1,100,7737
1759437226.474077,157725.000,22236,2,PG,1,100,7741
1759437226.514078,157765.000,22251,3,PG,1,100,7751
1759437226.554079,157805.000,22251,3,PG,1,100,7729
1759437226.594081,157845.000,22251,3,PG,1,100,7726
1759437226.634082,157885.000,22267,2,PG,1,100,7739
1759437226.674083,157925.000,22267,2,PG,1,100,7743
1759437226.714085,157965.000,22282,3,PG,1,100,7736
1759437226.754086,158005.000,22282,3,PG,1,100,7741
1759437226.794088,158045.000,22282,3,PG,1,100,7753
1759437226.834089,158085.000,22298,2,PG,1,100,7728
1759437226.874090,158125.000,22298,2,PG,1,100,7743
1759437226.914092,158165.000,22313,3,PG,1,100,7728
1759437226.954093,158205.000,22313,3,PG,1,100,7738
1759437226.994095,158245.000,22313,3,PG,1,100,7726
1759437227.034096,158285.000,22330,2,PG,1,100,7735
1759437227.074097,158325.000,22330,2,PG,1,100,7733
1759437227.114099,158365.000,22345,3,PG,1,100,7744
1759437227.154100,158405.000,22345,3,PG,1,100,7737
1759437227.194102,158445.000,22345,3,PG,1,100,7739
1759437227.234103,158485.000,22362,2,PG,1,100,7731
1759437227.274104,158525.000,22362,2,PG,1,100,7734
1759437227.314106,158565.000,22378,3,PG,1,100,7726
1759437227.354107,158605.000,22378,3,PG,1,100,7732
1759437227.394109,158645.000,22378,3,PG,1,100,7722
1759437227.434110,158685.000,22399,3,PG,1,100,7717
1759437227.474111,158725.000,22399,3,PG,1,100,7723
1759437227.514113,158765.000,22399,3,PG,1,100,7725
1759437227.554114,158805.000,22414,2,PG,1,100,7727
1759437227.594115,158845.000,22414,2,PG,1,100,7712
1759437227.634117,158885.000,22430,3,PG,1,100,7712
1759437227.674118,158925.000,22430,3,PG,1,100,7714
1759437227.714120,158965.000,22430,3,PG,1,100,7701
1759437227.754121,159005.000,22447,2,PG,1,100,7711
1759437227.794122,159045.000,22447,2,PG,1,100,7718
1759437227.834124,159085.000,22463,3,PG,1,100,7727
1759437227.874125,159125.000,22463,3,PG,1,100,7727
1759437227.914127,159165.000,22463,3,PG,1,100,7730
1759437227.954128,159205.000,22478,2,PG,1,100,7707
1759437227.994129,159245.000,22478,2,PG,1,100,7708
1759437228.034131,159285.000,22496,3,PG,1,100,7708
1759437228.074132,159325.000,22496,3,PG,1,100,7717
1759437228.114134,159365.000,22496,3,PG,1,100,7711
1759437228.154135,159405.000,22511,2,PG,1,100,7705
1759437228.194136,159445.000,22511,2,PG,1,100,7714
1759437228.234138,159485.000,22527,3,PG,1,100,7705
1759437228.274139,159525.000,22527,3,PG,1,100,7705
1759437228.314141,159565.000,22527,3,PG,1,100,7704
1759437228.354142,159605.000,22543,2,PG,1,100,7701
1759437228.394144,159645.000,22543,2,PG,1,100,7701
1759437228.434145,159685.000,22558,3,PG,1,100,7695
1759437228.474146,159725.000,22558,3,PG,1,100,7709
1759437228.514148,159765.000,22558,3,PG,1,100,7703
1759437228.554149,159805.000,22573,2,PG,1,100,7685
1759437228.594151,159845.000,22573,2,PG,1,100,7710
1759437228.634152,159885.000,22590,3,PG,1,100,7708
1759437228.674153,159925.000,22590,3,PG,1,100,7699
1759437228.714155,159965.000,22590,3,PG,1,100,7696
1759437228.754156,160005.000,22605,3,PG,1,100,7686
1759437228.794158,160045.000,22605,3,PG,1,100,7696
1759437228.834159,160085.000,22605,3,PG,1,100,7691
1759437228.874160,160125.000,22620,2,PG,1,100,7695
1759437228.914162,160165.000,22620,2,PG,1,100,7700
1759437228.954163,160205.000,22635,3,PG,1,100,7694
1759437228.994164,160245.000,22635,3,PG,1,100,7695
1759437229.034166,160285.000,22635,3,PG,1,100,7695
1759437229.074167,160325.000,22653,2,PG,1,100,7685
1759437229.114169,160365.000,22653,2,PG,1,100,7686
1759437229.154170,160405.000,22668,3,PG,1,100,7695
1759437229.194171,160445.000,22668,3,PG,1,100,7685
1759437229.234173,160485.000,22668,3,PG,1,100,7693
1759437229.274174,160525.000,22684,2,PG,1,100,7695
1759437229.314176,160565.000,22684,2,PG,1,100,7697
1759437229.354177,160605.000,22699,3,PG,1,100,7689
1759437229.394178,160645.000,22699,3,PG,1,100,7686
1759437229.434180,160685.000,22699,3,PG,1,100,7695
1759437229.474181,160725.000,22715,2,PG,1,100,7683
1759437229.514183,160765.000,22715,2,PG,1,100,7694
1759437229.554184,160805.000,22730,3,PG,1,100,7677
1759437229.594185,160845.000,22730,3,PG,1,100,7677
1759437229.634187,160885.000,22730,3,PG,1,100,7692
1759437229.674188,160925.000,22747,2,PG,1,100,7675
1759437229.714190,160965.000,22747,2,PG,1,100,7687
1759437229.754191,161005.000,22761,3,PG,1,100,7683
1759437229.794192,161045.000,22761,3,PG,1,100,7676
1759437229.834194,161085.000,22761,3,PG,1,100,7672
1759437229.874195,161125.000,22779,2,PG,1,100,7679
1759437229.914196,161165.000,22779,2,PG,1,100,7701
1759437229.954198,161205.000,22795,3,PG,1,100,7689
1759437229.994199,161245.000,22795,3,PG,1,100,7687
1759437230.034201,161285.000,22795,3,PG,1,100,7687
1759437230.074202,161325.000,22811,2,PG,1,100,7688
1759437230.114203,161365.000,22811,2,PG,1,100,7678
1759437230.154205,161405.000,22825,3,PG,1,100,7676
1759437230.194206,161445.000,22825,3,PG,1,100,7680
1759437230.234208,161485.000,22825,3,PG,1,100,7675
1759437230.274209,161525.000,22841,3,PG,1,100,7692
1759437230.314210,161565.000,22841,3,PG,1,100,7685
1759437230.354212,161605.000,22841,3,PG,1,100,7671
1759437230.394213,161645.000,22857,2,PG,1,100,7684
1759437230.434215,161685.000,22857,2,PG,1,100,7687
1759437230.474216,161725.000,22873,3,PG,1,100,7686
1759437230.514217,161765.000,22873,3,PG,1,100,7689
1759437230.554219,161805.000,22873,3,PG,1,100,7678
1759437230.594220,161845.000,22887,2,PG,1,100,7674
1759437230.634222,161885.000,22887,2,PG,1,100,7671
1759437230.674223,161925.000,22904,3,PG,1,100,7689
1759437230.714224,161965.000,22904,3,PG,1,100,7682
1759437230.754226,162005.000,22904,3,PG,1,100,7691
1759437230.794227,162045.000,22919,2,PG,1,100,7681
1759437230.834229,162085.000,22919,2,PG,1,100,7691
1759437230.874230,162125.000,22935,3,PG,1,100,7683
1759437230.914231,162165.000,22935,3,PG,1,100,7684
1759437230.954233,162205.000,22935,3,PG,1,100,7673
1759437230.994234,162245.000,22950,2,PG,1,100,7669
1759437231.034235,162285.000,22950,2,PG,1,100,7681
1759437231.074237,162325.000,22966,3,PG,1,100,7691
1759437231.114238,162365.000,22966,3,PG,1,100,7699
1759437231.154240,162405.000,22966,3,PG,1,100,7696
1759437231.194241,162445.000,22981,2,PG,1,100,7696
1759437231.234242,162485.000,22981,2,PG,1,100,7696
1759437231.274244,162525.000,22997,3,PG,1,100,7691
1759437231.314245,162565.000,22997,3,PG,1,100,7684
1759437231.354247,162605.000,22997,3,PG,1,100,7682
1759437231.394248,162645.000,23012,2,PG,1,100,7686
1759437231.434249,162685.000,23012,2,PG,1,100,7689
1759437231.474251,162725.000,23028,3,PG,1,100,7691
1759437231.514252,162765.000,23028,3,PG,1,100,7685
1759437231.554254,162805.000,23028,3,PG,1,100,7679
1759437231.594255,162845.000,23043,2,PG,1,100,7701
1759437231.634256,162885.000,23043,2,PG,1,100,7700
1759437231.673924,162924.667,23060,3,PG,1,100,7685
1759437231.713593,162964.333,23060,3,PG,1,100,7691
1759437231.753260,163004.000,23060,3,PG,1,100,7687
1759437231.800262,163051.000,23074,2,PG,1,100,7695
1759437231.847264,163098.000,23074,2,PG,1,100,7699
1759437231.887265,163138.000,23090,3,PG,1,100,7688
1759437231.927267,163178.000,23090,3,PG,1,100,7690
1759437231.967268,163218.000,23090,3,PG,1,100,7711
1759437232.007269,163258.000,23106,2,PG,1,100,7703
1759437232.047271,163298.000,23106,2,PG,1,100,7703
1759437232.087272,163338.000,23122,3,PG,1,100,7695
1759437232.127274,163378.000,23122,3,PG,1,100,7690
1759437232.167275,163418.000,23122,3,PG,1,100,7694
1759437232.207276,163458.000,23137,2,PG,1,100,7705
1759437232.247278,163498.000,23137,2,PG,1,100,7709
1759437232.287279,163538.000,23153,3,PG,1,100,7708
1759437232.327281,163578.000,23153,3,PG,1,100,7694
1759437232.367282,163618.000,23153,3,PG,1,100,7694
1759437232.407283,163658.000,23168,2,PG,1,100,7704
1759437232.447285,163698.000,23168,2,PG,1,100,7697
1759437232.487286,163738.000,23184,3,PG,1,100,7694
1759437232.527287,163778.000,23184,3,PG,1,100,7695
1759437232.567289,163818.000,23184,3,PG,1,100,7696
1759437232.607290,163858.000,23199,2,PG,1,100,7707
1759437232.647292,163898.000,23199,2,PG,1,100,7715
1759437232.687293,163938.000,23217,3,PG,1,100,7708
1759437232.727294,163978.000,23217,3,PG,1,100,7713
1759437232.767296,164018.000,23217,3,PG,1,100,7722
1759437232.807297,164058.000,23232,3,PG,1,100,7713
