LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1759437223.540974,154792.000,21780,3,PI,1,100,174928
1759437223.540974,154792.000,21780,3,PI,1,100,174928
1759437223.540974,154792.000,21780,3,PI,1,100,174962
1759437223.580976,154832.000,21796,2,PI,1,100,174928
1759437223.620977,154872.000,21796,2,PI,1,100,174947
1759437223.660979,154912.000,21812,3,PI,1,100,174923
1759437223.700980,154952.000,21812,3,PI,1,100,174904
1759437223.740981,154992.000,21812,3,PI,1,100,174890
1759437223.780983,155032.000,21827,2,PI,1,100,174882
1759437223.820984,155072.000,21827,2,PI,1,100,174873
1759437223.860986,155112.000,21842,3,PI,1,100,174878
1759437223.900987,155152.000,21842,3,PI,1,100,174876
1759437223.940988,155192.000,21842,3,PI,1,100,174876
1759437223.980990,155232.000,21859,2,PI,1,100,174845
1759437224.020991,155272.000,21859,2,PI,1,100,174833
1759437224.060992,155312.000,21874,3,PI,1,100,174837
1759437224.100994,155352.000,21874,3,PI,1,100,174835
1759437224.140995,155392.000,21874,3,PI,1,100,174835
1759437224.180997,155432.000,21891,3,PI,1,100,174857
1759437224.220998,155472.000,21891,3,PI,1,100,174877
1759437224.260999,155512.000,21891,3,PI,1,100,174881
1759437224.301001,155552.000,21906,2,PI,1,100,174897
1759437224.341002,155592.000,21906,2,PI,1,100,174903
1759437224.381004,155632.000,21923,3,PI,1,100,174881
1759437224.421005,155672.000,21923,3,PI,1,100,174897
1759437224.461006,155712.000,21923,3,PI,1,100,174907
1759437224.501008,155752.000,21938,2,PI,1,100,174911
1759437224.541009,155792.000,21938,2,PI,1,100,174917
1759437224.581011,155832.000,21953,3,PI,1,100,174914
1759437224.621012,155872.000,21953,3,PI,1,100,174916
1759437224.661013,155912.000,21953,3,PI,1,100,174916
1759437224.701015,155952.000,21969,2,PI,1,100,174900
1759437224.741016,155992.000,21969,2,PI,1,100,174914
1759437224.781018,156032.000,21985,3,PI,1,100,174916
1759437224.821019,156072.000,21985,3,PI,1,100,174925
1759437224.861020,156112.000,21985,3,PI,1,100,174921
1759437224.901022,156152.000,22000,2,PI,1,100,174914
1759437224.941023,156192.000,22000,2,PI,1,100,174931
1759437224.981025,156232.000,22017,3,PI,1,100,174933
1759437225.021026,156272.000,22017,3,PI,1,100,174929
1759437225.061027,156312.000,22017,3,PI,1,100,174918
1759437225.101029,156352.000,22031,3,PI,1,100,174927
1759437225.141030,156392.000,22031,3,PI,1,100,174918
1759437225.181031,156432.000,22031,3,PI,1,100,174921
1759437225.221033,156472.000,22047,2,PI,1,100,174944
1759437225.261034,156512.000,22047,2,PI,1,100,174931
1759437225.301036,156552.000,22063,3,PI,1,100,174921
1759437225.341037,156592.000,22063,3,PI,1,100,174934
1759437225.381038,156632.000,22063,3,PI,1,100,174950
1759437225.421040,156672.000,22079,2,PI,1,100,174950
1759437225.461041,156712.000,22079,2,PI,1,100,174950
1759437225.501043,156752.000,22093,3,PI,1,100,174952
1759437225.541044,156792.000,22093,3,PI,1,100,174969
1759437225.581045,156832.000,22093,3,PI,1,100,174939
1759437225.621047,156872.000,22109,2,PI,1,100,174979
1759437225.661048,156912.000,22109,2,PI,1,100,174973
1759437225.701050,156952.000,22125,3,PI,1,100,174991
1759437225.741051,156992.000,22125,3,PI,1,100,174969
1759437225.781052,157032.000,22125,3,PI,1,100,174955
1759437225.821054,157072.000,22141,2,PI,1,100,174948
1759437225.861055,157112.000,22141,2,PI,1,100,174938
1759437225.907557,157158.500,22155,2,PI,1,100,174970
1759437225.954058,157205.000,22155,2,PI,1,100,174948
1759437225.994060,157245.000,22172,3,PI,1,100,174941
1759437226.034061,157285.000,22172,3,PI,1,100,174986
1759437226.074063,157325.000,22172,3,PI,1,100,174990
1759437226.114064,157365.000,22187,3,PI,1,100,174978
1759437226.154065,157405.000,22187,3,PI,1,100,174991
1759437226.194067,157445.000,22187,3,PI,1,100,174984
1759437226.234068,157485.000,22203,2,PI,1,100,175002
1759437226.274070,157525.000,22203,2,PI,1,100,174998
1759437226.314071,157565.000,22218,3,PI,1,100,174990
1759437226.354072,157605.000,22218,3,PI,1,100,175004
1759437226.394074,157645.000,22218,3,PI,1,100,174989
1759437226.434075,157685.000,22234,2,PI,1,100,174998
1759437226.474077,157725.000,22234,2,PI,1,100,174988
1759437226.514078,157765.000,22249,3,PI,1,100,174990
1759437226.554079,157805.000,22249,3,PI,1,100,174980
1759437226.594081,157845.000,22249,3,PI,1,100,174989
1759437226.634082,157885.000,22265,2,PI,1,100,175001
1759437226.674083,157925.000,22265,2,PI,1,100,174992
1759437226.714085,157965.000,22280,3,PI,1,100,175000
1759437226.754086,158005.000,22280,3,PI,1,100,175024
1759437226.794088,158045.000,22280,3,PI,1,100,175033
1759437226.834089,158085.000,22296,2,PI,1,100,175034
1759437226.874090,158125.000,22296,2,PI,1,100,175040
1759437226.914092,158165.000,22311,3,PI,1,100,175048
1759437226.954093,158205.000,22311,3,PI,1,100,175032
1759437226.994095,158245.000,22311,3,PI,1,100,175034
1759437227.034096,158285.000,22328,2,PI,1,100,175018
1759437227.074097,158325.000,22328,2,PI,1,100,175029
1759437227.114099,158365.000,22343,3,PI,1,100,175037
1759437227.154100,158405.000,22343,3,PI,1,100,175047
1759437227.194102,158445.000,22343,3,PI,1,100,175042
1759437227.234103,158485.000,22360,2,PI,1,100,175045
1759437227.274104,158525.000,22360,2,PI,1,100,175050
1759437227.314106,158565.000,22376,3,PI,1,100,175057
1759437227.354107,158605.000,22376,3,PI,1,100,175054
1759437227.394109,158645.000,22376,3,PI,1,100,175065
1759437227.434110,158685.000,22397,3,PI,1,100,175075
1759437227.474111,158725.000,22397,3,PI,1,100,175089
1759437227.514113,158765.000,22397,3,PI,1,100,175093
1759437227.554114,158805.000,22412,2,PI,1,100,175096
1759437227.594115,158845.000,22412,2,PI,1,100,175083
1759437227.634117,158885.000,22428,3,PI,1,100,175117
1759437227.674118,158925.000,22428,3,PI,1,100,175125
1759437227.714120,158965.000,22428,3,PI,1,100,175104
1759437227.754121,159005.000,22445,2,PI,1,100,175111
1759437227.794122,159045.000,22445,2,PI,1,100,175084
1759437227.834124,159085.000,22461,3,PI,1,100,175084
1759437227.874125,159125.000,22461,3,PI,1,100,175077
1759437227.914127,159165.000,22461,3,PI,1,100,175083
1759437227.954128,159205.000,22476,2,PI,1,100,175070
1759437227.994129,159245.000,22476,2,PI,1,100,175063
1759437228.034131,159285.000,22494,3,PI,1,100,175097
1759437228.074132,159325.000,22494,3,PI,1,100,175093
1759437228.114134,159365.000,22494,3,PI,1,100,175086
1759437228.154135,159405.000,22509,2,PI,1,100,175105
1759437228.194136,159445.000,22509,2,PI,1,100,175099
1759437228.234138,159485.000,22525,3,PI,1,100,175086
1759437228.274139,159525.000,22525,3,PI,1,100,175073
1759437228.314141,159565.000,22525,3,PI,1,100,175084
1759437228.354142,159605.000,22541,2,PI,1,100,175103
1759437228.394144,159645.000,22541,2,PI,1,100,175085
1759437228.434145,159685.000,22556,3,PI,1,100,175086
1759437228.474146,159725.000,22556,3,PI,1,100,175095
1759437228.514148,159765.000,22556,3,PI,1,100,175110
1759437228.554149,159805.000,22571,2,PI,1,100,175111
1759437228.594151,159845.000,22571,2,PI,1,100,175105
1759437228.634152,159885.000,22588,3,PI,1,100,175112
1759437228.674153,159925.000,22588,3,PI,1,100,175099
1759437228.714155,159965.000,22588,3,PI,1,100,175108
1759437228.754156,160005.000,22603,3,PI,1,100,175126
