LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437223.540974,154792.000,21781,3,PR,1,100,104818
1759437223.540974,154792.000,21781,3,PR,1,100,104826
1759437223.540974,154792.000,21781,3,PR,1,100,104804
1759437223.580976,154832.000,21797,2,PR,1,100,104806
1759437223.620977,154872.000,21797,2,PR,1,100,104814
1759437223.660979,154912.000,21813,3,PR,1,100,104819
1759437223.700980,154952.000,21813,3,PR,1,100,104810
1759437223.740981,154992.000,21813,3,PR,1,100,104807
1759437223.780983,155032.000,21828,2,PR,1,100,104813
1759437223.820984,155072.000,21828,2,PR,1,100,104806
1759437223.860986,155112.000,21843,3,PR,1,100,104802
1759437223.900987,155152.000,21843,3,PR,1,100,104794
1759437223.940988,155192.000,21843,3,PR,1,100,104800
1759437223.980990,155232.000,21860,2,PR,1,100,104794
1759437224.020991,155272.000,21860,2,PR,1,100,104783
1759437224.060992,155312.000,21875,3,PR,1,100,104789
1759437224.100994,155352.000,21875,3,PR,1,100,104774
1759437224.140995,155392.000,21875,3,PR,1,100,104788
1759437224.180997,155432.000,21892,3,PR,1,100,104811
1759437224.220998,155472.000,21892,3,PR,1,100,104825
1759437224.260999,155512.000,21892,3,PR,1,100,104808
1759437224.301001,155552.000,21907,2,PR,1,100,104812
1759437224.341002,155592.000,21907,2,PR,1,100,104810
1759437224.381004,155632.000,21924,3,PR,1,100,104815
1759437224.421005,155672.000,21924,3,PR,1,100,104830
1759437224.461006,155712.000,21924,3,PR,1,100,104827
1759437224.501008,155752.000,21939,2,PR,1,100,104809
1759437224.541009,155792.000,21939,2,PR,1,100,104818
1759437224.581011,155832.000,21954,3,PR,1,100,104822
1759437224.621012,155872.000,21954,3,PR,1,100,104806
1759437224.661013,155912.000,21954,3,PR,1,100,104805
1759437224.701015,155952.000,21970,2,PR,1,100,104802
1759437224.741016,155992.000,21970,2,PR,1,100,104808
1759437224.781018,156032.000,21986,3,PR,1,100,104808
1759437224.821019,156072.000,21986,3,PR,1,100,104833
1759437224.861020,156112.000,21986,3,PR,1,100,104830
1759437224.901022,156152.000,22001,2,PR,1,100,104834
1759437224.941023,156192.000,22001,2,PR,1,100,104831
1759437224.981025,156232.000,22018,3,PR,1,100,104825
1759437225.021026,156272.000,22018,3,PR,1,100,104815
1759437225.061027,156312.000,22018,3,PR,1,100,104818
1759437225.101029,156352.000,22032,3,PR,1,100,104829
1759437225.141030,156392.000,22032,3,PR,1,100,104830
1759437225.181031,156432.000,22032,3,PR,1,100,104810
1759437225.221033,156472.000,22048,2,PR,1,100,104825
1759437225.261034,156512.000,22048,2,PR,1,100,104825
1759437225.301036,156552.000,22064,3,PR,1,100,104832
1759437225.341037,156592.000,22064,3,PR,1,100,104830
1759437225.381038,156632.000,22064,3,PR,1,100,104831
1759437225.421040,156672.000,22080,2,PR,1,100,104828
1759437225.461041,156712.000,22080,2,PR,1,100,104826
1759437225.501043,156752.000,22094,3,PR,1,100,104829
1759437225.541044,156792.000,22094,3,PR,1,100,104841
1759437225.581045,156832.000,22094,3,PR,1,100,104836
1759437225.621047,156872.000,22110,2,PR,1,100,104842
1759437225.661048,156912.000,22110,2,PR,1,100,104851
1759437225.701050,156952.000,22126,3,PR,1,100,104849
1759437225.741051,156992.000,22126,3,PR,1,100,104837
1759437225.781052,157032.000,22126,3,PR,1,100,104830
1759437225.821054,157072.000,22142,2,PR,1,100,104821
1759437225.861055,157112.000,22142,2,PR,1,100,104819
1759437225.907557,157158.500,22156,2,PR,1,100,104843
1759437225.954058,157205.000,22156,2,PR,1,100,104838
1759437225.994060,157245.000,22173,3,PR,1,100,104830
1759437226.034061,157285.000,22173,3,PR,1,100,104847
1759437226.074063,157325.000,22173,3,PR,1,100,104849
1759437226.114064,157365.000,22188,3,PR,1,100,104831
1759437226.154065,157405.000,22188,3,PR,1,100,104841
1759437226.194067,157445.000,22188,3,PR,1,100,104849
1759437226.234068,157485.000,22204,2,PR,1,100,104844
1759437226.274070,157525.000,22204,2,PR,1,100,104864
1759437226.314071,157565.000,22219,3,PR,1,100,104865
1759437226.354072,157605.000,22219,3,PR,1,100,104861
1759437226.394074,157645.000,22219,3,PR,1,100,104861
1759437226.434075,157685.000,22235,2,PR,1,100,104843
1759437226.474077,157725.000,22235,2,PR,1,100,104844
1759437226.514078,157765.000,22250,3,PR,1,100,104861
1759437226.554079,157805.000,22250,3,PR,1,100,104865
1759437226.594081,157845.000,22250,3,PR,1,100,104863
1759437226.634082,157885.000,22266,2,PR,1,100,104862
1759437226.674083,157925.000,22266,2,PR,1,100,104852
1759437226.714085,157965.000,22281,3,PR,1,100,104856
1759437226.754086,158005.000,22281,3,PR,1,100,104862
1759437226.794088,158045.000,22281,3,PR,1,100,104875
1759437226.834089,158085.000,22297,2,PR,1,100,104863
1759437226.874090,158125.000,22297,2,PR,1,100,104884
1759437226.914092,158165.000,22312,3,PR,1,100,104867
1759437226.954093,158205.000,22312,3,PR,1,100,104878
1759437226.994095,158245.000,22312,3,PR,1,100,104882
1759437227.034096,158285.000,22329,2,PR,1,100,104864
1759437227.074097,158325.000,22329,2,PR,1,100,104868
1759437227.114099,158365.000,22344,3,PR,1,100,104869
1759437227.154100,158405.000,22344,3,PR,1,100,104871
1759437227.194102,158445.000,22344,3,PR,1,100,104869
1759437227.234103,158485.000,22361,2,PR,1,100,104877
1759437227.274104,158525.000,22361,2,PR,1,100,104903
1759437227.314106,158565.000,22377,3,PR,1,100,104857
1759437227.354107,158605.000,22377,3,PR,1,100,104895
1759437227.394109,158645.000,22377,3,PR,1,100,104887
1759437227.434110,158685.000,22398,3,PR,1,100,104906
1759437227.474111,158725.000,22398,3,PR,1,100,104893
1759437227.514113,158765.000,22398,3,PR,1,100,104889
1759437227.554114,158805.000,22413,2,PR,1,100,104901
1759437227.594115,158845.000,22413,2,PR,1,100,104914
1759437227.634117,158885.000,22429,3,PR,1,100,104913
1759437227.674118,158925.000,22429,3,PR,1,100,104906
1759437227.714120,158965.000,22429,3,PR,1,100,104910
1759437227.754121,159005.000,22446,2,PR,1,100,104906
1759437227.794122,159045.000,22446,2,PR,1,100,104901
1759437227.834124,159085.000,22462,3,PR,1,100,104892
1759437227.874125,159125.000,22462,3,PR,1,100,104890
1759437227.914127,159165.000,22462,3,PR,1,100,104898
1759437227.954128,159205.000,22477,2,PR,1,100,104891
1759437227.994129,159245.000,22477,2,PR,1,100,104906
1759437228.034131,159285.000,22495,3,PR,1,100,104888
1759437228.074132,159325.000,22495,3,PR,1,100,104894
1759437228.114134,159365.000,22495,3,PR,1,100,104887
1759437228.154135,159405.000,22510,2,PR,1,100,104909
1759437228.194136,159445.000,22510,2,PR,1,100,104895
1759437228.234138,159485.000,22526,3,PR,1,100,104888
1759437228.274139,159525.000,22526,3,PR,1,100,104888
1759437228.314141,159565.000,22526,3,PR,1,100,104872
1759437228.354142,159605.000,22542,2,PR,1,100,104894
1759437228.394144,159645.000,22542,2,PR,1,100,104891
1759437228.434145,159685.000,22557,3,PR,1,100,104889
1759437228.474146,159725.000,22557,3,PR,1,100,104898
1759437228.514148,159765.000,22557,3,PR,1,100,104881
1759437228.554149,159805.000,22572,2,PR,1,100,104899
1759437228.594151,159845.000,22572,2,PR,1,100,104890
1759437228.634152,159885.000,22589,3,PR,1,100,104893
1759437228.674153,159925.000,22589,3,PR,1,100,104908
1759437228.714155,159965.000,22589,3,PR,1,100,104910
1759437228.754156,160005.000,22604,3,PR,1,100,104891
1759437228.794158,160045.000,22604,3,PR,1,100,104886
1759437228.834159,160085.000,22604,3,PR,1,100,104910
1759437228.874160,160125.000,22619,2,PR,1,100,104914
1759437228.914162,160165.000,22619,2,PR,1,100,104904
1759437228.954163,160205.000,22634,3,PR,1,100,104903
1759437228.994164,160245.000,22634,3,PR,1,100,104899
1759437229.034166,160285.000,22634,3,PR,1,100,104900
1759437229.074167,160325.000,22652,2,PR,1,100,104917
1759437229.114169,160365.000,22652,2,PR,1,100,104905
1759437229.154170,160405.000,22667,3,PR,1,100,104920
1759437229.194171,160445.000,22667,3,PR,1,100,104906
1759437229.234173,160485.000,22667,3,PR,1,100,104919
1759437229.274174,160525.000,22683,2,PR,1,100,104911
1759437229.314176,160565.000,22683,2,PR,1,100,104901
1759437229.354177,160605.000,22698,3,PR,1,100,104907
1759437229.394178,160645.000,22698,3,PR,1,100,104903
1759437229.434180,160685.000,22698,3,PR,1,100,104922
1759437229.474181,160725.000,22714,2,PR,1,100,104927
1759437229.514183,160765.000,22714,2,PR,1,100,104929
1759437229.554184,160805.000,22729,3,PR,1,100,104934
