LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1759437227.450111,158701,22393,2,RD,1,100,TL,TU
1759437240.067550,171318,24343,2,RD,1,100,TL,TU
1759437269.665581,200915,28912,2,RD,1,100,TL,TU
1759437274.779759,206029,29703,2,RD,1,100,TL,TU
1759437279.886937,211136,30490,2,RD,1,100,TL,TU
1759437285.017116,216266,31292,2,RD,1,100,TL,TU
1759437290.126294,221375,32093,2,RD,1,100,TL,TU
1759437295.237472,226486,32882,2,RD,1,100,TL,TU
1759437300.344650,231593,33672,2,RD,1,100,TL,TU
1759437305.461828,236710,34460,2,RD,1,100,TL,TU
1759437310.585006,241833,35247,2,RD,1,100,TL,TU
1759437315.698185,246946,36033,2,RD,1,100,TL,TU
1759437320.809363,252057,36829,2,RD,1,100,TL,TU
1759437325.917541,257165,37616,2,RD,1,100,TL,TU
1759437331.035719,262283,38406,2,RD,1,100,TL,TU
1759437358.734684,289981,42671,2,RD,1,100,TL,TU
