LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1759437225.646048,156897.000,22358,1,SA,1,100,0.001058
1759437228.912162,160163.000,22775,1,SA,1,100,0.000602
1759437235.378387,166629.000,23759,1,SA,1,100,0.001402
1759437238.245487,169496.000,24136,1,SA,1,100,0.001622
1759437240.511565,171762.000,24438,1,SA,1,100,0.000087
1759437240.912580,172163.000,24581,1,SA,1,100,0.000495
1759437242.378631,173629.000,24773,1,SA,1,100,0.000326
1759437243.311663,174562.000,25008,1,SA,1,100,0.000875
1759437247.444807,178695.000,25855,1,SA,1,100,0.001004
1759437251.377944,182628.000,26108,1,SA,1,100,0.000017
1759437251.577951,182828.000,26281,1,SA,1,100,0.000354
1759437255.844100,187094.000,27003,1,SA,1,100,0.000723
1759437269.777585,201027.000,29132,1,SA,1,100,0.000336
1759437273.976731,205226.000,29784,1,SA,1,100,0.001561
1759437282.842040,214091.000,31071,1,SA,1,100,0.000117
1759437283.909077,215158.000,31296,1,SA,1,100,0.000251
1759437286.309161,217558.000,31516,1,SA,1,100,0.000010
1759437286.909182,218158.000,31612,1,SA,1,100,0.000020
1759437287.443200,218692.000,31833,1,SA,1,100,0.000207
1759437288.642242,219891.000,31882,1,SA,1,100,0.000015
1759437288.842249,220091.000,31930,1,SA,1,100,0.000031
1759437289.109258,220358.000,31964,1,SA,1,100,0.000013
1759437289.576275,220825.000,32094,1,SA,1,100,0.000099
1759437290.842319,222091.000,32550,1,SA,1,100,0.000699
1759437295.441479,226690.000,33056,1,SA,1,100,0.000242
1759437297.441549,228690.000,33466,1,SA,1,100,0.000776
1759437300.174644,231423.000,33705,1,SA,1,100,0.000113
1759437307.640904,238889.000,35163,1,SA,1,100,0.002839
1759437318.307276,249555.000,36475,1,SA,1,100,0.000033
1759437318.706290,249954.000,36509,1,SA,1,100,0.000011
1759437318.906296,250154.000,36573,1,SA,1,100,0.000043
1759437319.506317,250754.000,36637,1,SA,1,100,0.000015
1759437319.974334,251222.000,36809,1,SA,1,100,0.000146
1759437323.373452,254621.000,37348,1,SA,1,100,0.000141
1759437328.039614,259287.000,38231,1,SA,1,100,0.003608
1759437344.839200,276086.000,40736,1,SA,1,100,0.000837
1759437346.438256,277685.000,40910,1,SA,1,100,0.000681
1759437349.171351,280418.000,41336,1,SA,1,100,0.000604
1759437355.370567,286617.000,42292,1,SA,1,100,0.000398
1759437357.638646,288885.000,42653,1,SA,1,100,0.000439
