LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437223.712981,154964.000,21811,1,SF,1,100,18.3235
1759437224.045992,155297.000,21858,1,SF,1,100,18.1115
1759437224.446006,155697.000,21922,1,SF,1,100,17.9020
1759437224.713015,155964.000,21968,1,SF,1,100,17.6949
1759437225.046027,156297.000,22016,1,SF,1,100,17.4902
1759437225.379038,156630.000,22062,1,SF,1,100,17.2879
1759437225.779052,157030.000,22124,1,SF,1,100,17.0879
1759437226.046062,157297.000,22171,1,SF,1,100,16.8902
1759437226.379073,157630.000,22217,1,SF,1,100,16.6948
1759437226.779087,158030.000,22279,1,SF,1,100,16.5017
1759437227.046097,158297.000,22327,1,SF,1,100,16.3108
1759437227.379108,158630.000,22375,1,SF,1,100,18.2044
1759437227.713120,158964.000,22427,1,SF,1,100,17.9938
1759437228.113134,159364.000,22493,1,SF,1,100,17.7856
1759437228.379143,159630.000,22540,1,SF,1,100,17.5799
1759437228.712155,159963.000,22587,1,SF,1,100,17.3765
1759437229.112169,160363.000,22650,1,SF,1,100,17.1755
1759437229.379178,160630.000,22696,1,SF,1,100,16.9768
1759437229.712189,160963.000,22744,1,SF,1,100,16.7804
1759437230.046201,161297.000,22792,1,SF,1,100,18.6686
1759437230.446215,161697.000,22854,1,SF,1,100,18.4526
1759437230.712224,161963.000,22901,1,SF,1,100,18.2391
1759437231.046236,162297.000,22947,1,SF,1,100,18.0281
1759437231.446250,162697.000,23009,1,SF,1,100,17.8196
1759437231.712259,162963.000,23057,1,SF,1,100,17.6135
1759437232.046271,163297.000,23103,1,SF,1,100,17.4097
1759437232.379282,163630.000,23150,1,SF,1,100,17.2083
1759437232.779296,164030.000,23214,1,SF,1,100,17.0092
1759437233.045305,164296.000,23261,1,SF,1,100,16.8125
1759437233.379317,164630.000,23308,1,SF,1,100,16.6180
1759437233.779331,165030.000,23370,1,SF,1,100,16.4258
