LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1759437225.646048,156897.000,22359,1,SR,1,100,1.533333
1759437228.912162,160163.000,22776,1,SR,1,100,0.933333
1759437235.378387,166629.000,23760,1,SR,1,100,0.866667
1759437238.245487,169496.000,24137,1,SR,1,100,0.400000
1759437240.511565,171762.000,24439,1,SR,1,100,0.133333
1759437240.912580,172163.000,24582,1,SR,1,100,0.666667
1759437242.378631,173629.000,24774,1,SR,1,100,0.400000
1759437243.311663,174562.000,25009,1,SR,1,100,1.000000
1759437247.444807,178695.000,25856,1,SR,1,100,2.333333
1759437251.377944,182628.000,26109,1,SR,1,100,0.066667
1759437251.577951,182828.000,26282,1,SR,1,100,1.000000
1759437255.844100,187094.000,27004,1,SR,1,100,1.333333
1759437269.777585,201027.000,29133,1,SR,1,100,1.333333
1759437273.976731,205226.000,29785,1,SR,1,100,1.200000
1759437282.842040,214091.000,31072,1,SR,1,100,0.666667
1759437283.909077,215158.000,31297,1,SR,1,100,1.066667
1759437286.309161,217558.000,31517,1,SR,1,100,0.066667
1759437286.909182,218158.000,31613,1,SR,1,100,0.133333
1759437287.443200,218692.000,31834,1,SR,1,100,0.933333
1759437288.642242,219891.000,31883,1,SR,1,100,0.066667
1759437288.842249,220091.000,31931,1,SR,1,100,0.133333
1759437289.109258,220358.000,31965,1,SR,1,100,0.066667
1759437289.576275,220825.000,32095,1,SR,1,100,0.466667
1759437290.842319,222091.000,32551,1,SR,1,100,2.200000
1759437295.441479,226690.000,33057,1,SR,1,100,0.933333
1759437297.441549,228690.000,33467,1,SR,1,100,1.533333
1759437300.174644,231423.000,33706,1,SR,1,100,0.333333
1759437307.640904,238889.000,35164,1,SR,1,100,2.333333
1759437318.307276,249555.000,36476,1,SR,1,100,0.266667
1759437318.706290,249954.000,36510,1,SR,1,100,0.066667
1759437318.906296,250154.000,36574,1,SR,1,100,0.200000
1759437319.506317,250754.000,36638,1,SR,1,100,0.066667
1759437319.974334,251222.000,36810,1,SR,1,100,0.666667
1759437323.373452,254621.000,37349,1,SR,1,100,0.800000
1759437328.039614,259287.000,38232,1,SR,1,100,1.800000
1759437344.839200,276086.000,40737,1,SR,1,100,1.333333
1759437346.438256,277685.000,40911,1,SR,1,100,0.800000
1759437349.171351,280418.000,41337,1,SR,1,100,0.866667
1759437355.370567,286617.000,42293,1,SR,1,100,0.800000
1759437357.638646,288885.000,42654,1,SR,1,100,0.866667
