LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1759437223.505973,154757.000,21785,1,T1,1,100,31.900
1759437223.638978,154890.000,21801,1,T1,1,100,32.063
1759437223.772983,155024.000,21832,1,T1,1,100,31.815
1759437223.905987,155157.000,21847,1,T1,1,100,31.884
1759437224.038992,155290.000,21864,1,T1,1,100,31.950
1759437224.172997,155424.000,21896,1,T1,1,100,31.907
1759437224.306001,155557.000,21911,1,T1,1,100,31.924
1759437224.439006,155690.000,21928,1,T1,1,100,31.967
1759437224.573010,155824.000,21958,1,T1,1,100,31.844
1759437224.706015,155957.000,21974,1,T1,1,100,31.933
1759437224.839020,156090.000,21990,1,T1,1,100,31.935
1759437224.973024,156224.000,22005,1,T1,1,100,31.830
1759437225.106029,156357.000,22036,1,T1,1,100,31.856
1759437225.239033,156490.000,22052,1,T1,1,100,31.902
1759437225.373038,156624.000,22068,1,T1,1,100,31.887
1759437225.506043,156757.000,22098,1,T1,1,100,31.774
1759437225.639047,156890.000,22114,1,T1,1,100,31.938
1759437225.773052,157024.000,22130,1,T1,1,100,31.867
1759437225.906057,157157.000,22160,1,T1,1,100,31.942
1759437226.039061,157290.000,22177,1,T1,1,100,32.010
1759437226.173066,157424.000,22192,1,T1,1,100,32.005
1759437226.306071,157557.000,22223,1,T1,1,100,31.860
1759437226.439075,157690.000,22239,1,T1,1,100,31.904
1759437226.573080,157824.000,22254,1,T1,1,100,31.923
1759437226.706085,157957.000,22285,1,T1,1,100,32.179
1759437226.839089,158090.000,22301,1,T1,1,100,32.007
1759437226.972094,158223.000,22316,1,T1,1,100,32.074
1759437227.106099,158357.000,22333,1,T1,1,100,32.032
1759437227.239103,158490.000,22365,1,T1,1,100,31.978
1759437227.372108,158623.000,22381,1,T1,1,100,32.097
1759437227.506113,158757.000,22402,1,T1,1,100,31.829
1759437227.639117,158890.000,22433,1,T1,1,100,31.926
