LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1759437227.448111,158699,22391,1,TL,1,100,2025-10-02_16-33-42-472697
1759437227.462111,158713,22394,1,TL,1,100,2025-10-02_16-33-47-456111
1759437274.773759,206023,29701,1,TL,1,100,2025-10-02_16-34-29-798234
1759437274.794760,206044,29704,1,TL,1,100,2025-10-02_16-34-34-786572
1759437279.884937,211134,30488,1,TL,1,100,2025-10-02_16-34-34-852531
1759437279.903938,211153,30491,1,TL,1,100,2025-10-02_16-34-39-897007
1759437285.013116,216262,31290,1,TL,1,100,2025-10-02_16-34-39-922888
1759437285.031116,216280,31293,1,TL,1,100,2025-10-02_16-34-45-024485
1759437290.124294,221373,32091,1,TL,1,100,2025-10-02_16-34-45-102433
1759437295.231472,226480,32878,1,TL,1,100,2025-10-02_16-34-50-132198
1759437295.235472,226484,32880,1,TL,1,100,2025-10-02_16-34-50-261059
1759437300.342650,231591,33670,1,TL,1,100,2025-10-02_16-34-55-363531
1759437305.456828,236705,34456,1,TL,1,100,2025-10-02_16-35-00-349160
1759437305.459828,236708,34458,1,TL,1,100,2025-10-02_16-35-00-474984
1759437310.581006,241829,35243,1,TL,1,100,2025-10-02_16-35-05-469713
1759437310.583006,241831,35245,1,TL,1,100,2025-10-02_16-35-05-585986
1759437310.595007,241843,35248,1,TL,1,100,2025-10-02_16-35-10-589072
1759437315.696185,246944,36031,1,TL,1,100,2025-10-02_16-35-10-715178
1759437315.710185,246958,36034,1,TL,1,100,2025-10-02_16-35-15-704185
1759437320.807363,252055,36827,1,TL,1,100,2025-10-02_16-35-15-828558
1759437320.821363,252069,36830,1,TL,1,100,2025-10-02_16-35-20-816901
1759437325.915540,257163,37614,1,TL,1,100,2025-10-02_16-35-20-937304
1759437325.930541,257178,37617,1,TL,1,100,2025-10-02_16-35-25-925789
1759437331.033719,262281,38404,1,TL,1,100,2025-10-02_16-35-26-054698
1759437331.049719,262297,38407,1,TL,1,100,2025-10-02_16-35-31-038971
