RD,TS_received,TS_sent,AK,RoundTrip,
158701,158713,2025-10-02_16-33-47-456111,158714,12,
200915,206023,2025-10-02_16-34-29-798234,206024,5108,
206029,206044,2025-10-02_16-34-34-786572,206045,15,
211136,211153,2025-10-02_16-34-39-897007,211154,17,
216266,216280,2025-10-02_16-34-45-024485,216281,14,
221375,226480,2025-10-02_16-34-50-132198,226481,5105,
226486,231591,2025-10-02_16-34-55-363531,231592,5105,
231593,236705,2025-10-02_16-35-00-349160,236707,5112,
236710,241829,2025-10-02_16-35-05-469713,241830,5119,
241833,241843,2025-10-02_16-35-10-589072,241844,10,
246946,246958,2025-10-02_16-35-15-704185,246959,12,
252057,252069,2025-10-02_16-35-20-816901,252070,12,
257165,257178,2025-10-02_16-35-25-925789,257183,13,
262283,262297,2025-10-02_16-35-31-038971,262298,14,
