t_sec,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_5,EmotiBit_6,EmotiBit_7
62864,65.39869860919505,69.78200272167786,145.1890085727398,66.46400417179042,81.66452423776185,65.2161897555019,65.3117706069001
62865,65.45852027571895,69.60297161899351,144.08223887549423,67.82222217423225,82.07087946835125,65.32155660630605,66.9641725633105
62866,65.79991993191436,69.6147017115913,142.53276129935043,68.97414562465244,82.63977679117639,66.12675343281353,67.82734763930696
62867,64.63961447024222,69.19683509603,139.87651402596111,70.7846376773032,83.61502934459092,66.76016776012052,67.4547533287879
62868,63.06562557689318,68.84106266891541,134.3097817353318,71.50526598755766,84.91536608247698,67.25039585568706,66.21426306032737
62869,62.53665143238275,67.82354635855481,125.83256442746249,71.3315309883561,86.54078700483454,67.8786296221993,65.2697644855535
62870,62.51842205486082,67.80378378462667,115.3302778601496,69.54934895917309,87.1022491966482,68.61993090193343,63.25548239018966
62871,62.36949352934353,68.14368530963874,102.8029220333932,67.65501157023775,86.5641614438155,69.73051635466464,62.427911411574144
62872,63.59546116815501,68.60189250398165,90.07587238352204,66.52408239283503,88.11540300237168,71.69123718797084,62.994244064823306
62873,65.96451725412098,68.82835558209733,80.03380459087862,68.55059627064499,87.96736011670869,73.05037734006771,63.57763318534039
62874,67.54201246707552,68.72868240158246,72.8239254021911,70.81795627286868,86.1200327868265,73.31611038055182,63.836196448330384
62875,68.12843808018462,68.77191962151205,68.08026421144818,72.09540830251004,83.63737974326901,73.11523516292768,64.38721450035834
62876,67.85844967679611,67.77612168430464,66.55764229992266,72.54248797726943,80.5549922001387,72.41531948763692,64.40654405470815
62877,66.97832427248451,67.72747144571485,66.42617046450812,71.82298173982204,77.26942388385304,70.98792406426524,63.92469973678163
62878,66.20913379903612,67.07435159700466,67.26610095686851,70.23642816630056,76.9811864885161,69.76735772559941,64.34760043634746
62879,66.29979943307899,67.17925994178674,69.26703093003034,69.30528638779192,76.71208317441872,69.50162468504608,66.58699904966868
62880,67.33481603663145,65.44917589755394,70.27370877596357,68.68705037100437,79.12616186637804,69.80688782560273,67.24350756006704
62881,69.61074887673631,63.439704734865494,70.13596338985951,68.0392855895084,84.09740780458124,70.21088322670428,66.05989704517535
62882,73.41123120937102,62.9222772727206,69.51555831000901,67.4747211587993,86.1729217161656,70.82359523949647,64.95396045108114
62883,75.23207118575449,65.34267592934643,68.20627066112704,66.5197095553457,86.16589227285449,71.349309323796,63.32950408532806
62884,74.99079642010203,71.02768964500065,66.19187646308228,66.05078531322508,87.7218334955686,71.88225299903938,61.09526932097606
62885,74.10725253547953,80.58501960558434,65.16270401570036,66.2648064682241,88.60320555227817,72.67854048492889,60.19903842803707
62886,73.36453451824069,87.19655543296214,65.7482178685742,66.3490992980589,88.21682773830416,72.80023392120161,62.08417917687181
62887,71.09457177035239,87.85898112382021,67.29116825019067,66.86593859709899,89.00837057533442,72.21144339892976,65.00559646413085
62888,69.84786233821457,86.09365833295787,69.55791936327181,67.85174469452166,88.364656235287,71.71838314482754,68.04010808635122
62889,69.96183709192647,81.77071879326623,72.22789128819429,67.0287287827729,86.39500549637145,71.93797640849883,70.10240273398043
62890,70.98516578902161,73.69249484763618,74.65229597781294,66.2744981209024,82.86604129435801,72.29941709173588,70.43143257698026
62891,72.33036095888085,69.41177971261246,75.59701870607066,66.44712807394883,78.92147065720911,72.49739662971459,68.39014217937776
62892,72.42916287737316,68.92857338819505,75.06205947296748,67.66376486491143,74.51992164369945,72.81921675020537,65.72302332766036
62893,72.8661566515032,68.72151421958465,73.04741827850336,68.41114991833867,71.86678965606389,73.67370591989138,64.77572211872719
62894,72.54801194306266,67.04806970041086,69.88952940516643,72.11089461672631,70.75682713648,74.56754706482096,64.06195902174139
62895,71.1506565551684,68.59889007521406,67.67880863949311,74.24552184136557,71.61726999463062,74.52945642754958,63.712383779651134
62896,68.36128362163636,67.44977099716564,67.15049664297199,75.06735897780872,74.18690702367604,74.09250595919347,63.15210114994293
62897,66.28175229893371,68.02312261685324,68.9154062181557,74.09062868030672,77.83404890085174,73.6617181110527,62.66015122349031
62898,65.0038614375595,67.54745120669078,72.0831530688566,73.41001692676706,83.58997001137678,72.7646069336797,61.13069153346739
62899,63.90710896449379,67.9942200372551,75.14771197374333,73.08212193821514,90.88327995365243,70.6459690462964,59.240951169280414
62900,63.274051754647374,66.34368746009307,76.67047707550223,73.27990999322601,95.45155190987784,66.42413813441158,59.092163113538206
62901,63.53235776702888,67.28213069102557,76.07841637761676,75.16219106885993,97.13148552342196,64.91994401337338,61.177025232401945
62902,65.42122125739859,66.38713957946504,73.61097200039549,76.65258798222564,96.01793782699689,66.04938873011619,62.88367494434091
62903,67.72144226835832,66.4302078529975,69.93475084406022,77.84150521525211,91.26233025101118,68.06321968494503,63.36546697282777
62904,69.61342938322693,66.52775761161959,66.46022159567917,76.65029483618727,84.86723544382419,69.79710887505914,63.46331294445501
62905,69.7677251757118,66.20654791635314,64.28012506190205,75.48058926157202,80.17964130906213,73.39792090188149,63.44085713786709
62906,69.24439619488597,65.97187934795508,63.84732364634508,73.53488942906772,76.71048250282995,74.75822686734753,63.29824410447027
