t_center,mean_pairwise_r,t_start,t_end
63027.0,0.03936934291487835,63012,63042
63028.0,0.04434349131518623,63013,63043
63029.0,0.055625095003577076,63014,63044
63030.0,0.06955904615998029,63015,63045
63031.0,0.0849781503845656,63016,63046
63032.0,0.0946556027008884,63017,63047
63033.0,0.1169781802292725,63018,63048
63034.0,0.13333164356841845,63019,63049
63035.0,0.14998558688792288,63020,63050
63036.0,0.16427842628563494,63021,63051
63037.0,0.18289469164988387,63022,63052
63038.0,0.1984462280078169,63023,63053
63039.0,0.22545192837075184,63024,63054
63040.0,0.2469147648286044,63025,63055
63041.0,0.25300770005780115,63026,63056
63042.0,0.25453342907614074,63027,63057
63043.0,0.25328471045285517,63028,63058
63044.0,0.2500716597040305,63029,63059
63045.0,0.24740306282462332,63030,63060
63046.0,0.2652575268005351,63031,63061
63047.0,0.29414662121771595,63032,63062
63048.0,0.3001610882619557,63033,63063
63049.0,0.2742985096454732,63034,63064
63050.0,0.15265860485531385,63035,63065
63051.0,0.04194056132385317,63036,63066
63052.0,-0.013411581554691082,63037,63067
63053.0,-0.06091547154492322,63038,63068
63054.0,-0.08070835558906449,63039,63069
63055.0,-0.08782987522303595,63040,63070
63056.0,-0.09012808893718352,63041,63071
63057.0,-0.0892093715466833,63042,63072
63058.0,-0.08607867957443428,63043,63073
63059.0,-0.07978584549174483,63044,63074
63060.0,-0.08021409637398726,63045,63075
63061.0,-0.08645140754877334,63046,63076
63062.0,-0.08667688203989303,63047,63077
63063.0,-0.07925938093843107,63048,63078
63064.0,-0.06405457222853456,63049,63079
63065.0,-0.057678796828881745,63050,63080
63066.0,-0.03742168209379803,63051,63081
63067.0,-0.03233354552170359,63052,63082
63068.0,-0.029345077570273007,63053,63083
63069.0,-0.024924824084901414,63054,63084
63070.0,-0.020743526679492492,63055,63085
63071.0,-0.016583861076785462,63056,63086
63072.0,-0.010463456112182445,63057,63087
63073.0,-0.005352952028059903,63058,63088
63074.0,-0.010622605896191363,63059,63089
63075.0,-0.01888015414998802,63060,63090
63076.0,-0.021972073498159446,63061,63091
63077.0,-0.023253444995302564,63062,63092
63078.0,-0.023798440565115545,63063,63093
63079.0,-0.02523510673414729,63064,63094
63080.0,-0.023003365030296645,63065,63095
63081.0,-0.010081930499394622,63066,63096
63082.0,0.005296486064109184,63067,63097
63083.0,0.008781921128005517,63068,63098
63084.0,0.0027101250897144,63069,63099
63085.0,0.0014702292253235853,63070,63100
63086.0,0.0030707744117932432,63071,63101
63087.0,0.002912913887831505,63072,63102
63088.0,-0.000970947712447561,63073,63103
63089.0,0.008929408326248986,63074,63104
63090.0,0.04026809847091995,63075,63105
63091.0,0.07672273993796776,63076,63106
63092.0,0.09954398159167098,63077,63107
63093.0,0.10345010902139583,63078,63108
63094.0,0.08662288268476857,63079,63109
63095.0,0.07392014585414335,63080,63110
63096.0,0.08712651232105342,63081,63111
63097.0,0.118576111918178,63082,63112
63098.0,0.15257831424055907,63083,63113
63099.0,0.18944949960440582,63084,63114
63100.0,0.22067893430742477,63085,63115
63101.0,0.23680575547371635,63086,63116
63102.0,0.2407381348501929,63087,63117
63103.0,0.2372118731527674,63088,63118
