t_sec,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_5,EmotiBit_6,EmotiBit_7
63012,67.90365343499221,65.26579604809622,68.49907458056742,73.93151002452483,86.2348401283068,75.93462887439267,60.8465041750112
63013,69.2972318672986,65.45868155551763,69.79059960505205,74.7929725795074,85.75088201580478,76.89302503991364,58.88241943281356
63014,70.02417343927344,65.20131865823495,70.91548585562505,73.72753940731225,86.97777873098057,78.35843710983036,57.89977503284943
63015,70.23090588463033,65.02359314333648,70.31969501036399,72.65376505118525,88.56439492594062,79.96831009390084,56.483818928721405
63016,71.702363615776,64.43998494102877,69.96570237666117,71.55866743895442,90.18701050150004,83.04859776358597,55.22077831375641
63017,72.36184842969082,63.94214307748026,69.85632246353904,69.50252491193592,92.5437556949302,86.10907725297777,55.66359520595357
63018,71.08809464003448,63.50329723654149,67.93564320612303,68.8468527769243,93.46100857479038,88.38303162965946,56.99450771758184
63019,71.00047755628509,63.13241072143857,66.03586217737917,69.07570553842551,90.49660432833132,89.74680345544365,59.44912630223504
63020,73.01821404966226,62.63069297328097,66.56054355862405,69.26135539923673,88.90473818114785,91.13142477234165,62.80001749223444
63021,74.84815647574857,62.53485791253261,68.16940852153255,69.34263118063953,85.11270697453821,91.01926257578836,64.95623366082047
63022,75.52017420980437,62.04139307819622,69.65822706061391,69.28560014005328,80.33433659458304,90.90053973169172,65.99896762430319
63023,75.18333894287879,63.56101863068402,72.31632936301494,69.4092067566827,77.81498197557057,90.7752562400518,66.86663658279234
63024,75.59096338737906,64.14373224080632,73.35179101547564,70.43725950767117,78.77358223292228,85.94006116973088,66.6813063178694
63025,75.32234696360777,64.81621680308338,73.6051488266987,71.00357430174424,79.28556599147096,76.4015151682723,65.34433626114802
63026,72.98652123055092,65.21135307623224,71.83717459241167,71.26339450761562,83.07528476156838,71.54924772281868,65.48445327094129
63027,70.4863433988921,65.40623274553225,70.61624219106189,70.84600215607493,86.1301395181301,71.38325883337004,65.47229685622995
63028,70.46377828429624,64.25404430105011,69.37875738394838,70.11727008506824,89.14685992446307,69.6333352997478,63.86291787529193
63029,69.36238710175161,63.97646556681267,69.76834495607196,69.85517569228848,98.39877777095464,71.71680460120676,62.8470480280111
63030,68.31556837021517,63.76558557250021,69.90975926551148,71.86614877004129,113.8858930576048,78.0423915291642,62.3632935437362
63031,68.71429053070088,63.90265213573823,73.02235556852018,75.45484343696243,120.38318774917612,79.43062738911662,63.60348038993764
63032,71.0140325636361,64.73643044276977,75.77910050279144,77.82068035087568,119.18471463729512,76.65755486455724,64.12234323063272
63033,73.57764863054918,64.90105804092455,77.58723225618584,77.67007020688793,117.0018017663447,75.47576794801077,64.00356750320329
63034,75.85396263672176,65.46855234200166,78.68485461976461,76.17548073314231,106.63242378552236,73.75212703051974,65.29389150099477
63035,75.50883644232184,65.56096737947395,79.04836257418427,73.77711318989043,89.26239703306425,71.69022260886838,67.4796719703954
63036,72.54227004734943,65.16057921321115,76.81980534809195,71.11373863619772,80.08119841158347,71.69987647858325,68.15240551706212
63037,70.16420705036364,66.02336761465739,74.4628947280631,70.06728956228359,78.62638058344082,69.73518532419581,69.48255064462289
63038,67.15662807051685,65.91946731206478,72.42965407191501,69.43753429342678,78.24870078821041,67.97282082914936,71.82499829744398
63039,63.51953310780906,65.81566800488129,71.80664857903034,68.9193836049865,79.53368624934832,67.05994605047889,72.27670023847273
63040,61.87436236281276,65.61736085137255,72.638147213313,68.2640244812666,80.3062283652212,67.08184642011693,70.28035115876067
63041,62.076482099272575,66.15803074357753,73.33399816036179,67.13387897903907,81.29010088765757,65.47689741742714,66.79064324130479
63042,62.88372548070388,66.05603598940986,73.05841440336313,66.46883515889708,81.62992048807254,65.94382804860052,64.2474892677095
63043,65.0896129602335,65.17693778528093,72.64529276852207,66.21319503643564,81.9305817771303,67.3143433690444,63.611534334700266
63044,66.57297740672293,64.59007554032296,70.66620968170159,66.28650913789066,81.26662747291093,69.36601491582788,63.4070704760489
63045,66.34359748903545,64.72110465748754,68.61242421951872,66.3884050532816,81.15035607233462,70.0388107211651,62.7931805090001
63046,66.13615305812098,65.88240681342594,67.34491980430604,65.97485822684284,80.89353495619719,70.07549760895567,62.02314348182608
63047,64.6079371918648,64.80939771003888,66.19384642230169,65.12228342560692,81.81399479072277,70.08391525110855,61.70494621361644
63048,62.30052410253224,65.74245271897234,66.00460163237994,65.07610604202308,83.20777635531381,69.54413171007644,61.32437007351251
63049,60.85561724845494,65.80544171470345,66.71128496364227,65.02182257661757,84.06733246328457,68.39304238805013,61.6574242321969
63050,61.164789154742515,66.07041770450205,67.76207138342632,64.81629521811416,85.13071669416254,67.95915174134095,62.328023379658454
63051,63.44341182573845,65.25731467792605,68.88345151920862,65.16193537258039,83.39843332682551,67.89726822990451,63.164750030974744
63052,66.46958695418428,65.49749399166815,71.0774255953168,66.13507411657079,81.80409129836872,68.37913264809578,62.74527740628595
63053,66.41917892264908,64.88989199315957,71.39127077397013,67.83878244481802,80.34769060879219,68.73234467213675,63.58001860679959
63054,66.59405265542235,65.50091684503627,70.79044812345111,70.02135794683792,80.08646294823924,69.12343189636701,62.25126972342241
63055,66.70814800564371,65.89811815945953,70.05586493740745,70.8465736066746,78.51177416774189,69.43945440670132,61.1835867502428
63056,65.22110781571516,65.8586118228024,68.72545105412237,70.26266074956004,80.47699349551773,69.89861834788637,61.32256508563427
63057,62.455584854544256,65.52058354673885,66.9006078332239,69.59765391499226,82.91942060893001,69.20235932154472,63.77593260044328
63058,62.32816837485416,66.5067276816763,67.0993828302364,67.53918357198674,85.27534094201197,68.05225205780488,64.246546300539
63059,62.64836041738548,66.70244920783139,68.35683491502955,65.73429038024094,86.02162356666472,67.3393020268727,64.48813174180057
63060,63.22958210943053,66.67669224069941,69.89205679395573,66.43497864331448,87.12870590236102,67.21037593417391,64.87869147629013
63061,64.37542228618808,66.51136428868914,72.16711862873157,67.65160201129241,84.24705259407071,67.63862626261987,65.32333389515247
63062,64.90793489605008,67.17649762295721,72.84048590506877,67.05311284560187,77.50575502733537,68.21911123192783,64.714533719553
63063,64.9690236295566,66.75656367176165,72.52661996074848,66.87465894039084,73.38054161423126,68.4353934491729,65.04829519271317
63064,65.35268998159097,66.39137814750413,71.20022339897614,66.11682510790718,73.39454328285734,68.31002277988568,67.6403639061837
63065,66.02483188607769,65.8555936099014,69.57730746672877,64.32180050940761,72.57021513604964,69.09278825825399,70.34994459815343
63066,64.91899130936346,65.82732446130808,66.76905028999576,63.25921029550907,74.97023424602986,69.54891001631972,71.23047483881852
63067,65.25753261947611,64.90633374235065,66.5142454298166,63.86281640921768,79.77655827824887,69.31722632870253,70.9258160258669
63068,65.74610090556165,64.1968690463333,66.94860364213935,65.60488541484462,81.07717338659714,69.04031893199152,69.88052399288117
63069,67.34659499919157,63.8275347310456,68.63439562756442,67.73269277984448,78.87207957107464,69.06571544499658,68.49720882078613
63070,68.51315065832732,63.89451975317352,69.88310282801163,68.60229428039251,77.41595864528999,68.29273907408961,66.39769956713657
63071,68.95492801574073,63.73012903334495,70.77926606484766,68.63882162720469,75.14179538495625,67.0179348555046,64.45064905933864
63072,69.22168406946211,64.35337428279387,70.394514489955,68.39501018919034,73.25613854094307,66.51061355046757,63.58605966013192
63073,69.1886556273486,64.46167233450646,69.40926536075388,66.56777697795683,74.55621659790884,66.99492138126936,63.50376790439918
63074,68.32895356048577,64.79037406948342,68.0628287769525,64.38837356986161,79.04202955585356,69.27551031573464,62.43581632416817
63075,67.29953192974897,64.17319359229255,66.73339459699612,63.56482140630946,83.6655718867783,72.52256596241915,61.95277666375828
63076,69.08207573460602,63.1047262081792,66.49008692868162,63.99437828926161,88.93011429465946,75.22425550866294,63.391999126438826
63077,68.67941031130644,62.70621041656062,68.04911682991599,65.20240724678634,93.20358734920195,76.93343917607433,65.78652380795066
63078,69.23168513198672,62.77212090007,69.64687405715236,67.19665878496241,93.68876256574738,77.85539352718442,66.24658732572547
63079,68.32434536360786,63.166140686252234,70.46850230764161,68.15412227250759,90.38563994429576,77.33243644202678,66.83125398486287
63080,67.82192778996992,63.88455469971491,72.50798230246775,69.48460120235534,86.342225012846,75.23449965924317,69.17825055555193
63081,65.64182341285249,64.74483091873891,72.81697620207831,68.79056286734833,81.05524706742172,73.6373524273537,70.12889866300313
63082,65.4057574621557,64.86413455051522,71.32568943614936,67.73757483664068,79.67687612387638,72.43124758530746,69.09603825084719
63083,65.48099778734768,65.23668974611735,70.60507517082695,67.42816436735404,81.44032722155038,71.90741597711435,69.47528477878777
63084,64.28745543334239,64.93801736868745,70.4999144830293,67.80195130532636,84.88351479606676,71.05405006319282,69.60960968936271
63085,63.180464378569766,65.00202404153723,70.88218409432325,66.84474067689345,88.54647312942714,70.26258924823074,67.46752752700819
63086,65.10975369189052,65.03741293939379,71.99422490158474,66.72888914165442,93.7144805100165,69.39519223530391,66.41784584157999
63087,66.4306264749312,65.54955789307908,73.09142104303154,65.9933055676704,94.2780248577582,68.8098198907866,66.55694739550594
63088,66.48099343083112,65.56013577122076,72.80507513436075,65.47141533582378,91.00389113331184,68.18613743389515,65.26760951854305
63089,68.00245314911558,65.26133535268741,72.13092907910185,66.39837763899361,87.75218832237812,67.49969288248546,63.81861236581325
63090,68.95988055404895,64.97393558926298,69.4947428940551,67.62612016769022,86.19171519268626,67.2939012838988,64.13731270460946
63091,66.8526037827547,65.25664899856477,67.57285922495745,68.30917975982189,84.1086997935964,67.34646807292658,63.69059020220642
63092,66.37752136241662,64.94135684111208,64.72029719054046,68.7572115682236,83.33586802245692,67.79733315456262,62.46559662030224
63093,67.87555985801393,64.15408126443863,61.26089734969844,68.70364636676129,83.32680906883746,67.98757734933943,62.120901530824554
63094,68.21060853310482,64.189232957816,56.561195576656885,67.05798129962122,82.07256868296331,67.98963663722624,62.78897129480349
63095,67.55925719250877,64.4705729061207,53.44505138450469,65.57485245061743,81.66333083352443,67.8542367336602,63.29608491253534
63096,67.50527863571139,63.88147197834478,51.677276015028426,65.640999552858,82.31700957999371,68.0573266034576,64.69196774791264
63097,67.92217726079647,63.97886231253983,52.43076016543422,66.6115628185272,81.63428611106585,68.5716718312502,66.60437188436143
63098,67.97538879701574,64.78390643242595,55.70550383572208,69.3067711713328,80.1615712371711,69.13705787076417,68.06108846162427
63099,68.69810740269494,64.58729920679586,59.879049955588854,72.49348755885269,79.77255850570074,69.43413801305253,68.08660357399418
63100,70.22329765935423,64.30469047341401,62.29883635908368,74.15602174343243,78.1682308982339,69.58342742371319,67.07872890408431
63101,71.40770166451891,64.32004884884319,64.20215058748572,73.37518166869421,75.08325488111703,70.0833413195454,65.61825279068015
63102,69.84403520785659,63.47988370545998,65.25004701448623,73.12033410630745,76.57800050852067,69.66628443192965,63.6144317559065
63103,68.11585372542851,62.61942981475666,65.87825235138835,69.52245525914333,78.489400554264,68.88457433058775,61.55746868857638
63104,65.65304531643893,62.43953252730019,67.49720428494484,65.77478725310263,78.55469229940678,69.43535525253768,60.205549728866984
63105,64.01104023410657,62.10090289175789,71.58626046979768,64.0821388111407,78.12169907101968,70.16453110100491,59.448368008817866
63106,64.65288713603184,62.47631166767278,76.72707378674201,64.52930653684683,76.05234970453697,70.1800808576189,59.07480880580914
63107,66.84421887666043,63.076141484045344,79.75216495486174,63.6663527035141,72.62312086765357,72.06703448162709,59.59355579586388
63108,67.5431494983043,63.592768577164705,79.49663060432286,64.17918977849641,71.99707978655036,75.24117739702655,61.02879275525733
63109,67.98749767214345,64.26234674516192,78.5000672093292,66.17712733203743,74.1742264612273,78.35116893096985,64.50896548167614
63110,67.42513765781312,65.03244245848643,75.48203689594516,70.68002722163371,79.09037628396429,80.78984247087708,68.74422766829856
63111,66.13383060198801,64.64506346718835,70.39482084366753,75.31862100488337,86.45211588748955,82.23217954390384,71.14840978191901
63112,65.52387120102769,64.86873439805834,67.17105719109297,79.58392101064109,93.15951122059276,82.23396640565026,72.76482274403226
63113,66.53263735709875,65.16278080773617,66.29702142288255,81.74021241739354,96.81360875736388,81.34823473589593,73.34084102024323
63114,68.47863247773202,64.66917301702556,66.43000459629252,80.49675279863261,96.0859874580646,79.67209543896337,71.3088239258309
63115,70.20282373990032,63.48451187802573,67.45995255077902,75.5068152904952,91.44555148795762,79.85938684042517,67.82792998440736
63116,68.97891587722359,63.343782578406945,69.08535563986133,69.3454674169903,85.98620238561861,81.97903851391281,64.83950686527746
63117,65.76175479483842,63.25533733608806,70.27203376489766,63.453380338760326,79.01676375666959,83.48521039181125,62.29393201877728
63118,62.49847069143603,63.50179365055884,70.64375678858143,59.562881609212546,73.1803767004827,83.475695468162,60.20252294515285
63119,59.1958480108117,63.73122991535628,70.16944649439998,58.24664687669908,70.10471773043864,82.89973737683871,58.90902448871382
63120,57.413309101206416,64.05559778178616,68.62316437233022,58.998204122969845,71.16624857340489,80.49091079196302,58.81911086089639
63121,60.50620535579433,64.0743839153614,66.80237689905712,61.8253522397947,73.31464391143237,80.06393661407702,59.824418368017874
63122,63.9716480293381,64.65209551219375,64.96362170842032,66.61299027550271,76.77166546039852,78.40054307304078,62.19189484305863
63123,68.61999531098886,64.81909092021226,64.55674824077771,71.52612530954464,81.29312564684122,77.04980650261496,66.12463176461185
63124,74.62389998868912,65.18523439065318,64.37737858613539,74.76816195548125,86.57976899711812,75.16586550220134,69.54556157941865
63125,77.15443237991462,65.8862829768238,64.1752652406519,75.55447509053745,89.50259089974855,74.36487676348362,70.63150226170384
63126,73.84172655359633,66.52963881876425,64.46199030460019,74.2300241116021,90.77638346987946,70.85846856825864,71.61448967728606
63127,69.90810802587033,66.95057249974613,65.50139148589136,70.59990633703208,89.86696811865994,68.76199208035023,70.98904439515547
63128,64.93574906036892,67.02524332187883,68.00210081780796,66.5710710823572,87.67284267229259,67.43547006534757,69.57118481126908
63129,60.084510538757534,66.73919299133686,70.91456414388867,63.98145571690795,84.44914631291256,67.54464572970633,67.58218305873977
63130,58.979628105492665,66.50439739780025,73.32067107251711,63.9115101835092,80.15153775458738,67.99070341165057,66.65226110117878
63131,61.6211017605743,66.32098170607227,74.69131483062253,66.34978487885402,77.05873177648283,68.54490953503341,65.92043679753495
63132,64.71079201736129,65.48341596257247,75.06170798701184,70.79690482420828,75.64042865143927,69.25756678095968,65.37666045258358
63133,66.14598601748438,64.92379203008485,73.06656353408498,75.41958313876363,75.35510461623976,69.80784401633548,63.65625550968183
63134,66.09622275657726,64.77964506776479,70.68098019844453,79.7367417107303,76.1556885715662,70.0383928267224,62.912721328200085
63135,65.15442813356088,65.16936588871188,69.28309620346872,81.07963372222035,79.11711488218262,70.49224120509211,62.91272132814363
63136,62.36831375793777,65.38671850759194,68.44002451949613,79.42416010014361,82.94715514726082,71.21782793034774,62.37557553505228
63137,63.03527305349809,65.5727370479437,68.20414410323924,75.34843529780487,87.4078633665126,71.57293985649154,61.6338352125023
63138,64.8848925001724,65.76427951986105,68.40139179983386,70.99224496107698,90.7228307825668,71.66511286532021,61.929214227214615
