subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz,lle_1,lle_2
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62858.87673065632,62868.91732957512,62863.89703011573,5.022143323869386,10.0,1.0,True,0.5,8.0,-0.017225719083082656,0.019823145538063105
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62859.88179561315,62869.92239453196,62864.90209507255,6.027208280698687,10.0,1.0,True,0.5,8.0,-0.02330226314219921,0.009216835771907938
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62860.88686056999,62870.9274594888,62865.9071600294,7.03227323754254,10.0,1.0,True,0.5,8.0,-0.024691862847951128,0.0002433624311393893
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62861.89192552683,62871.932524445634,62866.91222498623,8.037338194371841,10.0,1.0,True,0.5,8.0,-0.02287067141849804,-0.008045384233205582
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62862.89699048366,62872.93758940247,62867.91728994307,9.042403151215694,10.0,1.0,True,0.5,8.0,-0.017861568372610468,-0.0160896555244928
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62863.9020554405,62873.94265435931,62868.9223548999,10.047468108044995,10.0,1.0,True,0.5,8.0,-0.009268743154281167,-0.021157034286447194
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62864.90712039734,62874.94771931615,62869.927419856744,11.052533064888848,10.0,1.0,True,0.5,8.0,0.00015236216584407623,-0.02321074799391663
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62865.91218535418,62875.95278427299,62870.93248481359,12.0575980217327,10.0,1.0,True,0.5,8.0,0.011369558834156064,-0.017675115325497533
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62866.91725031102,62876.957849229824,62871.93754977042,13.062662978562004,10.0,1.0,True,0.5,8.0,0.02013166119141099,-0.0097864936490401
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62867.92231526785,62877.96291418666,62872.94261472726,14.067727935405856,10.0,1.0,True,0.5,8.0,0.023255437152305415,0.002261518252784299
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62868.92738022469,62878.9679791435,62873.94767968409,15.072792892235157,10.0,1.0,True,0.5,8.0,0.018005723344225393,0.015101860012100508
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62869.93244518153,62879.973044100334,62874.952744640934,16.07785784907901,10.0,1.0,True,0.5,8.0,0.004304993260260359,0.023695161443519092
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62870.93751013836,62880.97810905717,62875.95780959776,17.08292280590831,10.0,1.0,True,0.5,8.0,-0.011070262891378501,0.022019513101081026
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62871.94257509521,62881.983174014014,62876.96287455461,18.087987762752164,10.0,1.0,True,0.5,8.0,-0.019378763908978337,0.008619966707222832
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62872.94764005204,62882.98823897085,62877.96793951145,19.093052719596017,10.0,1.0,True,0.5,8.0,-0.016352326851360083,-0.011356366046932225
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62873.95270500888,62883.99330392769,62878.97300446828,20.09811767642532,10.0,1.0,True,0.5,8.0,-0.0008242668836660198,-0.02051605196707378
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62874.95776996572,62884.99836888453,62879.97806942512,21.10318263326917,10.0,1.0,True,0.5,8.0,0.006954293712530138,-0.009708348938052514
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62875.96283492255,62886.00343384136,62880.98313438195,22.108247590098472,10.0,1.0,True,0.5,8.0,0.005442692759375788,-0.00017988276200757677
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62876.96789987939,62887.0084987982,62881.9881993388,23.113312546942325,10.0,1.0,True,0.5,8.0,0.001399932017885974,0.003434922184808289
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62877.972964836226,62888.013563755034,62882.99326429563,24.118377503771622,10.0,1.0,True,0.5,8.0,-0.003917723827472638,-0.0011134090084716334
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62878.97802979306,62889.01862871188,62883.99832925247,25.12344246061548,10.0,1.0,True,0.5,8.0,-0.00041073582236251133,-0.0046609508624893955
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62879.98309474991,62890.023693668714,62885.003394209314,26.128507417459332,10.0,1.0,True,0.5,8.0,0.0031427333883215555,-0.0013416519111128775
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62880.98815970674,62891.02875862555,62886.00845916614,27.133572374288633,10.0,1.0,True,0.5,8.0,-0.0014141128676633875,-0.0012418720855826627
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62881.99322466358,62892.03382358239,62887.01352412299,28.13863733113249,10.0,1.0,True,0.5,8.0,-0.0019714481304726247,-0.0036040177662918335
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62882.99828962042,62893.038888539224,62888.01858907982,29.143702287961787,10.0,1.0,True,0.5,8.0,-0.005294712591491611,-0.0016307351724446223
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62884.00335457725,62894.04395349606,62889.02365403666,30.14876724480564,10.0,1.0,True,0.5,8.0,-0.002757981132800843,-0.005088187145105579
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62885.00841953409,62895.0490184529,62890.02871899349,31.15383220163494,10.0,1.0,True,0.5,8.0,-0.0009450459912721983,-0.004843099180366774
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62886.013484490926,62896.054083409734,62891.03378395033,32.158897158478794,10.0,1.0,True,0.5,8.0,-0.0009245676360564891,-0.0025086774006268845
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62887.01854944777,62897.05914836658,62892.03884890718,33.16396211532265,10.0,1.0,True,0.5,8.0,-0.0008907933282861091,-0.0029871702809768355
EmotiBit_1,PPG_EmotiBit_1,1,99.49605679515616,pre,62888.02361440461,62898.064213323414,62893.04391386401,34.16902707215195,10.0,1.0,True,0.5,8.0,-0.003151728239980364,-0.003322654930892072
