t_start,t_end,t_center,sync
62864,62894,62879.0,-0.02595881025530572
62865,62895,62880.0,-0.12018746465891486
62866,62896,62881.0,-0.11183636346708847
62867,62897,62882.0,-0.09391145487996436
62868,62898,62883.0,-0.10293843133602971
62869,62899,62884.0,-0.10492680655461062
62870,62900,62885.0,-0.1295646884390085
62871,62901,62886.0,-0.1861191837224413
62872,62902,62887.0,-0.11573666078603534
62873,62903,62888.0,0.009227735277878468
62874,62904,62889.0,0.0965359600499438
62875,62905,62890.0,0.07995739248827322
62876,62906,62891.0,0.012052233032261576
62877,62907,62892.0,-0.0149046642976475
62878,62908,62893.0,-0.032929636721008654
62879,62909,62894.0,-0.042646050129118394
62880,62910,62895.0,-0.047824462299859365
62881,62911,62896.0,-0.05667720252104385
62882,62912,62897.0,-0.060462961711549405
62883,62913,62898.0,-0.07326010905100806
62884,62914,62899.0,-0.12055809199089228
62885,62915,62900.0,-0.16507550935048246
62886,62916,62901.0,-0.18313008649483403
62887,62917,62902.0,-0.1307504919416794
62888,62918,62903.0,-0.10846240231665928
62889,62919,62904.0,-0.11723802943275462
62890,62920,62905.0,-0.09852409392515968
62891,62921,62906.0,-0.1425465146641808
62892,62922,62907.0,-0.10680029677233256
62893,62923,62908.0,-0.09813633443098906
62894,62924,62909.0,-0.17653061079334656
62895,62925,62910.0,-0.17409455330072343
62896,62926,62911.0,-0.11576369680095626
62897,62927,62912.0,-0.09082695629214718
62898,62928,62913.0,-0.05335350864518091
62899,62929,62914.0,0.0018060968125624118
62900,62930,62915.0,0.024627072932861725
62901,62931,62916.0,-0.08474707340198202
62902,62932,62917.0,-0.15753108674905097
62903,62933,62918.0,-0.11974008998194963
62904,62934,62919.0,-0.07827211930840913
62905,62935,62920.0,-0.022983413740501057
62906,62936,62921.0,0.000998092434692172
62907,62937,62922.0,0.012896193910282351
62908,62938,62923.0,0.10137560389208339
62909,62939,62924.0,0.06493607363211695
62910,62940,62925.0,-0.02167709809354441
62911,62941,62926.0,0.022340367639211014
62912,62942,62927.0,-0.0033822071822670065
62913,62943,62928.0,0.09622628865280221
62914,62944,62929.0,0.014326947211745315
62915,62945,62930.0,0.043181225658412065
62916,62946,62931.0,-0.013087491086731304
62917,62947,62932.0,-0.11198900643044164
62918,62948,62933.0,-0.145974618217167
62919,62949,62934.0,-0.11779437003824637
62920,62950,62935.0,-0.09814962283881365
62921,62951,62936.0,-0.08210544334363443
62922,62952,62937.0,-0.07403119139999444
62923,62953,62938.0,-0.08142680801765463
62924,62954,62939.0,-0.03286707642874081
62925,62955,62940.0,0.012828865759988092
62926,62956,62941.0,-0.05731284878485011
62927,62957,62942.0,-0.057353053281381745
62928,62958,62943.0,-0.008834107968999296
62929,62959,62944.0,-0.029037745028080514
62930,62960,62945.0,-0.14638568340960156
62931,62961,62946.0,-0.21806168099207704
62932,62962,62947.0,-0.19794333760710406
62933,62963,62948.0,-0.17554687143733747
62934,62964,62949.0,-0.16935818892551274
62935,62965,62950.0,-0.16967278087804896
62936,62966,62951.0,-0.0971860359565723
62937,62967,62952.0,0.010309949629884458
62938,62968,62953.0,0.11378202170798857
62939,62969,62954.0,0.1094862602616975
62940,62970,62955.0,0.11741274627563718
62941,62971,62956.0,0.0962534081220327
62942,62972,62957.0,0.010124376832971602
62943,62973,62958.0,-0.021666556958404023
62944,62974,62959.0,-0.01215571054722581
62945,62975,62960.0,-0.014706870309703598
62946,62976,62961.0,0.04084096291680157
62947,62977,62962.0,-0.0008107719546301892
62948,62978,62963.0,0.01658670688223459
62949,62979,62964.0,-0.018166584059577773
62950,62980,62965.0,-0.104924751558975
62951,62981,62966.0,-0.11741303729562237
62952,62982,62967.0,-0.14913730211491372
62953,62983,62968.0,-0.13299026034745434
62954,62984,62969.0,-0.16187586685905864
62955,62985,62970.0,-0.13951186600578344
62956,62986,62971.0,-0.13503450100604972
62957,62987,62972.0,-0.14492988775833057
62958,62988,62973.0,-0.11711181503778186
62959,62989,62974.0,-0.0811042718854987
62960,62990,62975.0,-0.012954467832926734
62961,62991,62976.0,0.06232323521519021
62962,62992,62977.0,0.09552051833061177
62963,62993,62978.0,0.12105948268616154
62964,62994,62979.0,0.03833285905668385
62965,62995,62980.0,-0.06080371317893952
62966,62996,62981.0,-0.0807971039234608
62967,62997,62982.0,-0.08648784035380953
62968,62998,62983.0,-0.09222271424695533
62969,62999,62984.0,-0.016706432440548983
62970,63000,62985.0,-0.03416488395161423
62971,63001,62986.0,-0.06584258698418685
