t_start,t_end,t_center,sync
63012,63042,63027.0,0.06165472692498181
63013,63043,63028.0,0.09492601808302664
63014,63044,63029.0,0.09676374343419157
63015,63045,63030.0,0.10885632065675858
63016,63046,63031.0,0.13180793812685532
63017,63047,63032.0,0.14483243465930007
63018,63048,63033.0,0.17249399506745255
63019,63049,63034.0,0.19419231029252998
63020,63050,63035.0,0.20154225494797426
63021,63051,63036.0,0.17964523796894039
63022,63052,63037.0,0.2090525537329072
63023,63053,63038.0,0.25472386412040066
63024,63054,63039.0,0.3305221740367675
63025,63055,63040.0,0.349720209727768
63026,63056,63041.0,0.31604215744071523
63027,63057,63042.0,0.31569051649053365
63028,63058,63043.0,0.3235251031720134
63029,63059,63044.0,0.3375731940173999
63030,63060,63045.0,0.3608502944290953
63031,63061,63046.0,0.44107556311040097
63032,63062,63047.0,0.4735366996500776
63033,63063,63048.0,0.41754140643646603
63034,63064,63049.0,0.2863665692984665
63035,63065,63050.0,0.04886970456514681
63036,63066,63051.0,-0.02378496791781275
63037,63067,63052.0,0.03543657715680202
63038,63068,63053.0,-0.046326583405025636
63039,63069,63054.0,-0.04375279313655228
63040,63070,63055.0,-0.002476885216882532
63041,63071,63056.0,-0.018691836229533527
63042,63072,63057.0,-0.06556682850115472
63043,63073,63058.0,-0.07466983107147375
63044,63074,63059.0,-0.07287860405900759
63045,63075,63060.0,-0.05970111724343608
63046,63076,63061.0,-0.08433486251741569
63047,63077,63062.0,-0.04232697180140263
63048,63078,63063.0,-0.08428022900583648
63049,63079,63064.0,-0.12500823621691817
63050,63080,63065.0,-0.09230730444782818
63051,63081,63066.0,-0.03201940995639971
63052,63082,63067.0,-0.020570326327070253
63053,63083,63068.0,-0.02182231749302528
63054,63084,63069.0,-0.019802874498844148
63055,63085,63070.0,-0.00342075118670443
63056,63086,63071.0,-0.013962606248528818
63057,63087,63072.0,-0.016483159768174698
63058,63088,63073.0,0.01521286445736282
63059,63089,63074.0,0.020300953929088258
63060,63090,63075.0,0.03234592967210971
63061,63091,63076.0,0.017689521830043426
63062,63092,63077.0,0.02123687942978848
63063,63093,63078.0,0.010627224356287752
63064,63094,63079.0,0.031730836489177065
63065,63095,63080.0,-0.0013781937338251868
63066,63096,63081.0,-0.0005276003154511313
63067,63097,63082.0,0.0392201361097246
63068,63098,63083.0,0.036602080142528144
63069,63099,63084.0,0.06854587983353572
63070,63100,63085.0,0.018231722066581888
63071,63101,63086.0,0.08301094319229246
63072,63102,63087.0,0.07787032791659068
63073,63103,63088.0,0.04800769070101307
63074,63104,63089.0,0.07906372645950319
63075,63105,63090.0,0.09717899467561898
63076,63106,63091.0,0.1280453374140636
63077,63107,63092.0,0.06468797652064125
63078,63108,63093.0,0.03860575580273449
63079,63109,63094.0,-0.01266344913385048
63080,63110,63095.0,-0.045930746805495644
63081,63111,63096.0,-0.014787345890178969
63082,63112,63097.0,0.004994437125210986
63083,63113,63098.0,0.050237679859286094
63084,63114,63099.0,0.11655198311114215
63085,63115,63100.0,0.21256149957691453
63086,63116,63101.0,0.27144841550848986
63087,63117,63102.0,0.2915817047603707
63088,63118,63103.0,0.3118749189206544
63089,63119,63104.0,0.2959494000264968
63090,63120,63105.0,0.2716882304618602
63091,63121,63106.0,0.2621739690061106
63092,63122,63107.0,0.21969576052653195
63093,63123,63108.0,0.24366655079946734
63094,63124,63109.0,0.26856044846060523
63095,63125,63110.0,0.2768338429718583
63096,63126,63111.0,0.3768637993729051
63097,63127,63112.0,0.3482616538550392
63098,63128,63113.0,0.28343281916633983
63099,63129,63114.0,0.20762363162523867
63100,63130,63115.0,0.12118139662734222
63101,63131,63116.0,0.07010937773983643
63102,63132,63117.0,0.08116911256172311
63103,63133,63118.0,0.09484288037019815
63104,63134,63119.0,0.08984499813945446
63105,63135,63120.0,0.050805284567365896
63106,63136,63121.0,0.04622565567407836
63107,63137,63122.0,0.018572896915960337
63108,63138,63123.0,0.014653035274816088
63109,63139,63124.0,0.020181557537442326
63110,63140,63125.0,-9.339654797261032e-05
63111,63141,63126.0,-0.017208165790720195
63112,63142,63127.0,-0.01707529906818281
63113,63143,63128.0,-0.028771226085869527
63114,63144,63129.0,-0.010946523375911989
63115,63145,63130.0,0.030083844331054863
63116,63146,63131.0,0.00947730515005235
63117,63147,63132.0,-0.005484354835778121
63118,63148,63133.0,0.007614313826641898
63119,63149,63134.0,0.01877414618806253
63120,63150,63135.0,-0.0463313370720026
63121,63151,63136.0,-0.0058918474456809
63122,63152,63137.0,-0.028309422058360866
63123,63153,63138.0,0.041568074650445146
63124,63154,63139.0,0.08563995781725385
63125,63155,63140.0,0.100341165086817
63126,63156,63141.0,0.036873347774035496
63127,63157,63142.0,-0.06266574281730716
63128,63158,63143.0,-0.04021169065662509
63129,63159,63144.0,0.09274316796234124
63130,63160,63145.0,0.1258818382297312
63131,63161,63146.0,0.15653629479274622
63132,63162,63147.0,0.08582495468191072
63133,63163,63148.0,0.059717569066338405
63134,63164,63149.0,0.05727720507592765
63135,63165,63150.0,0.04039088314364839
63136,63166,63151.0,0.046354330126443515
63137,63167,63152.0,-0.003185023710216612
63138,63168,63153.0,-0.0070817935338279734
63139,63169,63154.0,0.010106940721758917
63140,63170,63155.0,0.046632497721677865
63141,63171,63156.0,0.08958456916428424
63142,63172,63157.0,0.05023512657911455
63143,63173,63158.0,0.021763799208183374
63144,63174,63159.0,-0.024417011591335983
63145,63175,63160.0,-0.007760516909313177
63146,63176,63161.0,-0.038714751591507536
63147,63177,63162.0,-0.09868636877339103
63148,63178,63163.0,-0.09060060882467756
63149,63179,63164.0,-0.08241154934728417
63150,63180,63165.0,-0.06533721573201118
63151,63181,63166.0,-0.04614394538935301
63152,63182,63167.0,-0.05007029865714369
63153,63183,63168.0,-0.06685707756724832
63154,63184,63169.0,-0.059971223825768305
63155,63185,63170.0,-0.05173609269010592
63156,63186,63171.0,-0.050212852019101493
63157,63187,63172.0,-0.05807823783063227
63158,63188,63173.0,-0.06743014677336162
63159,63189,63174.0,-0.07124360721030043
63160,63190,63175.0,-0.07140646586646009
63161,63191,63176.0,-0.04613058169934689
63162,63192,63177.0,0.003886572485035287
63163,63193,63178.0,0.05268382512729556
63164,63194,63179.0,0.008208220218695031
63165,63195,63180.0,-0.049354515074384826
63166,63196,63181.0,-0.08737870709793413
63167,63197,63182.0,-0.08563730843697374
63168,63198,63183.0,-0.08471486602670933
63169,63199,63184.0,-0.11897761755065518
63170,63200,63185.0,-0.13605859479766294
63171,63201,63186.0,-0.1856275366476669
63172,63202,63187.0,-0.1447723254553079
63173,63203,63188.0,-0.14143406364218702
63174,63204,63189.0,-0.15157036033723414
63175,63205,63190.0,-0.14545878670326606
63176,63206,63191.0,-0.10252992032898543
63177,63207,63192.0,-0.16584246840504813
63178,63208,63193.0,-0.23056382028671765
63179,63209,63194.0,-0.1501632349453258
63180,63210,63195.0,-0.03395019144840827
63181,63211,63196.0,-0.08676943778349043
63182,63212,63197.0,-0.1654855765559774
63183,63213,63198.0,-0.19033620079285846
63184,63214,63199.0,-0.1484310574860124
63185,63215,63200.0,-0.041484139594218414
63186,63216,63201.0,-0.04320275033444058
63187,63217,63202.0,-0.06721754831776439
63188,63218,63203.0,-0.06772649331712012
63189,63219,63204.0,-0.07388846720779192
63190,63220,63205.0,-0.086437336583346
63191,63221,63206.0,-0.12657385778129457
63192,63222,63207.0,-0.15521507458613326
63193,63223,63208.0,-0.15333529792690162
63194,63224,63209.0,-0.11809594438903956
63195,63225,63210.0,-0.1334199012291431
63196,63226,63211.0,-0.09450962911597754
63197,63227,63212.0,-0.13185955402022198
63198,63228,63213.0,-0.08499549665313451
63199,63229,63214.0,-0.06535979591836605
63200,63230,63215.0,-0.06305704797167014
63201,63231,63216.0,-0.09175746551386912
63202,63232,63217.0,-0.06218932603542573
63203,63233,63218.0,-0.03710055390389309
63204,63234,63219.0,-0.013549349889027947
63205,63235,63220.0,0.0066090977024456194
63206,63236,63221.0,0.010371032246379374
63207,63237,63222.0,-0.023127993387356566
63208,63238,63223.0,-0.03399240622444508
63209,63239,63224.0,-0.003774821968532976
63210,63240,63225.0,-0.025591490234937314
63211,63241,63226.0,-0.08042155920998342
63212,63242,63227.0,-0.06530875751530792
63213,63243,63228.0,-0.033500932659059644
63214,63244,63229.0,0.0022828113318381525
63215,63245,63230.0,0.023756572308394248
63216,63246,63231.0,0.000333901088599159
63217,63247,63232.0,0.00043636440878352343
63218,63248,63233.0,0.027541177842123083
63219,63249,63234.0,-0.058766969725807354
63220,63250,63235.0,-0.069847849811624
63221,63251,63236.0,-0.030004792486822647
63222,63252,63237.0,-0.04425973492188457
63223,63253,63238.0,-0.03493300729149129
63224,63254,63239.0,-0.015290657033858089
63225,63255,63240.0,0.07570762444078515
63226,63256,63241.0,-0.04102561946467036
63227,63257,63242.0,-0.030100676839688312
63228,63258,63243.0,-0.015346139538696716
63229,63259,63244.0,-0.016118362870464528
63230,63260,63245.0,-0.0023773117898303327
63231,63261,63246.0,0.017820505526806158
63232,63262,63247.0,0.04345207880844959
63233,63263,63248.0,0.05754717038682408
63234,63264,63249.0,0.008124113797525756
63235,63265,63250.0,-0.05077893437525458
63236,63266,63251.0,-0.03904122868117886
63237,63267,63252.0,-0.035505816945243455
63238,63268,63253.0,0.025195646248248296
63239,63269,63254.0,0.03312156271060461
63240,63270,63255.0,0.033176735706324026
63241,63271,63256.0,0.08188261129020119
63242,63272,63257.0,0.016593827445089387
63243,63273,63258.0,0.07477897787487219
63244,63274,63259.0,0.007350795739352476
63245,63275,63260.0,-0.08957674757145068
63246,63276,63261.0,-0.06528759545871873
63247,63277,63262.0,-0.08980110861556266
63248,63278,63263.0,-0.12668273604909677
63249,63279,63264.0,-0.1396590966729316
63250,63280,63265.0,-0.13201785923247913
63251,63281,63266.0,-0.11178689631078816
63252,63282,63267.0,-0.04795090279725873
63253,63283,63268.0,-0.07889064278092547
63254,63284,63269.0,-0.13639390159526757
63255,63285,63270.0,-0.07807384896088353
63256,63286,63271.0,0.01907669157834948
63257,63287,63272.0,0.028762381096536505
63258,63288,63273.0,0.022587029018668596
63259,63289,63274.0,0.012061654093192774
63260,63290,63275.0,0.025185299074723066
63261,63291,63276.0,-0.006937090150880532
63262,63292,63277.0,-0.041950848030306014
63263,63293,63278.0,-0.07983120701759293
63264,63294,63279.0,-0.09620305114892609
63265,63295,63280.0,-0.06434952451621545
63266,63296,63281.0,0.0092357303756457
63267,63297,63282.0,-0.03523473321948699
63268,63298,63283.0,-0.05001246949713147
63269,63299,63284.0,-0.05233344860580877
63270,63300,63285.0,-0.07993449572258005
63271,63301,63286.0,-0.10673745667752334
63272,63302,63287.0,-0.1012351949161903
63273,63303,63288.0,-0.09030582873119915
63274,63304,63289.0,-0.07727150796550103
63275,63305,63290.0,-0.05473843071129212
63276,63306,63291.0,-0.02680240495999331
63277,63307,63292.0,-0.05215319664783213
63278,63308,63293.0,-0.03182245846226893
63279,63309,63294.0,0.09298948942626173
63280,63310,63295.0,0.011433369480235931
63281,63311,63296.0,-0.032779284024991334
63282,63312,63297.0,0.01820303760120071
63283,63313,63298.0,0.044609812195051536
63284,63314,63299.0,-0.01807094237234865
63285,63315,63300.0,-0.018715454225592457
63286,63316,63301.0,-0.01390375563662854
63287,63317,63302.0,-0.02031742790596463
63288,63318,63303.0,-0.013188492205725509
63289,63319,63304.0,0.05329633140224935
63290,63320,63305.0,0.08353455661489535
63291,63321,63306.0,0.1222744891259729
63292,63322,63307.0,0.14151370602610897
63293,63323,63308.0,0.19358986130923905
63294,63324,63309.0,0.22058162564271716
63295,63325,63310.0,0.1984338764977415
63296,63326,63311.0,0.22385548958262752
63297,63327,63312.0,0.1715244981381656
63298,63328,63313.0,0.17613876534174455
63299,63329,63314.0,0.073672434801802
63300,63330,63315.0,0.016954698117498945
63301,63331,63316.0,-0.04780731249116149
63302,63332,63317.0,-0.05120112868973779
63303,63333,63318.0,0.03040952538494025
63304,63334,63319.0,0.034686322088525054
63305,63335,63320.0,0.046351906568802906
63306,63336,63321.0,0.05066746852975382
63307,63337,63322.0,0.0795677913102851
63308,63338,63323.0,0.09358523399794053
63309,63339,63324.0,0.11942487180899142
63310,63340,63325.0,0.08392062039198767
63311,63341,63326.0,0.06704403385350774
63312,63342,63327.0,-0.02310584067797407
63313,63343,63328.0,-0.08298132666784282
63314,63344,63329.0,-0.06071045803204866
63315,63345,63330.0,-0.08345912056464123
63316,63346,63331.0,-0.09563153596302669
63317,63347,63332.0,-0.036595609228303246
63318,63348,63333.0,0.03150860959247848
63319,63349,63334.0,0.032190459110502175
63320,63350,63335.0,0.04817178105576336
63321,63351,63336.0,0.04713005167539567
63322,63352,63337.0,0.026097097378002965
63323,63353,63338.0,0.01282634437279395
63324,63354,63339.0,0.017490526729991573
63325,63355,63340.0,-0.03516790842831004
63326,63356,63341.0,0.03129449911855269
63327,63357,63342.0,0.056562651739559815
63328,63358,63343.0,0.04151597694884791
63329,63359,63344.0,0.06490553405215681
63330,63360,63345.0,0.08390820958696757
63331,63361,63346.0,0.07635237393629483
63332,63362,63347.0,0.06429091478083554
63333,63363,63348.0,0.10266587597010826
63334,63364,63349.0,0.1064656929530035
63335,63365,63350.0,0.11868145825481247
63336,63366,63351.0,0.06154207232202926
63337,63367,63352.0,0.0743155802135691
63338,63368,63353.0,0.091228241744507
63339,63369,63354.0,0.05043321465572617
63340,63370,63355.0,0.032287304323351945
63341,63371,63356.0,0.043989728225436016
63342,63372,63357.0,0.003021148702023326
63343,63373,63358.0,0.006533778706142538
63344,63374,63359.0,-0.04565594797128144
63345,63375,63360.0,-0.021418110611947875
63346,63376,63361.0,-0.0924373940065044
63347,63377,63362.0,-0.09276923150486058
63348,63378,63363.0,-0.10709666780771619
63349,63379,63364.0,-0.113128373117869
63350,63380,63365.0,-0.1220218553239772
63351,63381,63366.0,-0.16767134221216906
63352,63382,63367.0,-0.08641949010847716
63353,63383,63368.0,-0.016354160953555966
63354,63384,63369.0,0.08072216904562364
63355,63385,63370.0,0.03985181837312624
63356,63386,63371.0,0.08209802581839
63357,63387,63372.0,0.09804781031183427
63358,63388,63373.0,0.10342451685413442
63359,63389,63374.0,0.010176201539921883
63360,63390,63375.0,0.04801027888286636
63361,63391,63376.0,0.04592123446271911
63362,63392,63377.0,0.017053694282940346
63363,63393,63378.0,-0.013765392214818161
63364,63394,63379.0,-0.008880589835129913
63365,63395,63380.0,0.005452713174542923
63366,63396,63381.0,0.012245535828363087
63367,63397,63382.0,-0.004758409794959125
63368,63398,63383.0,-0.008282234274710684
63369,63399,63384.0,0.0030615799306191803
63370,63400,63385.0,0.011277675697947662
63371,63401,63386.0,0.0031281489392703836
63372,63402,63387.0,-0.008895039438262609
63373,63403,63388.0,-0.07376983562749187
63374,63404,63389.0,-0.08842679074535627
63375,63405,63390.0,-0.09078635568883446
63376,63406,63391.0,-0.08405392348895388
63377,63407,63392.0,-0.04593718666690055
63378,63408,63393.0,-0.04457865906139794
63379,63409,63394.0,-0.013225721421416656
63380,63410,63395.0,0.016954203383366152
63381,63411,63396.0,0.052001257064568575
63382,63412,63397.0,0.08993303567569756
63383,63413,63398.0,0.08746375689032232
63384,63414,63399.0,0.05079295608048579
63385,63415,63400.0,0.08643490076710289
63386,63416,63401.0,0.1010504441679652
63387,63417,63402.0,0.09354661559120678
63388,63418,63403.0,0.07317276094722576
63389,63419,63404.0,0.07718881801745629
63390,63420,63405.0,0.06898775230554806
63391,63421,63406.0,0.026738096636226852
63392,63422,63407.0,0.05167909788337071
63393,63423,63408.0,0.0889142782855304
63394,63424,63409.0,0.0534849477002974
63395,63425,63410.0,0.03832303862094573
63396,63426,63411.0,0.011689057684070055
63397,63427,63412.0,-0.016247345285536435
63398,63428,63413.0,-0.030216792892845117
63399,63429,63414.0,-0.01775397541418968
63400,63430,63415.0,0.007880283273244264
63401,63431,63416.0,0.025359829620115064
63402,63432,63417.0,-0.06884292690870601
63403,63433,63418.0,-0.10795571116059258
63404,63434,63419.0,-0.06913478094552063
63405,63435,63420.0,-0.04654946136094585
63406,63436,63421.0,-0.062375884534478204
63407,63437,63422.0,-0.06636235330414673
63408,63438,63423.0,-0.04768003980138978
63409,63439,63424.0,-0.0016594541560525631
63410,63440,63425.0,-0.03173267398083857
63411,63441,63426.0,-0.06012969972888176
63412,63442,63427.0,-0.006341005328588114
63413,63443,63428.0,0.005558029910517165
63414,63444,63429.0,-0.02984979220531741
63415,63445,63430.0,-0.04605796420139775
63416,63446,63431.0,-0.054149986131872115
63417,63447,63432.0,-0.02357922426289062
63418,63448,63433.0,0.06456815945896975
63419,63449,63434.0,0.054462291423008916
63420,63450,63435.0,0.021175199258333628
63421,63451,63436.0,0.059697243063130886
63422,63452,63437.0,0.024865003607394846
63423,63453,63438.0,0.10716376689923965
63424,63454,63439.0,0.1566636469571661
63425,63455,63440.0,0.09755336352057838
63426,63456,63441.0,0.18139113052624284
63427,63457,63442.0,0.1884847089337453
63428,63458,63443.0,0.1454978022083569
63429,63459,63444.0,0.13252656189758927
63430,63460,63445.0,0.13432197136192398
63431,63461,63446.0,0.05479873928302479
63432,63462,63447.0,0.05145058680080222
63433,63463,63448.0,0.04412973863148937
63434,63464,63449.0,0.044935996276564256
63435,63465,63450.0,0.06329478690531234
63436,63466,63451.0,0.13868663026920322
63437,63467,63452.0,0.08723524883510979
63438,63468,63453.0,-0.00455768976675967
63439,63469,63454.0,0.059897595040054
63440,63470,63455.0,0.05549118637047026
63441,63471,63456.0,-0.004350560452157807
63442,63472,63457.0,-0.04006516302843018
63443,63473,63458.0,-0.02931059900915019
63444,63474,63459.0,0.006597920650687754
63445,63475,63460.0,0.028576951341698253
63446,63476,63461.0,0.058676651664704524
63447,63477,63462.0,0.0013482698711947054
63448,63478,63463.0,0.04524028722838408
63449,63479,63464.0,0.052436679892830636
63450,63480,63465.0,0.012113563696218466
63451,63481,63466.0,-0.0041591650617961475
63452,63482,63467.0,-0.03266903653410393
63453,63483,63468.0,0.09403402643883603
63454,63484,63469.0,0.12591967219761588
63455,63485,63470.0,0.131781569103832
63456,63486,63471.0,0.11972364350979464
63457,63487,63472.0,0.04585402534112234
63458,63488,63473.0,0.0034544533473456146
63459,63489,63474.0,0.02320076666030118
63460,63490,63475.0,0.0051111560628722555
63461,63491,63476.0,0.07289573061440904
63462,63492,63477.0,0.02511350564486884
63463,63493,63478.0,-0.0016241608163130841
63464,63494,63479.0,-0.003578099903426264
63465,63495,63480.0,0.01493759570356881
63466,63496,63481.0,0.037311563931308654
63467,63497,63482.0,0.045145294716360834
63468,63498,63483.0,0.00806523488571882
63469,63499,63484.0,0.011840940227803834
63470,63500,63485.0,0.015304004147229374
63471,63501,63486.0,0.012495829422862086
63472,63502,63487.0,-0.028540967074546442
63473,63503,63488.0,-0.05683618745079158
63474,63504,63489.0,0.016480458103693665
63475,63505,63490.0,-0.021211660576182043
