LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1032482.283674,1032482.283672,1760462412.096476,93090,12282,2,AK,1,100,11529,RD
1032482.307675,1032482.307674,1760462412.120478,93114,12285,2,AK,1,100,12283,RD
1032513.141981,1032513.141979,1760462442.954859,123946,17167,2,AK,1,100,17165,RD
1032543.307237,1032543.307235,1760462473.120188,154109,21938,2,AK,1,100,21116,RD
1032543.320238,1032543.320236,1760462473.133189,154122,21941,2,AK,1,100,21939,RD
1032548.415619,1032548.415617,1760462478.228583,159217,22759,2,AK,1,100,21939,RD
1032548.440621,1032548.440619,1760462478.253585,159242,22762,2,AK,1,100,22760,RD
1032553.524001,1032553.523999,1760462483.336977,164325,23573,2,AK,1,100,22760,RD
1032553.536002,1032553.536000,1760462483.348978,164337,23576,2,AK,1,100,23574,RD
1032558.632383,1032558.632381,1760462488.445372,169433,24393,2,AK,1,100,23574,RD
1032558.644384,1032558.644382,1760462488.457373,169445,24396,2,AK,1,100,24394,RD
1032563.740765,1032563.740763,1760462493.553766,174541,25223,2,AK,1,100,24394,RD
1032563.760767,1032563.760764,1760462493.573768,174561,25226,2,AK,1,100,25224,RD
1032568.852147,1032568.852145,1760462498.665161,179652,26051,2,AK,1,100,25224,RD
1032568.855148,1032568.855145,1760462498.668161,179655,26053,2,AK,1,100,25224,RD
1032568.857148,1032568.857145,1760462498.670161,179657,26055,2,AK,1,100,25224,RD
1032568.867149,1032568.867146,1760462498.680162,179667,26058,2,AK,1,100,26056,RD
1032573.959529,1032573.959527,1760462503.772555,184759,26891,2,AK,1,100,26056,RD
1032573.976531,1032573.976528,1760462503.789557,184776,26894,2,AK,1,100,26892,RD
1032579.106914,1032579.106912,1760462508.919953,189906,27734,2,AK,1,100,26892,RD
1032579.108914,1032579.108912,1760462508.921953,189908,27736,2,AK,1,100,26892,RD
1032579.120915,1032579.120913,1760462508.933954,189920,27739,2,AK,1,100,27737,RD
