LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1032479.249447,1032479.249445,1760462409.062242,90056.000,11796,1,BI,1,100,740
1032480.839566,1032480.839564,1760462410.652365,91646.000,12055,1,BI,1,100,1580
1032482.948723,1032482.948722,1760462412.761528,93755.000,12384,1,BI,1,100,2100
1032486.161964,1032486.161962,1760462415.974776,96968.000,12895,1,BI,1,100,3190
1032486.649000,1032486.648998,1760462416.461813,97455.000,12975,1,BI,1,100,480
1032487.166039,1032487.166037,1760462416.978853,97972.000,13054,1,BI,1,100,520
1032487.765084,1032487.765082,1760462417.577900,98571.000,13150,1,BI,1,100,590
1032488.209117,1032488.209115,1760462418.021934,99015.000,13214,1,BI,1,100,440
1032489.412207,1032489.412205,1760462419.225027,100218.000,13407,1,BI,1,100,1200
1032490.015252,1032490.015250,1760462419.828074,100821.000,13504,1,BI,1,100,600
1032491.068331,1032491.068329,1760462420.881155,101874.000,13664,1,BI,1,100,1050
1032491.585369,1032491.585368,1760462421.398195,102391.000,13746,1,BI,1,100,510
1032492.125410,1032492.125408,1760462421.938236,102931.000,13843,1,BI,1,100,540
1032492.642448,1032492.642447,1760462422.455276,103448.000,13923,1,BI,1,100,510
1032493.215491,1032493.215489,1760462423.028321,104021.000,14023,1,BI,1,100,570
1032493.802535,1032493.802533,1760462423.615366,104608.000,14103,1,BI,1,100,580
1032494.375578,1032494.375576,1760462424.188410,105181.000,14200,1,BI,1,100,570
1032494.935620,1032494.935618,1760462424.748453,105741.000,14298,1,BI,1,100,560
1032495.501662,1032495.501660,1760462425.314497,106307.000,14378,1,BI,1,100,560
1032496.085706,1032496.085704,1760462425.898542,106891.000,14476,1,BI,1,100,580
1032496.685751,1032496.685749,1760462426.498589,107491.000,14572,1,BI,1,100,600
1032497.278795,1032497.278793,1760462427.091634,108084.000,14667,1,BI,1,100,580
1032497.881840,1032497.881838,1760462427.694681,108687.000,14763,1,BI,1,100,600
1032498.301872,1032498.301870,1760462428.114713,109107.000,14829,1,BI,1,100,420
1032498.934919,1032498.934917,1760462428.747762,109740.000,14926,1,BI,1,100,630
1032499.491961,1032499.491959,1760462429.304805,110297.000,15008,1,BI,1,100,550
1032499.988998,1032499.988996,1760462429.801844,110794.000,15088,1,BI,1,100,500
1032500.522038,1032500.522036,1760462430.334885,111327.000,15183,1,BI,1,100,530
1032501.068078,1032501.068077,1760462430.880927,111873.000,15263,1,BI,1,100,540
1032501.658123,1032501.658121,1760462431.470972,112463.000,15359,1,BI,1,100,590
1032502.262168,1032502.262166,1760462432.075019,113067.000,15454,1,BI,1,100,600
1032502.808209,1032502.808207,1760462432.621061,113613.000,15533,1,BI,1,100,540
1032503.402253,1032503.402251,1760462433.215107,114207.000,15631,1,BI,1,100,590
1032503.958295,1032503.958293,1760462433.771150,114763.000,15712,1,BI,1,100,550
1032504.571340,1032504.571338,1760462434.384197,115376.000,15806,1,BI,1,100,610
1032505.185386,1032505.185384,1760462434.998245,115990.000,15902,1,BI,1,100,610
1032505.811433,1032505.811431,1760462435.624293,116616.000,16012,1,BI,1,100,620
1032506.191462,1032506.191460,1760462436.004323,116996.000,16077,1,BI,1,100,380
1032506.728502,1032506.728500,1760462436.541364,117533.000,16157,1,BI,1,100,530
1032507.321546,1032507.321544,1760462437.134410,118126.000,16253,1,BI,1,100,590
1032507.958594,1032507.958592,1760462437.771459,118763.000,16349,1,BI,1,100,630
1032508.354623,1032508.354621,1760462438.167490,119159.000,16401,1,BI,1,100,400
1032508.944667,1032508.944665,1760462438.757535,119749.000,16499,1,BI,1,100,580
1032509.558713,1032509.558711,1760462439.371583,120363.000,16594,1,BI,1,100,610
1032510.084753,1032510.084751,1760462439.897623,120889.000,16677,1,BI,1,100,530
1032510.668796,1032510.668794,1760462440.481668,121473.000,16772,1,BI,1,100,580
1032511.187835,1032511.187833,1760462441.000708,121992.000,16855,1,BI,1,100,520
