LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1032478.851417,1032478.851415,1760462408.664211,89658.000,11732,1,SF,1,100,28.1101
1032479.251447,1032479.251445,1760462409.064242,90058.000,11798,1,SF,1,100,27.7849
1032479.584472,1032479.584470,1760462409.397268,90391.000,11847,1,SF,1,100,29.5458
1032479.851492,1032479.851490,1760462409.664289,90658.000,11896,1,SF,1,100,29.2040
1032480.184517,1032480.184515,1760462409.997314,90991.000,11944,1,SF,1,100,28.8661
1032480.517542,1032480.517540,1760462410.330340,91324.000,11990,1,SF,1,100,28.5322
1032480.917571,1032480.917570,1760462410.730371,91724.000,12059,1,SF,1,100,30.2844
1032481.184591,1032481.184590,1760462410.997391,91991.000,12106,1,SF,1,100,29.9341
1032481.517616,1032481.517615,1760462411.330417,92324.000,12152,1,SF,1,100,29.5878
1032481.917646,1032481.917645,1760462411.730448,92724.000,12217,1,SF,1,100,29.2455
1032482.184666,1032482.184665,1760462411.997469,92991.000,12265,1,SF,1,100,28.9072
1032482.517691,1032482.517690,1760462412.330494,93324.000,12316,1,SF,1,100,28.5728
1032482.850716,1032482.850714,1760462412.663520,93657.000,12366,1,SF,1,100,30.3245
1032483.250746,1032483.250744,1760462413.063551,94057.000,12434,1,SF,1,100,29.9737
1032483.517766,1032483.517764,1760462413.330572,94324.000,12481,1,SF,1,100,29.6270
1032483.850791,1032483.850789,1760462413.663597,94657.000,12531,1,SF,1,100,29.2843
1032484.250821,1032484.250819,1760462414.063628,95057.000,12593,1,SF,1,100,28.9455
1032484.583846,1032484.583844,1760462414.396654,95390.000,12639,1,SF,1,100,28.6107
1032484.850866,1032484.850864,1760462414.663675,95657.000,12688,1,SF,1,100,28.2797
1032485.183891,1032485.183889,1760462414.996700,95990.000,12736,1,SF,1,100,27.9525
1032485.583920,1032485.583919,1760462415.396731,96390.000,12799,1,SF,1,100,27.6292
1032485.850940,1032485.850939,1760462415.663752,96657.000,12846,1,SF,1,100,27.3096
1032486.183965,1032486.183964,1760462415.996778,96990.000,12897,1,SF,1,100,29.0759
1032486.517990,1032486.517989,1760462416.330803,97324.000,12944,1,SF,1,100,28.7396
1032486.918020,1032486.918019,1760462416.730834,97724.000,13008,1,SF,1,100,28.4071
1032487.184040,1032487.184038,1760462416.996855,97990.000,13056,1,SF,1,100,28.0785
1032487.517065,1032487.517063,1760462417.329880,98323.000,13103,1,SF,1,100,27.7537
1032487.917095,1032487.917093,1760462417.729911,98723.000,13167,1,SF,1,100,27.4326
1032488.184115,1032488.184113,1760462417.996932,98990.000,13216,1,SF,1,100,27.1153
1032488.517140,1032488.517138,1760462418.329958,99323.000,13267,1,SF,1,100,28.8838
1032488.917170,1032488.917168,1760462418.729989,99723.000,13329,1,SF,1,100,28.5497
1032489.251195,1032489.251193,1760462419.064014,100057.000,13375,1,SF,1,100,28.2195
1032489.517215,1032489.517213,1760462419.330035,100323.000,13427,1,SF,1,100,29.9753
1032489.851240,1032489.851238,1760462419.664061,100657.000,13473,1,SF,1,100,29.6285
1032490.251269,1032490.251268,1760462420.064092,101057.000,13537,1,SF,1,100,29.2858
1032490.517289,1032490.517288,1760462420.330112,101323.000,13586,1,SF,1,100,31.0292
1032490.850314,1032490.850313,1760462420.663138,101656.000,13633,1,SF,1,100,30.6703
1032491.250344,1032491.250342,1760462421.063169,102056.000,13697,1,SF,1,100,30.3155
1032491.584369,1032491.584367,1760462421.397195,102390.000,13748,1,SF,1,100,32.0471
1032491.850389,1032491.850387,1760462421.663215,102656.000,13794,1,SF,1,100,31.6763
