LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1032482.281674,1032482.281672,1760462412.094476,93088,12281,1,TL,1,100,2025-10-14_13-20-07-104107
1032482.306675,1032482.306674,1760462412.119478,93113,12284,1,TL,1,100,2025-10-14_13-20-12-117622
1032513.140981,1032513.140979,1760462442.953859,123945,17166,1,TL,1,100,2025-10-14_13-20-42-945359
1032543.306237,1032543.306235,1760462473.119188,154108,21937,1,TL,1,100,2025-10-14_13-21-08-131727
1032543.319238,1032543.319236,1760462473.132189,154121,21940,1,TL,1,100,2025-10-14_13-21-13-128116
1032548.414619,1032548.414617,1760462478.227583,159216,22758,1,TL,1,100,2025-10-14_13-21-13-198789
1032548.439621,1032548.439619,1760462478.252585,159241,22761,1,TL,1,100,2025-10-14_13-21-18-245623
1032553.523001,1032553.522999,1760462483.335977,164324,23572,1,TL,1,100,2025-10-14_13-21-18-280109
1032553.535002,1032553.535000,1760462483.347978,164336,23575,1,TL,1,100,2025-10-14_13-21-23-345194
1032558.631383,1032558.631381,1760462488.444372,169432,24392,1,TL,1,100,2025-10-14_13-21-23-383161
1032558.643384,1032558.643382,1760462488.456373,169444,24395,1,TL,1,100,2025-10-14_13-21-28-452198
1032563.739765,1032563.739763,1760462493.552766,174540,25222,1,TL,1,100,2025-10-14_13-21-28-489761
1032563.759767,1032563.759764,1760462493.572768,174560,25225,1,TL,1,100,2025-10-14_13-21-33-567077
1032568.851147,1032568.851145,1760462498.664161,179651,26050,1,TL,1,100,2025-10-14_13-21-33-605748
1032568.853147,1032568.853145,1760462498.666161,179653,26052,1,TL,1,100,2025-10-14_13-21-33-607485
1032568.856148,1032568.856145,1760462498.669161,179656,26054,1,TL,1,100,2025-10-14_13-21-33-610782
1032568.866148,1032568.866146,1760462498.679162,179666,26057,1,TL,1,100,2025-10-14_13-21-38-675162
1032573.958529,1032573.958527,1760462503.771555,184758,26890,1,TL,1,100,2025-10-14_13-21-38-709727
1032573.973530,1032573.973528,1760462503.786556,184773,26893,1,TL,1,100,2025-10-14_13-21-43-780336
1032579.105914,1032579.105912,1760462508.918953,189905,27733,1,TL,1,100,2025-10-14_13-21-43-826015
1032579.107914,1032579.107912,1760462508.920953,189907,27735,1,TL,1,100,2025-10-14_13-21-43-828091
1032579.119915,1032579.119913,1760462508.932954,189919,27738,1,TL,1,100,2025-10-14_13-21-48-927501
