peak_index,peak_time,peak_time_from_segment_start_sec,peak_amplitude_filtered,emotibit_id,segment,selected_channel
72,63857.19269988272,0.7278598156917724,53.46973135673544,EmotiBit_3,recovery,PPG_1
154,63858.02165133948,1.5568112724504315,48.3106790232483,EmotiBit_3,recovery,PPG_1
235,63858.84049363213,2.375653565104585,42.71043467877557,EmotiBit_3,recovery,PPG_1
312,63859.61889926836,3.154059201333439,53.938660970331,EmotiBit_3,recovery,PPG_1
398,63860.48828738155,4.023447314524674,56.95637093612848,EmotiBit_3,recovery,PPG_1
490,63861.418330479384,4.953490412357496,68.25965792764961,EmotiBit_3,recovery,PPG_1
579,63862.31804608489,5.853206017862249,59.764612313895256,EmotiBit_3,recovery,PPG_1
668,63863.2177616904,6.752921623374277,56.33064731448404,EmotiBit_3,recovery,PPG_1
747,63864.01638565484,7.551545587812143,44.47486303090992,EmotiBit_3,recovery,PPG_1
819,63864.74424547054,8.279405403511191,52.15306124975531,EmotiBit_3,recovery,PPG_1
904,63865.60352441962,9.138684352590644,58.43087134459059,EmotiBit_3,recovery,PPG_1
996,63866.53356751745,10.068727450423468,60.36149848235116,EmotiBit_3,recovery,PPG_1
1085,63867.433283122955,10.96844305592822,55.69493807198916,EmotiBit_3,recovery,PPG_1
1169,63868.28245290794,11.817612840910442,46.0509424454889,EmotiBit_3,recovery,PPG_1
1252,63869.1215135288,12.656673461773607,39.87775636381338,EmotiBit_3,recovery,PPG_1
1334,63869.950464985566,13.485624918539544,35.702793440168286,EmotiBit_3,recovery,PPG_1
1423,63870.85018059108,14.385340524051571,51.44180396073892,EmotiBit_3,recovery,PPG_1
1519,63871.82066034533,15.355820278302415,59.13388209646551,EmotiBit_3,recovery,PPG_1
1607,63872.71026678674,16.24542671970994,48.26860051435632,EmotiBit_3,recovery,PPG_1
1696,63873.60998239225,17.14514232522197,38.43507483561146,EmotiBit_3,recovery,PPG_1
1778,63874.43893384901,17.974093781980628,40.0659668490889,EmotiBit_3,recovery,PPG_1
1862,63875.28810363398,18.823263566955575,50.53047839776724,EmotiBit_3,recovery,PPG_1
1950,63876.17771007538,19.71287000835582,42.52884755871603,EmotiBit_3,recovery,PPG_1
2046,63877.14818982964,20.683349762613943,47.76018978202453,EmotiBit_3,recovery,PPG_1
2131,63878.00746877873,21.542628711700672,41.54177257174422,EmotiBit_3,recovery,PPG_1
2216,63878.86674772781,22.401907660780125,36.25199260080324,EmotiBit_3,recovery,PPG_1
2302,63879.736135841,23.27129577397136,34.313433389781444,EmotiBit_3,recovery,PPG_1
2386,63880.58530562597,24.120465558946307,50.48212212787161,EmotiBit_3,recovery,PPG_1
2481,63881.54567621613,25.080836149099923,59.122338611937785,EmotiBit_3,recovery,PPG_1
2572,63882.46561014985,26.000770082820964,46.388378879123096,EmotiBit_3,recovery,PPG_1
2665,63883.405762411785,26.94092234475829,47.983423022174186,EmotiBit_3,recovery,PPG_1
2749,63884.25493219676,27.79009212973324,43.40079007027823,EmotiBit_3,recovery,PPG_1
2836,63885.134429474056,28.66958940702898,44.04240243857629,EmotiBit_3,recovery,PPG_1
2922,63886.00381758725,29.538977520220215,50.59804061371081,EmotiBit_3,recovery,PPG_1
3016,63886.95407901329,30.48923894626205,63.42479260824566,EmotiBit_3,recovery,PPG_1
3109,63887.894231275226,31.429391208199377,59.07590722266427,EmotiBit_3,recovery,PPG_1
3203,63888.844492701275,32.37965263424849,38.58954116103829,EmotiBit_3,recovery,PPG_1
3293,63889.75431747089,33.28947740386502,35.56173543021491,EmotiBit_3,recovery,PPG_1
3377,63890.60348725587,34.13864718883997,40.24708424655479,EmotiBit_3,recovery,PPG_1
3465,63891.49309369727,35.028253630240215,48.80330253376427,EmotiBit_3,recovery,PPG_1
3556,63892.413027630995,35.94818756396853,50.95493020504773,EmotiBit_3,recovery,PPG_1
3646,63893.32285240061,36.858012333585066,51.49831233571495,EmotiBit_3,recovery,PPG_1
3737,63894.24278633433,37.777946267306106,36.96315078263375,EmotiBit_3,recovery,PPG_1
3823,63895.11217444752,38.64733438049734,37.468396247471624,EmotiBit_3,recovery,PPG_1
3907,63895.9613442325,39.49650416547229,30.15750523528935,EmotiBit_3,recovery,PPG_1
3994,63896.840841509795,40.37600144276803,51.417788796387896,EmotiBit_3,recovery,PPG_1
4086,63897.77088460762,41.306044540593575,42.304505229232845,EmotiBit_3,recovery,PPG_1
4179,63898.71103686956,42.2461968025309,59.20839528869746,EmotiBit_3,recovery,PPG_1
4269,63899.62086163918,43.156021572154714,43.188361961840904,EmotiBit_3,recovery,PPG_1
4352,63900.459922260045,43.99508219301788,39.960708914760055,EmotiBit_3,recovery,PPG_1
4431,63901.25854622449,44.79370615746302,48.43477582665948,EmotiBit_3,recovery,PPG_1
4526,63902.21891681464,45.75407674760936,46.79743477784016,EmotiBit_3,recovery,PPG_1
4623,63903.199505733006,46.734665665979264,54.50460339823369,EmotiBit_3,recovery,PPG_1
4708,63904.058784682085,47.59394461505872,33.82867491039117,EmotiBit_3,recovery,PPG_1
4791,63904.89784530296,48.43300523592916,34.41929253041867,EmotiBit_3,recovery,PPG_1
4877,63905.76723341615,49.30239334912039,45.1237135143262,EmotiBit_3,recovery,PPG_1
4967,63906.67705818576,50.21221811873693,77.06335977403451,EmotiBit_3,recovery,PPG_1
