emotibit_id,segment,n_clean_rows,output_csv
EmotiBit_1,main_meditation,806,EmotiBit_1_main_meditation_hr_clean.csv
EmotiBit_1,pre_meditation,267,EmotiBit_1_pre_meditation_hr_clean.csv
EmotiBit_1,recovery,90,EmotiBit_1_recovery_hr_clean.csv
EmotiBit_2,main_meditation,822,EmotiBit_2_main_meditation_hr_clean.csv
EmotiBit_2,pre_meditation,267,EmotiBit_2_pre_meditation_hr_clean.csv
EmotiBit_2,recovery,104,EmotiBit_2_recovery_hr_clean.csv
EmotiBit_3,main_meditation,844,EmotiBit_3_main_meditation_hr_clean.csv
EmotiBit_3,pre_meditation,278,EmotiBit_3_pre_meditation_hr_clean.csv
EmotiBit_3,recovery,89,EmotiBit_3_recovery_hr_clean.csv
EmotiBit_4,main_meditation,838,EmotiBit_4_main_meditation_hr_clean.csv
EmotiBit_4,pre_meditation,280,EmotiBit_4_pre_meditation_hr_clean.csv
EmotiBit_4,recovery,103,EmotiBit_4_recovery_hr_clean.csv
EmotiBit_6,main_meditation,833,EmotiBit_6_main_meditation_hr_clean.csv
EmotiBit_6,pre_meditation,279,EmotiBit_6_pre_meditation_hr_clean.csv
EmotiBit_6,recovery,99,EmotiBit_6_recovery_hr_clean.csv
EmotiBit_7,main_meditation,769,EmotiBit_7_main_meditation_hr_clean.csv
EmotiBit_7,pre_meditation,263,EmotiBit_7_pre_meditation_hr_clean.csv
EmotiBit_7,recovery,94,EmotiBit_7_recovery_hr_clean.csv
