subject_a,subject_b,n_points,corr
EmotiBit_1,EmotiBit_2,752,-0.01021474212775663
EmotiBit_1,EmotiBit_3,752,-0.0941096168265826
EmotiBit_1,EmotiBit_4,752,0.03854788399301072
EmotiBit_1,EmotiBit_6,752,0.037984403290927754
EmotiBit_1,EmotiBit_7,752,0.03469831524862496
EmotiBit_2,EmotiBit_3,752,-0.02734727674327171
EmotiBit_2,EmotiBit_4,752,0.041600332890003144
EmotiBit_2,EmotiBit_6,752,-0.04012098691393047
EmotiBit_2,EmotiBit_7,752,0.028569973018748227
EmotiBit_3,EmotiBit_4,752,0.04870305565194526
EmotiBit_3,EmotiBit_6,752,0.03637747069026103
EmotiBit_3,EmotiBit_7,752,0.012431785602961279
EmotiBit_4,EmotiBit_6,752,0.16355403329860793
EmotiBit_4,EmotiBit_7,752,0.23568005889871785
EmotiBit_6,EmotiBit_7,752,0.1836011430845121
