subject_a,subject_b,n_points,corr
EmotiBit_1,EmotiBit_2,752,-0.023289593493052266
EmotiBit_1,EmotiBit_3,752,-0.0857259707678193
EmotiBit_1,EmotiBit_4,752,0.02798637176993566
EmotiBit_1,EmotiBit_6,752,0.0327181961255223
EmotiBit_1,EmotiBit_7,752,0.03295253040109197
EmotiBit_2,EmotiBit_3,752,-0.05053536733635756
EmotiBit_2,EmotiBit_4,752,0.059553136638798715
EmotiBit_2,EmotiBit_6,752,-0.06348938486919152
EmotiBit_2,EmotiBit_7,752,0.029976417179112928
EmotiBit_3,EmotiBit_4,752,0.07040401810571559
EmotiBit_3,EmotiBit_6,752,0.03690394050522553
EmotiBit_3,EmotiBit_7,752,-0.004167884694036841
EmotiBit_4,EmotiBit_6,752,0.1932684440028862
EmotiBit_4,EmotiBit_7,752,0.23058489856175288
EmotiBit_6,EmotiBit_7,752,0.21324936669519418
