subject_a,subject_b,n_points,corr
EmotiBit_1,EmotiBit_2,242,0.01676456732357519
EmotiBit_1,EmotiBit_3,242,-0.05086323932683969
EmotiBit_1,EmotiBit_4,242,0.015031197375820505
EmotiBit_1,EmotiBit_6,242,0.09842238711517808
EmotiBit_1,EmotiBit_7,242,-0.010149800121474652
EmotiBit_2,EmotiBit_3,242,0.0020704005172517983
EmotiBit_2,EmotiBit_4,242,0.012223713758346114
EmotiBit_2,EmotiBit_6,242,0.024483884275758275
EmotiBit_2,EmotiBit_7,242,0.05986029327963184
EmotiBit_3,EmotiBit_4,242,-0.05877644719788919
EmotiBit_3,EmotiBit_6,242,-0.07412200305638479
EmotiBit_3,EmotiBit_7,242,0.02630370055308959
EmotiBit_4,EmotiBit_6,242,0.1224335430693397
EmotiBit_4,EmotiBit_7,242,-0.14044582426158062
EmotiBit_6,EmotiBit_7,242,-0.05839707926365902
