subject_a,subject_b,n_points,corr
EmotiBit_1,EmotiBit_2,93,-0.15683486002857241
EmotiBit_1,EmotiBit_3,93,-0.0929588028583095
EmotiBit_1,EmotiBit_4,93,-0.1308794571300556
EmotiBit_1,EmotiBit_6,93,0.1242949760078353
EmotiBit_1,EmotiBit_7,93,0.03189089124178046
EmotiBit_2,EmotiBit_3,93,0.2300935339642416
EmotiBit_2,EmotiBit_4,93,0.0007438376034399795
EmotiBit_2,EmotiBit_6,93,-0.0785040002914127
EmotiBit_2,EmotiBit_7,93,0.2432736820256193
EmotiBit_3,EmotiBit_4,93,0.04764465743547401
EmotiBit_3,EmotiBit_6,93,0.06726032875227787
EmotiBit_3,EmotiBit_7,93,0.1318417020765072
EmotiBit_4,EmotiBit_6,93,-0.1736277510288712
EmotiBit_4,EmotiBit_7,93,-0.2366555940227711
EmotiBit_6,EmotiBit_7,93,-0.06736858724965186
