segment,window_index,window_start_sec,window_end_sec,whole_rho_mean,cluster467_rho_mean
pre_meditation,0,0,30,0.45653028796144757,0.6547072877668753
pre_meditation,1,5,35,0.40520483217537506,0.47294224541859836
pre_meditation,2,10,40,0.422256137879352,0.5503140950843055
pre_meditation,3,15,45,0.3751805530908648,0.47399042700102184
pre_meditation,4,20,50,0.45649441909638444,0.49346768231212956
pre_meditation,5,25,55,0.45950670851044556,0.5816982580856728
pre_meditation,6,30,60,0.3487807550699423,0.5991527507176753
pre_meditation,7,35,65,0.4640209333209104,0.6013028480179065
pre_meditation,8,40,70,0.33859460023203347,0.6212006485447422
pre_meditation,9,45,75,0.4499758385389029,0.49002732122361525
pre_meditation,10,50,80,0.49412451325314155,0.5076459699283018
pre_meditation,11,55,85,0.5446003529771851,0.5647277198547321
pre_meditation,12,60,90,0.5125066787037558,0.5679892812541681
pre_meditation,13,65,95,0.37821124272923434,0.5754157014052694
pre_meditation,14,70,100,0.470628993014114,0.6081689005138785
pre_meditation,15,75,105,0.5262294176624985,0.5565732768349504
pre_meditation,16,80,110,0.5127365650348422,0.6132433769251663
pre_meditation,17,85,115,0.5698187787105639,0.57474852028388
pre_meditation,18,90,120,0.4853098273228469,0.5652731886472377
pre_meditation,19,95,125,0.3957976689098173,0.49362807785570406
pre_meditation,20,100,130,0.4696724341801834,0.47622799792107645
pre_meditation,21,105,135,0.48483517670136517,0.49323207437301353
pre_meditation,22,110,140,0.5051431370841111,0.45227416846848245
pre_meditation,23,115,145,0.4851039344593795,0.5094726262656256
pre_meditation,24,120,150,0.48311405500828436,0.6239634275853951
pre_meditation,25,125,155,0.48746111951821924,0.6009965821155261
pre_meditation,26,130,160,0.4846506247033578,0.6409540705009165
pre_meditation,27,135,165,0.3918835535374682,0.5998514285175643
pre_meditation,28,140,170,0.42257293921602146,0.6347939762750467
pre_meditation,29,145,175,0.4186000185364368,0.6350918099452011
pre_meditation,30,150,180,0.423515148889177,0.6243641585216478
pre_meditation,31,155,185,0.4122787162893502,0.5646831074942398
pre_meditation,32,160,190,0.43985494985945084,0.5840289659053005
pre_meditation,33,165,195,0.45608429185870736,0.582695916418667
pre_meditation,34,170,200,0.5239682895321004,0.6689198789061525
pre_meditation,35,175,205,0.5093713635530394,0.6622694890869414
pre_meditation,36,180,210,0.5247841749216711,0.6132812157879093
pre_meditation,37,185,215,0.4659386195958938,0.604713667858425
pre_meditation,38,190,220,0.41677252983113583,0.6163568358703364
pre_meditation,39,195,225,0.47713964991590097,0.6058177313475086
pre_meditation,40,200,230,0.4950860384245214,0.6155589600282166
pre_meditation,41,205,235,0.5178890783893784,0.610223074005323
pre_meditation,42,210,240,0.5532961210631048,0.6944266123477323
main_meditation,0,0,30,0.537851354325213,0.6882897927259505
main_meditation,1,5,35,0.4545076113029068,0.6569722262581235
main_meditation,2,10,40,0.5075421206383125,0.6347263409184764
main_meditation,3,15,45,0.512685822474712,0.6307909250657476
main_meditation,4,20,50,0.5375237027274911,0.6813886214969513
main_meditation,5,25,55,0.5192473225893245,0.7207964314842847
main_meditation,6,30,60,0.5086413606996759,0.7353198295963439
main_meditation,7,35,65,0.5030272583703749,0.6916570717592972
main_meditation,8,40,70,0.40840435359426236,0.6612393236431722
main_meditation,9,45,75,0.45378722327376353,0.6085336075496759
main_meditation,10,50,80,0.4426639225048657,0.5751424528578272
main_meditation,11,55,85,0.4651195819451457,0.5951034705327578
main_meditation,12,60,90,0.5037530882348106,0.5930457417237063
main_meditation,13,65,95,0.45315171034423185,0.5621681728521798
main_meditation,14,70,100,0.5269905395117231,0.5425090759197719
main_meditation,15,75,105,0.5917379245009673,0.6428566393686442
main_meditation,16,80,110,0.5459057066323264,0.5633627075041283
main_meditation,17,85,115,0.48091510862350667,0.5740270220378354
main_meditation,18,90,120,0.5189078913203052,0.5477526392415111
main_meditation,19,95,125,0.5341759314330531,0.6141396038219283
main_meditation,20,100,130,0.5543894675285501,0.7059390789179335
main_meditation,21,105,135,0.5474151519921595,0.7029831198018078
main_meditation,22,110,140,0.5221080808299413,0.7358213836613767
main_meditation,23,115,145,0.5585521817095996,0.7469822009239443
main_meditation,24,120,150,0.5520440944473662,0.7771790383060307
main_meditation,25,125,155,0.47843694193382974,0.727547744504306
main_meditation,26,130,160,0.4303315973248573,0.5895799477341173
main_meditation,27,135,165,0.5017801855747331,0.6462729230723347
main_meditation,28,140,170,0.48624365241979745,0.6367008225284299
main_meditation,29,145,175,0.4798488935009942,0.5510851225248293
main_meditation,30,150,180,0.41185133194954465,0.5440289822768329
