emotibit_id,segment,channel,n,n_nan,mean,std,min,max,range,diff_std,outlier_frac_abs_z_gt_5,std_rank,noise_rank,outlier_rank,heuristic_score
EmotiBit_1,main_meditation,PPG_1,74968,0,127208.64756962971,669.9023093632691,125260.0,128736.0,3476.0,25.26577201628377,0.0,1.0,3.0,1.0,5.0
EmotiBit_1,pre_meditation,PPG_2,24288,0,76159.51778656126,135.81895323001595,75817.0,76417.0,600.0,23.539243420291932,0.0,2.0,2.0,1.0,5.0
EmotiBit_1,recovery,PPG_3,9430,0,4763.569247083775,40.9711279787737,4555.0,4848.0,293.0,22.472485821972793,0.05715800636267232,3.0,1.0,1.0,5.0
EmotiBit_2,main_meditation,PPG_1,75362,0,108761.34744300842,1199.3889129043464,106819.0,111024.0,4205.0,26.213058520414286,0.0,1.0,2.0,1.0,4.0
EmotiBit_2,pre_meditation,PPG_1,24416,0,106624.82179718217,146.48205196591928,106315.0,107019.0,704.0,25.280214966889158,0.0,1.0,3.0,1.0,5.0
EmotiBit_2,recovery,PPG_1,9480,0,111092.7391350211,185.45312903158643,110701.0,111516.0,815.0,26.180212182747706,0.0,1.0,3.0,1.0,5.0
EmotiBit_3,main_meditation,PPG_1,74534,0,169307.55488770225,1594.103293102366,166588.0,171617.0,5029.0,26.06607730300687,0.0,1.0,2.0,1.0,4.0
EmotiBit_3,pre_meditation,PPG_3,24147,0,13864.215099184165,25.21279690048975,13697.0,13951.0,254.0,21.369130314683858,0.0004141301196836046,3.0,1.0,1.0,5.0
EmotiBit_3,recovery,PPG_1,9375,0,166924.83317333335,757.3864976937886,164771.0,167460.0,2689.0,28.28964588754415,0.18794666666666668,1.0,2.0,2.0,5.0
EmotiBit_4,main_meditation,PPG_2,74646,0,88241.92551509793,825.7337757322047,86861.0,89605.0,2744.0,23.489360099337237,0.0,1.0,2.0,1.0,4.0
EmotiBit_4,pre_meditation,PPG_1,24184,0,154533.72026959973,278.9536433826606,153756.0,155498.0,1742.0,26.591643061564966,0.0,2.0,2.0,1.0,5.0
EmotiBit_4,recovery,PPG_1,9390,0,154898.8703940362,281.41905796194715,154236.0,155659.0,1423.0,31.483594165723694,0.0,2.0,2.0,1.0,5.0
EmotiBit_5,main_meditation,PPG_1,74602,0,164312.30926784806,1947.8851156927412,155895.0,169519.0,13624.0,28.751273482975183,0.0,2.0,2.0,1.0,5.0
EmotiBit_5,pre_meditation,PPG_1,24170,0,168558.6489035995,1367.5346804441403,166195.0,171475.0,5280.0,27.41274487120682,0.0,1.0,3.0,1.0,5.0
EmotiBit_5,recovery,PPG_1,9385,0,161041.66798082046,617.3895376300864,158070.0,165807.0,7737.0,39.8280645892893,0.022269579115610016,1.0,3.0,1.0,5.0
EmotiBit_6,main_meditation,PPG_2,74683,0,94358.01223839428,839.9067016010617,92551.0,95812.0,3261.0,24.35457482178294,0.0,1.0,2.0,1.0,4.0
EmotiBit_6,pre_meditation,PPG_2,24195,0,91524.40632362058,806.860638393328,88661.0,92788.0,4127.0,25.373035785647772,0.0,2.0,2.0,1.0,5.0
EmotiBit_6,recovery,PPG_3,9394,0,4810.427400468384,369.8501144987134,3786.0,5511.0,1725.0,23.583520190650102,0.0,3.0,1.0,1.0,5.0
EmotiBit_7,main_meditation,PPG_1,75326,0,187007.61444919417,900.2206719883432,185433.0,189247.0,3814.0,29.104382721236743,0.0,2.0,2.0,1.0,5.0
EmotiBit_7,pre_meditation,PPG_2,24404,0,157798.45631863628,1060.0991153378511,155557.0,159495.0,3938.0,25.55614897678253,0.0,1.0,2.0,1.0,4.0
EmotiBit_7,recovery,PPG_1,9476,0,187099.13043478262,722.672512292734,186182.0,188998.0,2816.0,28.763895159562708,0.0,1.0,3.0,1.0,5.0
