emotibit_id,segment,start_time,end_time,n_samples,duration_sec,output_csv
EmotiBit_1,main_meditation,63102.98690737315,63856.45395356557,74968,753.4670461924179,EmotiBit_1_main_meditation.csv
EmotiBit_1,pre_meditation,62858.87673065645,63102.97685672359,24288,244.10012606714008,EmotiBit_1_pre_meditation.csv
EmotiBit_1,recovery,63856.46400421514,63951.23157899536,9430,94.76757478022046,EmotiBit_1_recovery.csv
EmotiBit_2,main_meditation,63102.993390270225,63856.44614040251,75362,753.4527501322882,EmotiBit_2_main_meditation.csv
EmotiBit_2,pre_meditation,62858.88433721586,63102.983392356844,24416,244.099055140985,EmotiBit_2_pre_meditation.csv
EmotiBit_2,recovery,63856.456138315894,63951.2263592326,9480,94.77022091670369,EmotiBit_2_recovery.csv
EmotiBit_3,main_meditation,63102.988402526855,63856.454730902915,74534,753.4663283760601,EmotiBit_3_main_meditation.csv
EmotiBit_3,pre_meditation,62858.88241683868,63102.97829336274,24147,244.0958765240648,EmotiBit_3_pre_meditation.csv
EmotiBit_3,recovery,63856.46484006703,63951.22814440466,9375,94.7633043376336,EmotiBit_3_recovery.csv
EmotiBit_4,main_meditation,63102.99102504391,63856.44780615654,74646,753.4567811126253,EmotiBit_4_main_meditation.csv
EmotiBit_4,pre_meditation,62858.88091995412,63102.98093117586,24184,244.10001122173708,EmotiBit_4_pre_meditation.csv
EmotiBit_4,recovery,63856.457900024594,63951.2292272115,9390,94.771327186907,EmotiBit_4_recovery.csv
EmotiBit_5,main_meditation,63102.99008002064,63856.44538982464,74602,753.4553098040051,EmotiBit_5_main_meditation.csv
EmotiBit_5,pre_meditation,62858.8778719006,63102.97998021889,24170,244.10210831829318,EmotiBit_5_pre_meditation.csv
EmotiBit_5,recovery,63856.45548962639,63951.23202917948,9385,94.77653955309506,EmotiBit_5_recovery.csv
EmotiBit_6,main_meditation,63102.987382060375,63856.4516564283,74683,753.4642743679215,EmotiBit_6_main_meditation.csv
EmotiBit_6,pre_meditation,62858.88481225331,63102.97729309283,24195,244.09248083952116,EmotiBit_6_pre_meditation.csv
EmotiBit_6,recovery,63856.46174539584,63951.227417567694,9394,94.7656721718522,EmotiBit_6_recovery.csv
EmotiBit_7,main_meditation,63102.98669988278,63856.445345695916,75326,753.458645813138,EmotiBit_7_main_meditation.csv
EmotiBit_7,pre_meditation,62858.879102240244,63102.976697112834,24404,244.09759487258998,EmotiBit_7_pre_meditation.csv
EmotiBit_7,recovery,63856.45534846585,63951.23159365775,9476,94.77624519189703,EmotiBit_7_recovery.csv
