LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1032476.118505,1032476.118510,1760462405.931299,88238.000,11693,2,AY,1,100,0.180
1032476.118505,1032476.118510,1760462405.931299,88238.000,11693,2,AY,1,100,0.159
1032476.158506,1032476.158510,1760462405.971300,88278.000,11709,2,AY,1,100,0.176
1032476.198507,1032476.198511,1760462406.011301,88318.000,11709,2,AY,1,100,0.154
1032476.245007,1032476.245011,1760462406.057801,88364.500,11725,2,AY,1,100,0.057
1032476.291508,1032476.291512,1760462406.104302,88411.000,11725,2,AY,1,100,0.117
1032476.331842,1032476.331846,1760462406.144636,88451.333,11740,3,AY,1,100,0.114
1032476.372176,1032476.372180,1760462406.184970,88491.667,11740,3,AY,1,100,0.140
1032476.412510,1032476.412514,1760462406.225304,88532.000,11740,3,AY,1,100,0.109
1032476.452010,1032476.452014,1760462406.264805,88571.500,11757,2,AY,1,100,0.089
1032476.491511,1032476.491515,1760462406.304306,88611.000,11757,2,AY,1,100,0.083
1032476.531512,1032476.531516,1760462406.344306,88651.000,11773,3,AY,1,100,0.124
1032476.571512,1032476.571516,1760462406.384307,88691.000,11773,3,AY,1,100,0.062
1032476.611513,1032476.611517,1760462406.424308,88731.000,11773,3,AY,1,100,0.110
1032476.651513,1032476.651517,1760462406.464308,88771.000,11789,3,AY,1,100,0.136
1032476.691514,1032476.691518,1760462406.504309,88811.000,11789,3,AY,1,100,0.121
1032476.731514,1032476.731519,1760462406.544310,88851.000,11789,3,AY,1,100,0.074
1032476.771515,1032476.771519,1760462406.584310,88891.000,11805,2,AY,1,100,0.082
1032476.811516,1032476.811520,1760462406.624311,88931.000,11805,2,AY,1,100,0.101
1032476.851516,1032476.851520,1760462406.664312,88971.000,11822,3,AY,1,100,0.047
1032476.891517,1032476.891521,1760462406.704312,89011.000,11822,3,AY,1,100,0.042
1032476.931517,1032476.931521,1760462406.744313,89051.000,11822,3,AY,1,100,0.048
1032476.971518,1032476.971522,1760462406.784314,89091.000,11838,2,AY,1,100,0.058
1032477.011519,1032477.011523,1760462406.824314,89131.000,11838,2,AY,1,100,0.046
1032477.051519,1032477.051523,1760462406.864315,89171.000,11854,3,AY,1,100,0.053
1032477.091520,1032477.091524,1760462406.904316,89211.000,11854,3,AY,1,100,-0.006
1032477.131520,1032477.131524,1760462406.944316,89251.000,11854,3,AY,1,100,0.023
1032477.171521,1032477.171525,1760462406.984317,89291.000,11871,2,AY,1,100,0.069
1032477.211522,1032477.211526,1760462407.024318,89331.000,11871,2,AY,1,100,0.084
1032477.251522,1032477.251526,1760462407.064318,89371.000,11889,3,AY,1,100,0.113
1032477.291523,1032477.291527,1760462407.104319,89411.000,11889,3,AY,1,100,0.035
1032477.331523,1032477.331527,1760462407.144320,89451.000,11889,3,AY,1,100,0.055
1032477.378024,1032477.378028,1760462407.190821,89497.500,11903,2,AY,1,100,0.088
1032477.424525,1032477.424529,1760462407.237321,89544.000,11903,2,AY,1,100,0.133
1032477.464525,1032477.464529,1760462407.277322,89584.000,11920,3,AY,1,100,0.159
1032477.504526,1032477.504530,1760462407.317323,89624.000,11920,3,AY,1,100,0.113
